"","0-E","1-E","2-E","3-E","4-E","5-E","6-E","7-E","0-Fib","1-Fib","2-Fib","3-Fib","4-Fib","5-Fib","6-Fib","7-Fib","8-Fib","9-Fib","10-Fib","11-Fib","12-Fib"
"LAMININ",14.2937305682086,13.8626795225209,16.9531846907513,13.2694778296324,14.9055360927924,15.483691492902,6.11893111156466,11.803559707523,0.742184773070988,2.43286360638114,0.779926614659511,0.762818511708439,2.37685223021822,2.41517860773406,0.737970422144028,0,0.945461651555999,2.34065540911552,0.687497950804844,0,0.93412475903959
"SPP1",7.56677883318209,6.30360197582611,8.43097246746423,6.45641772207716,6.98398729515225,7.6466127993324,4.59263626856582,5.23854986070259,0,2.28872063604601,0,0,3.34786256847852,2.28403582595745,0,0,0,2.57775724978456,0,0,0
"FN1",5.95207301371632,5.44920527991609,6.81500573961227,5.37707441100226,6.40996872509311,6.25692656962269,2.82486180621154,3.97628543648209,0.847222418516721,2.45378953284098,0.913515613097496,0.81989763374182,2.66751124948796,2.21120652639109,0.886244906593003,0,0,2.29338162148488,1.03342695348831,0,0
"COLLAGEN",4.44032536532344,4.54464019919515,4.96641912681087,4.23125787210702,4.73412883022403,4.70392532655432,2.15374198892678,3.58459136853244,0.956979857875904,1.82519658477348,1.08552232113772,0.921118575530951,1.47637015977221,1.63669280342744,0.989660063846534,0,0.314859794100498,1.55810282736613,1.16878409166101,0,0.553923757354238
"MK",2.13097728450013,2.05133717379665,2.50635574171877,2.02950364815687,2.28633329126157,1.95642616595204,0.39680480182138,2.06302200050407,2.04471056827337,2.66759002562325,2.01262387425797,1.94358467012309,2.49647192703276,2.42263201136216,2.02140407295618,1.2833887262439,0.427461003069823,2.43504213597379,2.02974624154979,1.12247321141595,1.47654853796362
"CypA",0,0,0,0.123604155158529,0,0.648617190286222,0,0,1.75565971670934,1.75605724261091,1.76500922612,2.69259530166627,2.01994624454255,1.74244133057743,1.49278422239122,0,0,1.32289102437766,1.28569452350825,0,1.89469607138784
"EGF",2.03541377605833,2.02177613877601,2.10696561411387,1.4576250352261,1.64921869533376,1.93777743057422,0.836666612575259,1.75906028047012,0,0,0,0,0,0,0,0,0,0,0,0,0
"DESMOSOME",1.10016116787332,1.70300224722267,1.31897537495143,1.17919199374668,2.35404719763524,0.598350002578665,0.3385341579623,0.93470338069385,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIF",0.824858926204199,0.722141980562896,2.14062691282138,0.545286521460258,0.379951454961911,0.790692291386993,0,0.388616405563224,0.5846665012787,0,0.600901972381894,0,0,0,0.263561820379166,0,0,0,0,0,0
"PDGF",0,0,0,0,0,0,0,0,1.1289500357517,0.607434320587278,1.31738841579592,0.999264109712771,0.295624798615324,0.455407269470838,1.12120187302805,0,0.13150916677695,0.314552486246478,0.296097495843886,0.123342765470577,0.306161731402781
"THBS",0.329790177677224,0.491257762896753,0.409302215295116,0.34735956510883,0.470031900040094,0.445168649553427,0,0.29145032815877,0.318479773666264,0.419444634575112,0.347166151839873,0.319116313417408,0.326692048215746,0.371497353230951,0.335283013901883,0,0,0.336390722288347,0.38539757109677,0,0.174142195813588
"TENASCIN",0.297708814095015,0.315003656641351,0.383298288832009,0.282880891359163,0.414117368389912,0.305393222555332,0.0987148287344335,0.17761000690131,0.188170724917021,0.263727279484906,0.203776344917658,0.181777644797734,0.1946360899158,0.219325103686199,0.197340334145847,0,0,0.202734461099,0.232351422102301,0,0.0695499196944254
"CDH",0.227554236377545,0.550390311982887,0.562962947826869,0.684916143371622,1.03703095671342,0.500270959911512,0.188079402706164,0.377345838883917,0,0,0,0,0.00752327642533278,0,0,0,0,0.00615421795352025,0,0,0
