"","0-E","1-E","2-E","3-E","4-E","5-E","6-E","7-E","0-Fib","1-Fib","2-Fib","3-Fib","4-Fib","5-Fib","6-Fib","7-Fib","8-Fib","9-Fib","10-Fib","11-Fib","12-Fib"
"LAMININ",12.2441292970766,19.0482021995435,17.4252533941252,11.2141369820845,12.9371430359625,15.7707511376702,11.6119497426991,10.9814945995571,0,2.00198313949357,1.88211577844505,0,1.81046686068703,1.68668181164949,0.731327301165302,0,0,1.68402502353158,0.816665248636929,0,0
"SPP1",0,0,0,0.0275992463778168,0,0,0,0.013608899123707,5.60401098399131,6.61450284317669,6.33393950593523,5.84237130900965,6.08117754023666,6.44582242401522,5.7051262409402,3.93839587279262,0.307087749024791,5.85490402374591,5.46917547062789,3.71308066470423,1.76713072886727
"FN1",0,0,0,0,0,0,0,0,5.75297551946149,7.16353295599959,7.19251795159246,5.94539073010888,5.92345717210564,6.69096406972049,6.01019519117238,0,1.53254104914781,5.63135661120449,4.03005629022721,0.90506773653491,0.409542160023282
"COLLAGEN",0,0,0.971585440455825,1.05752110661343,0,1.5534249497024,0,0.872670515679825,0.831803132304576,8.03478711476715,0.855814805538565,1.07920949814744,9.12257004652513,10.4348493257056,0.846736806064635,0,0,7.1250212135574,1.11115124305894,0,1.94909571639929
"MK",5.27342146410471,5.56033392965982,5.49752253571237,5.90488762433431,5.69571464275387,5.21601902839394,1.54095907112102,5.11557881747711,0,0,0,0,0,0,0,0,0,0,0,0,0
"CypA",0,0,0,0,0,0,0,0.132681631023988,1.48460994207465,1.68740144071168,1.48755242070284,1.55105904968259,2.08738936864874,1.84998217490254,0.996614072168121,1.9345074163193,0,1.92565580365013,1.16024864397853,0.28675858038734,1.91553570508579
"EGF",1.51648897297631,1.56793086440977,1.79425387135672,1.30549786208424,1.46863433974771,1.06960046897472,0.199689250154696,1.35287219599649,0.281154045134531,0.554888016260511,0.677085607508742,0.315469997661015,0.299226342890593,0.342477911660542,0.28573827614011,0,0,0.480857705760119,0.135706636118015,0,0.156931218292816
"DESMOSOME",0.919240488923063,1.43744542885549,1.50594052107002,0.978891700629486,2.42194455740015,0.87582330791501,0.569038249685903,0.818641268185037,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIF",0.46976169453653,0.481932987792409,0.426379502182152,0.476585839712796,0.323918856023963,0.469690570793263,0.0345904053230096,0.512097992208961,0.474017037780641,0.322857460399964,0.477246615197857,0.473557086221524,0.267898146743761,0.272786458987852,0.434504312322706,0.315376942608471,0,0.201535078036019,0.305920554509974,0.11785869736882,0.382788548249945
"PDGF",0.178670604294696,0.226152877112689,0.218770766981206,0.114917406423316,0,0.216238222106924,0,0.133874184405143,0.498783426719646,0.263131195727738,0.975804760714063,0.373654894635179,0.876520515072061,0.77939037460708,0.337473859878654,0,0.517907752443865,1.0385173022228,0.168398916427502,0,0.17872740892999
"THBS",1.54287333211015,0,0.477931538391441,0.925182916611365,0,1.28430798072336,0,1.42860132488814,0,0,0,0,0,0,0,0,0,0,0,0,0.459073284051705
"TENASCIN",1.26795212010288,0,1.11098887384108,0.345139538081143,0,0.385651124658831,0,1.11838474558548,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH",0.227554236377545,0.550390311982887,0.562962947826869,0.684916143371622,1.03703095671342,0.500270959911512,0.188079402706164,0.377345838883917,0,0,0,0,0.00752327642533278,0,0,0,0,0.00615421795352025,0,0,0
"VEGF",0.0851679595853141,0.0499584331459986,0.0928069022236578,0.0478111028577804,0,0.0729339259841731,0,0.0660655805542937,0.388302088174916,0.412938783750933,0.448012930112835,0.28243375935116,0.228673801804972,0.289396567089106,0.376618986587993,0,0,0.222925364801896,0.0211766727269764,0.0673408670886602,0.0461687034101595
"PLAU",0.176068309945998,0.214626928455747,0.428666942504901,0.451538251735415,0.698096002338952,0.190515657826257,0,0.154059507118376,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0.172725674370155,0.213660728446538,0.222437253206985,0.509433658977297,0.82606827451886,0.179547916208969,0,0.173946604226508,0,0,0,0,0,0,0,0,0,0,0,0,0
"NRG",0.197513369160004,0,0.0658803891005159,0.100311980057766,0,0.0678504297429192,0,0.170985915036836,0,0.0791299651440634,0.0774290305148877,0,0.0675889376898834,0.0727444366730353,0,0,0,0.0547244602286899,0,0,0
