"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"MALAT1",0.85,0.485338536258556,0.7,0.702351350067438,1,0.994,"1","MALAT1"
"NDRG1",0.78,1.14081731240738,0.56,1.95118934969635,0.796,0.458,"1","NDRG1"
"LAMB3",0.774,0.717920005344337,0.548,1.10070861440646,0.965,0.888,"1","LAMB3"
"MT2A",0.767,0.732493857942698,0.534,1.09654968133995,0.977,0.89,"1","MT2A"
"LGALS1",0.765,0.663883521534636,0.53,1.01404015740139,0.964,0.857,"1","LGALS1"
"TMSB10",0.764,0.422077140210712,0.528,0.62343428976889,0.999,0.993,"1","TMSB10"
"ACTG1",0.764,0.390530205833048,0.528,0.573384852787661,0.999,0.993,"1","ACTG1"
"KRT17",0.741,0.514114744296662,0.482,0.756399311350424,0.991,0.966,"1","KRT17"
"TPT1",0.728,0.310254073010737,0.456,0.455108875915525,1,0.995,"1","TPT1"
"S100A14",0.721,0.498751443280864,0.442,0.764896940971409,0.965,0.922,"1","S100A14"
"MT1X",0.706,0.942292898440743,0.412,1.56915220621385,0.743,0.553,"1","MT1X"
"CCNI",0.705,0.613379755993923,0.41,1.02701583969539,0.817,0.707,"1","CCNI"
"AKR1C2",0.85,1.10723487490421,0.7,1.6790102794782,0.989,0.643,"3","AKR1C2"
"CLU",0.828,1.43057949910122,0.656,2.51132386494596,0.851,0.274,"3","CLU"
"AKR1C3",0.817,1.01863685181334,0.634,1.75032679986686,0.928,0.433,"3","AKR1C3"
"COX3",0.812,0.566597908336892,0.624,0.838202123614469,0.999,0.952,"3","COX3"
"TXN",0.796,0.573314900396328,0.592,0.849038008774033,0.999,0.955,"3","TXN"
"IGFBP3",0.788,1.19774104900049,0.576,2.26356497830134,0.8,0.246,"3","IGFBP3"
"CLDN1",0.787,0.923616203128436,0.574,1.66584300132158,0.865,0.324,"3","CLDN1"
"CTSC",0.779,0.846421358139658,0.558,1.34804553508409,0.958,0.578,"3","CTSC"
