"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.51088430945726e-185,0.543914925918294,0.999,0.956,2.06861303513222e-180,"0","COX2"
6.70922724355053e-153,1.36486529934204,0.596,0.345,3.95307669189997e-148,"0","THBS1"
6.32840809294074e-147,0.847232689565721,0.831,0.606,3.72869804836068e-142,"0","SLC7A11"
1.98868945235807e-144,0.674522673867016,0.928,0.785,1.17173582532937e-139,"0","NCL"
1.82207959453128e-139,0.460029683141688,0.992,0.937,1.07356929709783e-134,"0","HSP90AB1"
2.25950513430142e-136,0.436572692488017,1,0.958,1.3313004251304e-131,"0","COX1"
3.06868448215972e-136,1.56180140271183,0.576,0.349,1.80806889688851e-131,"0","NRG1"
3.68824556688579e-119,0.362484731269446,0.999,0.979,2.17311428800911e-114,"0","RPS6"
5.9819902650382e-113,0.405108562189295,0.997,0.927,3.52458866416051e-108,"0","CYTB"
7.72237011979448e-113,1.19114327963299,0.528,0.31,4.55002047458291e-108,"0","MBNL2"
9.12922386333826e-108,0.398169004048822,0.997,0.95,5.3789387002789e-103,"0","TXN"
6.08252505742912e-105,0.366431133848631,0.997,0.962,3.58382376383724e-100,"0","RPL7A"
1.65803266923344e-102,0.826566686107243,0.811,0.662,9.76912848712346e-98,"0","AREG"
4.79136703640256e-98,1.01993332052118,0.568,0.363,2.82307345784839e-93,"0","AMIGO2"
6.44916810827717e-94,0.420688640988933,0.986,0.926,3.79984984939691e-89,"0","TKT"
1.40669691513392e-92,0.493538854806646,0.987,0.934,8.28825822396907e-88,"0","DST"
8.00386371959984e-85,0.831329120874684,0.7,0.555,4.71587650358823e-80,"0","RASAL2"
9.86508480537981e-85,0.494536220126179,0.907,0.806,5.81250796732979e-80,"0","NPM1"
1.57937038166668e-84,0.54454878486095,0.872,0.701,9.3056502887801e-80,"0","NQO1"
2.99743641857581e-84,0.328852836919123,0.999,0.964,1.76608953782487e-79,"0","RPL12"
7.57703635445176e-84,1.04343581108584,0.535,0.344,4.46438982004298e-79,"0","TNC"
1.97853284359713e-80,0.646528793163364,0.744,0.557,1.16575155144743e-75,"0","HMGA2"
1.90151828697563e-78,0.316826333348684,0.997,0.966,1.12037457468604e-73,"0","RPS2"
1.09036317088444e-76,0.365350657898537,0.982,0.92,6.4244198028511e-72,"0","RPL6"
3.65771369297607e-76,0.856858374436483,0.603,0.435,2.1551249079015e-71,"0","GCLM"
3.72036966050222e-72,0.948112880501277,0.485,0.306,2.19204180396791e-67,"0","GEM"
1.64859607083163e-71,0.735689425027848,0.675,0.511,9.71352804933995e-67,"0","ASPH"
2.23386726453748e-71,0.324369065069321,0.993,0.956,1.31619459226548e-66,"0","RPL5"
4.77610822072057e-70,0.464905053819085,0.884,0.777,2.81408296364856e-65,"0","STK17A"
6.66482171502007e-68,0.270404017194327,0.999,0.945,3.92691295448983e-63,"0","COX3"
1.03094747304429e-63,0.331958039174511,0.98,0.918,6.07434251117695e-59,"0","RPL35"
1.92765554242783e-63,0.592399981795549,0.772,0.665,1.13577464559848e-58,"0","CAV1"
1.84317822070481e-62,0.291665024510575,1,0.981,1.08600060763927e-57,"0","FTL"
1.79793416684162e-60,0.481923562880833,0.81,0.66,1.05934281110308e-55,"0","HSPA8"
8.0058881308761e-57,0.634263233160599,0.632,0.489,4.7170692867122e-52,"0","DDX21"
5.39092720595713e-55,0.943043438330761,0.395,0.248,3.17633430974994e-50,"0","VEGFC"
4.3032711121235e-54,0.335022001627615,0.962,0.884,2.53548733926316e-49,"0","RPSA"
7.86901244950747e-53,0.71135204181631,0.588,0.459,4.6364221352498e-48,"0","ENAH"
4.03617622255101e-51,0.485158012459258,0.773,0.653,2.37811503032705e-46,"0","LMNA"
5.93623090406015e-51,0.517526171830753,0.698,0.556,3.49762724867224e-46,"0","PTHLH"
6.67261177022109e-51,0.408938388861587,0.836,0.732,3.93150285501427e-46,"0","HSPA5"
5.0345926592469e-50,0.876510251735439,0.472,0.338,2.96638199482827e-45,"0","ANKRD28"
6.38063402230198e-50,0.510000897316757,0.8,0.69,3.75946956594033e-45,"0","RUNX1"
8.90800251574905e-50,0.559724871388187,0.661,0.525,5.24859508227934e-45,"0","HSPD1"
1.358672263518e-45,0.348910074104041,0.895,0.804,8.00529697664805e-41,"0","RPL4"
3.67736365358299e-42,0.479332381064616,0.71,0.605,2.16670266469109e-37,"0","HNRNPA1"
5.81120352628607e-41,0.601878533442884,0.57,0.446,3.42396111768775e-36,"0","PVT1"
8.84655508502662e-41,0.908159422468234,0.392,0.275,5.21239025609768e-36,"0","MYC"
1.15834034010118e-40,0.81026388722445,0.371,0.247,6.82494128387616e-36,"0","NFIB"
2.06500467004776e-39,0.376229815281775,0.845,0.742,1.21670075159214e-34,"0","DNAJA1"
4.32337212645153e-39,0.680299008259728,0.465,0.341,2.54733085690524e-34,"0","WDR43"
4.37698150134159e-39,0.434586392873022,0.769,0.66,2.57891750059047e-34,"0","ITGB8"
4.1662514792017e-38,0.623257083874615,0.579,0.467,2.45475537154564e-33,"0","CEBPD"
6.36305208724462e-37,0.394444241983529,0.687,0.55,3.74911028980453e-32,"0","FHOD3"
1.01934664869682e-36,0.521558397472688,0.67,0.582,6.00599045412168e-32,"0","MAML2"
6.08124987770839e-36,0.290572755160629,0.91,0.792,3.58307242794579e-31,"0","ND4L"
8.93538184696922e-36,0.39978427666736,0.77,0.685,5.26472698423426e-31,"0","SET"
4.02723201774521e-35,0.558481217651965,0.555,0.436,2.37284510485548e-30,"0","LDHB"
1.10323682696245e-34,0.402500213763505,0.772,0.683,6.50027138446278e-30,"0","EHBP1"
1.59572474861634e-34,0.738477994736193,0.362,0.244,9.40201021884749e-30,"0","ARL4C"
1.30504317915825e-33,0.646310565073134,0.475,0.369,7.68931441160041e-29,"0","LOC124900216"
1.86022990414678e-33,0.448322905053592,0.708,0.616,1.09604745952328e-28,"0","CMTM6"
2.14712267618779e-33,0.535772087911879,0.575,0.466,1.26508468080985e-28,"0","DCBLD2"
5.35875648721439e-33,0.497282714789129,0.578,0.467,3.15737932226672e-28,"0","NEDD9"
5.79083848566609e-33,0.566579469920531,0.532,0.425,3.41196203575446e-28,"0","RSL1D1"
1.64923760040026e-32,0.369318202961735,0.745,0.649,9.71730794155834e-28,"0","PPIB"
5.46749233845572e-32,0.757992515215775,0.358,0.253,3.22144648581811e-27,"0","PUM3"
8.5354011210337e-32,0.596821034649723,0.485,0.377,5.02905834051306e-27,"0","PTGR1"
9.69265739263837e-32,0.300112556152512,0.89,0.805,5.71091373574252e-27,"0","FOS"
1.62348771921066e-31,0.664051996364917,0.432,0.324,9.56558964158919e-27,"0","RGCC"
1.65907297298436e-31,0.388952089373913,0.742,0.631,9.77525795682382e-27,"0","IFITM3"
2.61569877073762e-31,0.320286005643907,0.808,0.728,1.54116971571861e-26,"0","SPATS2L"
3.25853624800011e-31,0.321932006152593,0.83,0.758,1.91992955732166e-26,"0","HNRNPA2B1"
1.6514013983888e-30,0.813158577383641,0.334,0.231,9.73005703930681e-26,"0","RFX3"
3.74879149443646e-30,0.729039392494381,0.39,0.287,2.20878794852196e-25,"0","EFEMP1"
3.94646457407139e-30,0.313042126503164,0.853,0.778,2.32525692704286e-25,"0","MARCKS"
4.88994544366851e-30,0.729320599797133,0.42,0.319,2.88115585540949e-25,"0","TRPS1"
2.09689395505644e-29,0.326010551293078,0.775,0.68,1.23548991831925e-24,"0","YBX1"
2.15986655622916e-29,0.409226689096292,0.661,0.573,1.27259337493022e-24,"0","TIPARP"
2.84206354330625e-29,0.460505404777772,0.586,0.474,1.67454383971604e-24,"0","HSPA1A"
3.0431476513943e-29,0.266548728759471,0.88,0.811,1.79302259620152e-24,"0","CALD1"
3.46674396416414e-29,0.454245369979605,0.609,0.515,2.04260554368551e-24,"0","HNRNPAB"
1.36086514903953e-27,0.325536607966369,0.754,0.663,8.0182174581409e-23,"0","CALR"
3.11462718941498e-27,0.418730985908842,0.615,0.513,1.83513834000331e-22,"0","DUSP1"
3.28198604428685e-27,0.317953635389127,0.776,0.667,1.93374617729381e-22,"0","KYNU"
4.8664927084164e-27,0.352112608048664,0.752,0.675,2.86733750379894e-22,"0","SFPQ"
6.24216613555885e-27,0.278702229053582,0.87,0.805,3.67788428707128e-22,"0","HSP90B1"
8.20912837490455e-26,0.361647658519357,0.688,0.609,4.83681843849376e-21,"0","PDIA3"
1.60313293327981e-25,0.386888904654887,0.627,0.54,9.44565924288466e-21,"0","PPIA"
1.96721099458264e-25,0.478248045467207,0.476,0.374,1.15908071800809e-20,"0","MAP3K4"
3.68966886389305e-25,0.617850125685557,0.446,0.362,2.17395289460579e-20,"0","PEBP1"
7.49323509561352e-25,0.752270180131303,0.341,0.254,4.41501411833549e-20,"0","SRXN1"
1.0336320767515e-24,0.874053775654085,0.271,0.186,6.09016019621986e-20,"0","CSPP1"
1.39130968217535e-24,0.364378905159904,0.658,0.571,8.19759664737715e-20,"0","RAN"
1.78016488493092e-24,0.419245819572223,0.555,0.46,1.0488731502013e-19,"0","CDK14"
2.21542827847297e-24,0.375578277008523,0.629,0.528,1.30533034167627e-19,"0","TALDO1"
7.09023417875765e-24,0.425812305147496,0.57,0.478,4.17756597812401e-19,"0","CTSD"
6.74869074795678e-23,0.506429310265327,0.475,0.39,3.97632858869613e-18,"0","CCT3"
1.47229629277491e-22,0.584633116276268,0.44,0.359,8.67476975702978e-18,"0","PHPT1"
2.44969599133215e-22,0.327858109016874,0.667,0.589,1.4433608780929e-17,"0","SERBP1"
2.77771674885379e-22,0.434294537086186,0.51,0.423,1.63663070842465e-17,"0","CCT2"
3.53242689290759e-22,0.411004387042808,0.649,0.571,2.08130592530115e-17,"0","EREG"
1.32174390303118e-21,0.666930475104326,0.311,0.229,7.78771507665974e-17,"0","NAA50"
2.28357017649027e-21,0.312510527450843,0.689,0.624,1.34547954798807e-16,"0","HNRNPK"
4.10779414663093e-21,0.470798247613036,0.537,0.45,2.42031231119495e-16,"0","PRKCA"
5.34809257451402e-21,0.477133280286538,0.416,0.325,3.15109614490366e-16,"0","CAVIN1"
5.80584088762145e-21,0.530423817036755,0.412,0.33,3.42080145098656e-16,"0","RBBP8"
2.45991173666525e-20,0.42687480503493,0.484,0.398,1.44937999524317e-15,"0","EIF5A"
3.44341635953342e-20,0.280544018932538,0.742,0.642,2.02886091903709e-15,"0","EEF1B2"
1.10472527757927e-19,0.705794445942283,0.302,0.226,6.50904133549707e-15,"0","CYP51A1"
1.41053709130144e-19,0.546420223339793,0.394,0.309,8.31088454194809e-15,"0","PRSS23"
2.15261720919812e-19,0.436047472145402,0.511,0.439,1.26832205965954e-14,"0","ADH5"
2.85625011486243e-19,0.313098770181412,0.619,0.539,1.68290256767694e-14,"0","LPCAT2"
2.8572757071378e-19,0.528700563885637,0.407,0.327,1.68350684664559e-14,"0","CBLB"
3.8553501798081e-19,0.33065249064153,0.621,0.521,2.27157232594293e-14,"0","GPX2"
2.84651398502662e-18,0.269128407112924,0.812,0.74,1.67716603997768e-13,"0","SQSTM1"
4.7072953139579e-18,0.268725603642568,0.791,0.715,2.773538398984e-13,"0","TXNDC17"
5.73407239019454e-18,0.646566965195232,0.318,0.248,3.37851545230262e-13,"0","NOLC1"
1.04881735449128e-17,0.263672608162971,0.791,0.742,6.17963185266260e-13,"0","ITGB6"
1.17361114752621e-17,0.38668326814128,0.56,0.48,6.91491688122441e-13,"0","SOD1"
1.72905022512012e-17,0.503522139471813,0.399,0.329,1.01875639264078e-12,"0","NOP58"
3.79903304175897e-17,0.410551108815625,0.509,0.443,2.23839026820438e-12,"0","PDIA6"
4.12760691985119e-17,0.334310498383811,0.593,0.527,2.43198599717632e-12,"0","ANP32B"
4.5073306530616e-17,0.417290634389458,0.474,0.402,2.65571922078389e-12,"0","CBR1"
1.19663706481156e-16,0.251627345002274,0.69,0.623,7.05058558586972e-12,"0","NAP1L1"
1.20603710708948e-16,0.615362352025026,0.298,0.228,7.10597063497123e-12,"0","OAT"
1.3083447923445e-16,0.499786219341727,0.387,0.314,7.7087675164938e-12,"0","ATP2B1"
1.62480564042627e-16,0.300550014249663,0.633,0.571,9.57335483339158e-12,"0","BICD1"
2.11107709161916e-16,0.341423645787891,0.581,0.514,1.24384662238201e-11,"0","VCP"
2.83750848152114e-16,0.270727527432917,0.735,0.671,1.67185999731225e-11,"0","MTDH"
3.85931530400277e-16,0.28851418082479,0.702,0.639,2.27390857711843e-11,"0","HNRNPDL"
5.59975416548472e-16,0.401640005224997,0.448,0.383,3.2993751543036e-11,"0","HNRNPA3"
6.2925609343964e-16,0.261832857792607,0.697,0.629,3.70757690254636e-11,"0","CLTA"
2.1649058730252e-15,0.300777817117519,0.655,0.587,1.27556254038645e-10,"0","RPL22"
2.17411959325273e-15,0.447372919933833,0.42,0.357,1.28099126434451e-10,"0","PA2G4"
2.67194694517206e-15,0.47804930655726,0.363,0.291,1.57431114009538e-10,"0","MPZL1"
2.94263735480097e-15,0.42139298272644,0.475,0.413,1.73380192944873e-10,"0","TLK1"
3.7790626815469e-15,0.475149945465607,0.388,0.322,2.22662373196743e-10,"0","NASP"
6.8666211891727e-15,0.669599888062287,0.263,0.201,4.04581320466056e-10,"0","GOPC"
7.33446879971234e-15,0.530188030357865,0.381,0.321,4.32146901679051e-10,"0","PAM"
8.79245591145426e-15,0.307719657896549,0.61,0.536,5.18051502302885e-10,"0","SLC3A2"
9.342164174972e-15,0.413757275477139,0.466,0.4,5.5044031318935e-10,"0","HSPA1B"
1.51852920566424e-14,0.396038961114823,0.465,0.405,8.94717407977368e-10,"0","RBM25"
1.80701509274434e-14,0.316210335646326,0.579,0.509,1.06469329264497e-09,"0","NDUFS5"
2.36185421156993e-14,0.642438001747346,0.307,0.245,1.391604501457e-09,"0","KIF13A"
2.44864618366504e-14,0.474278731084258,0.387,0.322,1.44274233141544e-09,"0","HSPE1"
9.02555807104317e-14,0.254629176207696,0.68,0.625,5.31785881545864e-09,"0","EGFR"
1.42969816681279e-13,0.342400092946549,0.544,0.494,8.42378159886095e-09,"0","PSME4"
1.51528148669831e-13,0.433751146290693,0.397,0.338,8.92803851962646e-09,"0","HNRNPM"
1.93494055854502e-13,0.440601706819872,0.451,0.397,1.14006697709473e-08,"0","LOC107986324"
2.03284021652955e-13,0.72298124876303,0.267,0.211,1.19774945557921e-08,"0","DUT"
3.55373179245153e-13,0.266818230330555,0.68,0.633,2.09385877211244e-08,"0","NFE2L2"
4.33841964859993e-13,0.32457647023553,0.519,0.453,2.55619685695508e-08,"0","CCND1"
4.46799414353309e-13,0.498821924836187,0.393,0.339,2.6325421493697e-08,"0","BHLHE41"
4.62119227052988e-13,0.54274101088838,0.332,0.276,2.72280648579621e-08,"0","SLC1A5"
6.18725355668817e-13,0.651087739558737,0.25,0.192,3.64552979560067e-08,"0","TFAM"
6.88947444579131e-13,0.368557801155327,0.462,0.402,4.05927834346024e-08,"0","SSB"
6.95394412622738e-13,0.272262744510237,0.498,0.431,4.09726387917317e-08,"0","ANXA5"
8.42777607890457e-13,0.285548827892966,0.584,0.517,4.96564566569057e-08,"0","ATP5MC3"
1.58570635601728e-12,0.339994995668442,0.535,0.484,9.34298184965384e-08,"0","NDFIP2"
1.66318942006484e-12,0.338414669132138,0.492,0.44,9.79951206302205e-08,"0","SRI"
1.89471643439285e-12,0.46081227002469,0.314,0.253,1.11636692314426e-07,"0","CITED2"
2.22587185179591e-12,0.296218565104009,0.57,0.512,1.31148369507815e-07,"0","SNRPD2"
2.49230293373505e-12,0.349353546290249,0.448,0.391,1.46846488855669e-07,"0","EIF3K"
3.20666848399744e-12,0.250624094851822,0.611,0.566,1.88936907077129e-07,"0","CAV2"
3.77814057586473e-12,0.271366985125104,0.626,0.574,2.2260804272995e-07,"0","WWTR1"
4.26556929016576e-12,0.287365308511927,0.561,0.502,2.51327342576566e-07,"0","PRDX6"
4.73728851609046e-12,0.309338769820591,0.524,0.463,2.7912103936805e-07,"0","RPL22L1"
5.20645511600083e-12,0.443881902014546,0.383,0.33,3.06764335434769e-07,"0","HIPK2"
6.86343557743322e-12,0.304320825085056,0.552,0.491,4.04393624222365e-07,"0","AOPEP"
9.69414428348183e-12,0.522264981415761,0.252,0.196,5.71178981182749e-07,"0","RBBP7"
1.03326634280276e-11,0.493357662274336,0.317,0.257,6.08800529179386e-07,"0","COL12A1"
1.06134581621488e-11,0.419454477563057,0.418,0.369,6.25344954913808e-07,"0","CCT5"
1.63651766930207e-11,0.251154210223582,0.579,0.526,9.64236210752777e-07,"0","HNRNPD"
1.79304862997914e-11,0.298313067662259,0.543,0.489,1.05646425278371e-06,"0","MATR3"
1.82536086279038e-11,0.416746591515163,0.42,0.368,1.07550262035609e-06,"0","AHR"
1.89468064787493e-11,0.367995886243051,0.373,0.31,1.11634583772791e-06,"0","TENM3"
2.26809989430991e-11,0.41248020570348,0.415,0.363,1.3363644577274e-06,"0","ABL2"
2.66548441896553e-11,0.317821739101874,0.396,0.333,1.57050341965449e-06,"0","SLC25A37"
3.29814531943564e-11,0.677178622662611,0.266,0.214,1.94326722221148e-06,"0","CAMK2D"
3.74700796247577e-11,0.340894560209118,0.447,0.386,2.20773709149072e-06,"0","IL1RAP"
3.91824183747739e-11,0.303224255389871,0.599,0.557,2.30862809064168e-06,"0","RABGAP1L"
4.09705473083119e-11,0.413523432303617,0.361,0.306,2.41398464740574e-06,"0","HIF1A"
4.14065529003787e-11,0.341723992864353,0.458,0.405,2.43967409689031e-06,"0","AP2S1"
4.43645301935593e-11,0.634285758995179,0.253,0.205,2.61395811900451e-06,"0","LOC101927136"
4.62339404082209e-11,0.493380718721008,0.311,0.259,2.72410376885238e-06,"0","ANKRD10"
6.04677564748187e-11,0.501849976801503,0.251,0.195,3.56276021149632e-06,"0","FLRT2"
6.26063281442918e-11,0.427895921495963,0.35,0.301,3.68876485426167e-06,"0","DCUN1D5"
6.7732746652706e-11,0.455477132840021,0.354,0.298,3.99081343277744e-06,"0","SEMA4A"
7.74360715974881e-11,0.351047744452008,0.414,0.365,4.562533338524e-06,"0","ATP5F1E"
1.00498789122316e-10,0.451652994829779,0.34,0.288,5.92138865508686e-06,"0","NIFK"
1.0778625165797e-10,0.307015843974729,0.438,0.381,6.35076594768759e-06,"0","HSPH1"
1.13802954385622e-10,0.455040001320918,0.316,0.267,6.70527007240083e-06,"0","SNHG16"
1.36370148271754e-10,0.477467943338206,0.332,0.282,8.03492913617173e-06,"0","OSBPL1A"
1.57245087389413e-10,0.253916473956207,0.589,0.524,9.26488054898419e-06,"0","TENM2"
1.59668875194372e-10,0.254580897057198,0.582,0.539,9.40769012645237e-06,"0","CDV3"
1.80084142077538e-10,0.408863770502928,0.368,0.318,1.06105576512086e-05,"0","ILF3"
