"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.10213224187573e-113,0.493502229224839,0.997,0.967,2.41697631691318e-108,"0","RPL7A"
2.64808434926762e-101,0.520736802838381,0.999,0.962,1.56025129858848e-96,"0","COX2"
1.54172973544537e-92,0.413477361564633,0.999,0.982,9.08387160124413e-88,"0","RPS6"
1.59033066646916e-85,0.663486660521596,0.933,0.805,9.37022828683632e-81,"0","NCL"
1.12717643608875e-78,0.45204614639078,0.993,0.961,6.6413235614349e-74,"0","RPL5"
2.7686784917879e-77,0.444921804749421,0.992,0.945,1.63130536736143e-72,"0","HSP90AB1"
5.87728189442628e-75,0.425390583250418,0.999,0.956,3.46289449219596e-70,"0","TXN"
1.77042443059498e-74,0.409496157284439,0.997,0.97,1.04313407450656e-69,"0","RPL12"
5.51899161101657e-74,0.48297841649921,0.99,0.934,3.25178985721096e-69,"0","TKT"
1.42976772344352e-64,0.383179449054984,1,0.964,8.42419142652919e-60,"0","COX1"
3.93125362635326e-63,0.39676543486214,0.996,0.938,2.31629463664734e-58,"0","CYTB"
2.25599194224165e-60,0.555314118757128,0.899,0.822,1.32923045236878e-55,"0","NPM1"
5.12984937964192e-60,0.725104239223247,0.802,0.642,3.02250725448502e-55,"0","SLC7A11"
1.54994668563763e-59,0.378760274179233,1,0.983,9.1322858717769e-55,"0","FTL"
2.32012512807089e-59,1.02315992937996,0.581,0.391,1.36701772545937e-54,"0","AMIGO2"
2.45160851047341e-59,0.427018563104133,0.983,0.927,1.44448773437093e-54,"0","RPL35"
1.2618943041695e-57,0.593101219570215,0.881,0.725,7.43508124016672e-53,"0","NQO1"
1.54034529736803e-56,0.353541942859788,0.997,0.97,9.0757144920924e-52,"0","RPS2"
4.55244478306432e-55,0.405983894423012,0.98,0.93,2.6823004661815e-50,"0","RPL6"
1.478966060104e-54,1.05412628041966,0.565,0.386,8.71406802613279e-50,"0","THBS1"
2.76796068456053e-52,0.85527234833063,0.68,0.534,1.63088243534307e-47,"0","ASPH"
2.51774715277266e-48,1.06342049750262,0.501,0.329,1.48345662241365e-43,"0","GEM"
1.31067607250788e-47,0.508508727894481,0.983,0.942,7.7225034192164e-43,"0","DST"
1.44761913488578e-46,1.01885665340267,0.504,0.345,8.52937194274701e-42,"0","MBNL2"
2.58866834959632e-46,1.69293847970734,0.267,0.126,1.52524339158215e-41,"0","LIMCH1"
1.79428092963835e-41,0.836393497346753,0.597,0.46,1.05719032374292e-36,"0","GCLM"
2.2886388808051e-39,0.557215051001388,0.777,0.696,1.34846602857036e-34,"0","SET"
4.04353280858138e-39,0.471592703633782,0.866,0.787,2.38244953081615e-34,"0","MARCKS"
7.75548683510502e-39,0.828163684894931,0.614,0.478,4.56953284324388e-34,"0","CEBPD"
7.82376981140741e-39,0.378990709725396,0.957,0.896,4.60976517288125e-34,"0","RPSA"
2.30132484167738e-38,0.276121565244018,0.998,0.953,1.35594059671631e-33,"0","COX3"
2.03145677738415e-36,0.455033316593057,0.867,0.795,1.19693433323474e-31,"0","STK17A"
1.0637675146209e-35,0.766001059174415,0.592,0.477,6.26771819614634e-31,"0","ENAH"
6.00455557383287e-34,0.61104650592647,0.713,0.629,3.53788414410233e-29,"0","CMTM6"
2.7939284399105e-33,0.318600191563713,0.982,0.953,1.64618263679527e-28,"0","PTMA"
3.06382151765039e-33,0.950200056885224,0.484,0.356,1.80520363819961e-28,"0","ANKRD28"
1.01838012445313e-32,0.300362796868808,0.975,0.952,6.00029569327786e-28,"0","RPS24"
2.64424121858259e-32,0.291517359101523,0.978,0.946,1.55798692598886e-27,"0","RPL14"
3.66985469875789e-32,0.518549246433282,0.727,0.587,2.16227838850815e-27,"0","HMGA2"
1.5708995015249e-31,0.440374062908539,0.828,0.748,9.25573986298471e-27,"0","HSPA5"
2.10336307548988e-31,1.39437711746078,0.26,0.144,1.23930152407864e-26,"0","LRIG3"
3.64019120133606e-31,0.642434970939503,0.617,0.512,2.14480065582721e-26,"0","DDX21"
5.02966287347391e-31,0.588282993774873,0.658,0.545,2.96347736505083e-26,"0","HSPD1"
2.11380820995062e-30,0.308937999970201,0.981,0.936,1.2454557973029e-25,"0","RPL10A"
3.78298958461403e-30,0.277654203606096,0.968,0.937,2.22893746325459e-25,"0","RPS4X"
2.42556679631955e-29,0.4813404827451,0.767,0.672,1.42914395639148e-24,"0","LMNA"
6.39503830033462e-29,0.251385123263017,0.99,0.965,3.76795656655716e-24,"0","RPS7"
2.75743161184945e-27,0.271936113177299,0.972,0.934,1.62467870570169e-22,"0","RPL3"
2.8920675549665e-27,0.631872996644676,0.57,0.451,1.70400620338626e-22,"0","LDHB"
1.39780577300797e-26,0.36066312663227,0.884,0.819,8.23587161456295e-22,"0","RPL4"
1.22526219098224e-25,0.282650495738842,0.959,0.908,7.21924482926736e-21,"0","RPS23"
3.42959532920268e-25,0.274105039068881,0.959,0.927,2.02071756796622e-20,"0","RPL37A"
5.22884382632477e-24,1.16384942661211,0.267,0.163,3.08083478247055e-19,"0","DCBLD1"
7.38786816124294e-24,0.393731665757087,0.838,0.758,4.35293192060434e-19,"0","DNAJA1"
3.60836584248091e-23,0.593324151616302,0.587,0.489,2.12604915438975e-18,"0","CTSD"
4.254496925826e-23,0.611207057782653,0.505,0.392,2.50674958869668e-18,"0","NRG1"
1.21462703185916e-22,0.38078991686707,0.779,0.686,7.15658247171416e-18,"0","HSPA8"
1.28010411142873e-21,0.381579868921754,0.798,0.748,7.54237342453811e-17,"0","ITGB6"
1.98220420214465e-21,0.742210283877802,0.462,0.372,1.16791471590363e-16,"0","PEBP1"
4.36377652480572e-21,0.401436710109284,0.817,0.75,2.57113712841553e-16,"0","SQSTM1"
5.80080237652654e-21,0.595112008247039,0.554,0.466,3.41783276024944e-16,"0","PVT1"
7.13581531847807e-21,0.556257301190304,0.583,0.495,4.20442238564728e-16,"0","AOPEP"
1.31083379965881e-20,0.605024076140892,0.53,0.441,7.72343274758969e-16,"0","RSL1D1"
1.73372532839379e-20,0.445257551118567,0.756,0.678,1.02151096348962e-15,"0","ITGB8"
1.79090588850591e-20,0.672667142804225,0.457,0.36,1.05520174950768e-15,"0","WDR43"
7.63797034618822e-20,0.461424749005319,0.691,0.623,4.5002921279741e-15,"0","HNRNPA1"
7.87331306697432e-20,0.261132008847553,0.967,0.921,4.63895605906127e-15,"0","NACA"
3.36152543834622e-19,0.839501299006393,0.382,0.293,1.98061078827359e-14,"0","MYC"
3.40906917869458e-19,0.496736443069157,0.606,0.534,2.00862356008684e-14,"0","ANP32B"
1.0203191304751e-18,0.416289886128278,0.681,0.635,6.01172031675929e-14,"0","HNRNPK"
5.12168727701886e-18,0.47355957403781,0.649,0.587,3.01769814361952e-13,"0","TIPARP"
7.0248309697556e-18,0.374631463704156,0.779,0.709,4.13903040738e-13,"0","RUNX1"
9.24268939356836e-18,0.47873875820916,0.606,0.529,5.44579259069048e-13,"0","DUSP1"
9.76475777746927e-18,0.362093358856074,0.67,0.572,5.7533952824849e-13,"0","FHOD3"
2.73189347068562e-17,0.291533538426049,0.861,0.816,1.60963163292797e-12,"0","HSP90B1"
3.18421579702514e-17,0.293994074271098,0.886,0.812,1.87613994760721e-12,"0","ND4L"
4.55540945220363e-17,0.590718166581993,0.478,0.394,2.68404724923838e-12,"0","PTGR1"
6.88540548525374e-17,0.809040384179862,0.418,0.34,4.0568809119115e-12,"0","GLUL"
6.88835024229754e-17,0.76112855588321,0.354,0.269,4.05861596276171e-12,"0","PUM3"
1.06308235165399e-16,0.629573510336181,0.475,0.38,6.26368121594529e-12,"0","TNC"
1.18540373451442e-16,0.485539799091697,0.649,0.597,6.98439880375894e-12,"0","MAML2"
1.61258436702329e-16,0.380529368283397,0.727,0.649,9.50134709050124e-12,"0","IFITM3"
2.40843627346308e-16,0.440542515260118,0.621,0.544,1.41905065232445e-11,"0","TALDO1"
3.03294051492519e-16,0.328089043343001,0.766,0.685,1.78700855139392e-11,"0","KYNU"
8.31165146567804e-16,0.668906720754143,0.355,0.267,4.8972250435775e-11,"0","NFIB"
9.42815274762235e-16,0.683677768484991,0.353,0.262,5.55506759889909e-11,"0","ARL4C"
1.04362930857603e-15,0.310844838563154,0.811,0.771,6.14906388612994e-11,"0","HNRNPA2B1"
1.29937229968606e-15,0.750443171889285,0.401,0.326,7.65590158975025e-11,"0","PAM"
1.33924168244434e-15,0.286962435788968,0.861,0.809,7.89081199296204e-11,"0","ENO1"
1.99117341384061e-15,0.8697584916082,0.287,0.206,1.17319937543489e-10,"0","GOPC"
2.22857094120712e-15,0.550291164007734,0.513,0.45,1.31307399855924e-10,"0","ADH5"
4.96755243849771e-15,0.353319564006636,0.733,0.689,2.92688189676285e-10,"0","SFPQ"
9.03138118372529e-15,0.73686453745371,0.411,0.335,5.32128979345094e-10,"0","TRPS1"
9.49227313125501e-15,0.268956114853482,0.828,0.754,5.59284732893545e-10,"0","SNHG29"
1.72082303799012e-14,0.327428548853126,0.693,0.632,1.01390893398378e-09,"0","NAP1L1"
1.96530936188095e-14,0.396338294499776,0.655,0.596,1.15796027602025e-09,"0","RPL22"
4.30199991998733e-14,0.663946969419031,0.414,0.344,2.53473835285653e-09,"0","BHLHE41"
4.31117610117319e-14,0.610461236227554,0.487,0.421,2.54014495881124e-09,"0","FBXO32"
