"","logFC","logCPM","F","PValue","FDR"
"CCL20",3.08305533998149,6.03311390290471,202.593379225791,1.20286690778232e-09,7.08729182065342e-05
"UBD",3.28566716727314,4.22298092284398,148.147406181608,9.01495356638627e-09,0.00026558053206574
"LCN2",3.70249357566031,8.99939477970327,132.500485211412,1.82389592258395e-08,0.000358213159195487
"IL32",2.0634770569082,5.66891458782358,102.413227920679,9.05755202521543e-08,0.00113829304203362
"CXCL8",1.92522366921982,8.34249445395782,101.343644984594,9.65964903287183e-08,0.00113829304203362
"LOC105375914",2.30347832489025,4.2181502955535,83.2087178823936,3.19296892631539e-07,0.00313549548564171
"SAA2",3.2263423413101,5.52009133338497,80.6908248655069,3.83563169713576e-07,0.0032285059942177
"BCL2A1",3.45438947372692,3.58172064121323,74.3841028887139,6.24363968802985e-07,0.00446111229285165
"IL36G",2.88974477098802,3.78508798607779,73.2427604511838,6.81432631290986e-07,0.00446111229285165
"C3",2.34545039498216,4.19855962729025,66.67689881518,1.17817599196496e-06,0.00694181294465757
"SAA1",2.01003975678839,7.17933217539742,62.844467224799,1.6571993538875e-06,0.00887656235736834
"IDO1",2.38766425969176,3.30314000841252,60.029098235755,2.15662107985864e-06,0.010135077164965
"ICAM1",1.63193002727074,5.93152822325002,59.6351587328376,2.23618471053198e-06,0.010135077164965
"PDZK1IP1",3.01309721182377,2.20827829005661,54.3022795898456,3.84305358152454e-06,0.0154635591155904
"TNFAIP2",1.91558943680031,7.65376847264024,53.9434681993941,3.93711252099034e-06,0.0154635591155904
"S100A9",1.84501513801095,4.67428882404388,53.3253837281761,4.19920138916235e-06,0.0154635591155904
"VNN1",1.90930652450147,4.61574688526225,52.5026851324394,4.57894090251525e-06,0.0158700704691881
"POU2F3",2.30580751906886,2.49638625982667,46.1715217797043,9.30793048325136e-06,0.0292141950892718
"SERPINB2",1.19407123746901,8.17212909147222,46.032558267806,9.42073500842098e-06,0.0292141950892718
"KRT7",1.67513741403158,5.39694962327426,42.3847936187667,1.46701942420434e-05,0.04321839223706
"SGPP2",1.51775551388557,5.97487303628096,40.5699405019112,1.84900231289292e-05,0.0518777220360242
"SOD2",1.36862608531662,8.09112825107375,39.2085645424949,2.21111831174967e-05,0.0592177686037684
"KPNA7",1.63509712141344,4.72831246307521,38.812056332406,2.33160323563819e-05,0.059729592453827
"CCL5",4.33268928325161,0.888879709026629,34.319771471376,2.9291115520522e-05,0.0719096886028814
"LTB",4.82988252845059,0.573376816607926,34.2060172926444,3.07188586961232e-05,0.0723982061750232
"PTPRZ1",-1.59847367710771,4.97680033547044,35.1990746338939,3.85418777149416e-05,0.0865373441545347
"LOC105375913",4.88046724636085,0.61311665529316,32.609147492509,3.9655605773463e-05,0.0865373441545347
"LOC105376714",2.71412616579029,4.13204418819808,34.0067952125073,4.58939107365653e-05,0.096573900735658
"FGFBP1",-2.68372804848153,3.39503624058424,32.8636343749444,5.45280503800406e-05,0.110785956151448
"IL1B",1.15915581358012,9.15784685194721,32.3893186030163,5.85410723432169e-05,0.114974666082078
"C1QTNF1",1.43068884520072,3.41647337104186,32.0197289350415,6.19869599897219e-05,0.117815215567562
"ABCA13",1.95183261152607,4.37762011869801,31.4247726607047,6.79953347596033e-05,0.122012824962438
"SLC28A3",1.39110442116591,4.68714476657822,31.3924108733179,6.83371219239725e-05,0.122012824962438
"HMGN2P46",2.56843530135291,2.2124399465673,31.0406529177501,7.27084413957005e-05,0.125999451971608
"EDN1",1.36467832791964,4.75761634587391,30.2500192551757,8.19487136560622e-05,0.134986095757801
"LINC01828",2.66709511941203,1.91932635351404,30.2591044102561,8.24762295872514e-05,0.134986095757801
"CEP55",-2.58465299300513,2.48887977737056,29.7361401311931,8.95462406317308e-05,0.142596337784367
"CDK1",-2.41995805302126,2.43286741655009,29.1847697568533,9.79674332705027e-05,0.151901083376264
"TRAF1",2.2778919955789,2.76212610753426,28.7680257599768,0.000104661432724205,0.158119272207953
"ECE1",1.04109863409732,6.19144500172415,28.2343611782905,0.000114296969722699,0.168359436401535
"RPS6KA2",1.45875357090839,3.52848748544458,27.6374628590419,0.000126561172396401,0.181877665307218
"DLGAP5",-2.63311827289898,2.65423161947618,27.5046323395026,0.00013001097122365,0.182386819630892
"BIRC5",-2.12398988294328,2.72046842171833,26.964082241695,0.000142435940064424,0.195170362525485
"VNN3P",6.6695441745653,0.113798623061465,27.9935348694128,0.000153864377357398,0.206038388952224
"LOXL4",2.62973604366196,1.45604623898047,26.2891948470056,0.000160410918665831,0.210031362839794
"PTGES",1.26311093551562,5.55023218061024,26.0732436659134,0.000166424690614751,0.213163676001735
"F3",1.03198002267986,9.23802467719297,25.8635646550216,0.000172794718430696,0.213163676001735
"SNCA",-1.15814646383457,5.46054356515504,25.7774842764027,0.000175495133292807,0.213163676001735
"ARSJ",-1.15885875645038,5.35723531151831,25.6979651225029,0.000178030656674769,0.213163676001735
"ADAM8",1.33775622543878,3.8040902254425,25.6102954828616,0.000180892460965491,0.213163676001735
"RRM2",-2.21063140766087,2.57920971565186,25.2461635139324,0.000193723481787855,0.222423044605012
"LOC102723568",1.09734571643665,4.86007903756661,25.1376546387571,0.000197129986856826,0.222423044605012
"MAP1B",1.43524523116937,4.39627207618897,25.0569650012265,0.000200075040123314,0.222423044605012
"TMPRSS9",1.55750533143342,2.97877887091064,24.5261388231586,0.000220788309366156,0.24090457755285
"NCAPH",-2.56693583578104,1.59453134593648,24.4131173828698,0.000225720755022578,0.241808488835096
"SMCO2",1.06425359545574,5.1502608482343,24.1826804060081,0.000235359447643404,0.247631761699095
"NAV3",1.54485625831672,3.31043247670703,23.6635526588919,0.000259734484391059,0.264285939080047
