"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.38580175122169,0.888,0.092,0,"0","KRT17"
0,3.16718652642569,0.86,0.17,0,"0","TECPR2"
0,3.08498171222238,0.75,0.102,0,"0","GM5535"
0,4.63309592995381,0.672,0.062,0,"0","ATP1B1"
0,3.67432283206399,0.721,0.129,0,"0","RND3"
0,4.1618481948608,0.658,0.071,0,"0","MT2"
0,3.47536749606433,0.653,0.08,0,"0","TMSB4X"
0,4.01176240241053,0.66,0.09,0,"0","TMSB10B"
0,3.0812619892647,0.711,0.151,0,"0","RPL9-PS6"
0,4.56179029399754,0.61,0.057,0,"0","DSP"
0,3.72602371133853,0.624,0.073,0,"0","ATF3"
0,4.56887447243197,0.607,0.057,0,"0","KRT14"
0,3.80773303166958,0.591,0.068,0,"0","KRT19"
0,4.38793788119004,0.554,0.053,0,"0","ACTA1"
0,3.09504775005316,0.749,0.271,0,"0","TKT"
0,3.26557975917323,0.521,0.07,0,"0","RPL39L"
0,3.25301712280879,0.515,0.072,0,"0","MEI4"
0,3.52826539205497,0.489,0.063,0,"0","RPL10L"
0,3.34143193865105,0.543,0.13,0,"0","UBA52RT"
0,2.77353394173072,0.558,0.145,0,"0","RPL35RT"
0,2.74358378687363,0.745,0.335,0,"0","LIMA1"
0,3.32040680221246,0.465,0.066,0,"0","OR13F5"
0,3.58371957646545,0.582,0.187,0,"0","FAM3C"
0,2.52834138212872,0.801,0.408,0,"0","PDE4D"
0,3.17076339846122,0.431,0.097,0,"0","TRAF5"
0,4.74295672257178,0.364,0.03,0,"0","PTHLH"
0,3.40402660092749,0.593,0.267,0,"0","INHBA"
0,4.2319953556338,0.361,0.039,0,"0","SERPINB5"
0,3.58706765858938,0.439,0.138,0,"0","CAMK2N1"
0,2.89070030039461,0.546,0.262,0,"0","EZR"
0,3.50926479520572,0.342,0.078,0,"0","ITGB6"
0,2.78545157316282,0.417,0.157,0,"0","SSH2"
0,3.56633594197618,0.301,0.045,0,"0","ARL6IP1"
0,4.36891032611015,0.275,0.027,0,"0","PERP"
0,2.74446965739992,0.448,0.206,0,"0","MRPS28"
0,3.22404805316143,0.281,0.049,0,"0","HSPB1"
0,2.72103570779778,0.375,0.154,0,"0","COL4A5"
0,4.05759129649605,0.251,0.031,0,"0","SPATS2L"
0,2.76011835209757,0.486,0.268,0,"0","APLP2"
0,2.24324597519472,0.757,0.54,0,"0","SERF2"
0,3.81091260737983,0.284,0.068,0,"0","DUSP6"
0,3.00064317624591,0.377,0.162,0,"0","EGR1"
0,2.39663164380726,0.769,0.555,0,"0","ARPC2"
0,2.18368233667826,0.804,0.597,0,"0","H3F3A"
0,2.56188508924819,0.863,0.658,0,"0","YWHAZ"
0,2.47167605226374,0.496,0.294,0,"0","MARCKS"
0,2.87108507674996,0.811,0.611,0,"0","BTG1"
0,3.37750009608934,0.319,0.126,0,"0","IVNS1ABP"
0,2.74016368315448,0.298,0.107,0,"0","SUGP2"
0,2.46377620198442,0.466,0.293,0,"0","SON"
0,2.25259160294757,0.735,0.57,0,"0","FOS"
