"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.74238698606085,0.894,0.177,0,"0","KRT17"
0,2.15725500160813,0.826,0.25,0,"0","TECPR2"
0,3.17296664168744,0.688,0.125,0,"0","ATP1B1"
0,3.06352543746258,0.681,0.131,0,"0","MT2"
0,2.02709377191346,0.702,0.18,0,"0","GM5535"
0,2.83911559214177,0.66,0.152,0,"0","TMSB10B"
0,2.91886170805584,0.609,0.116,0,"0","KRT14"
0,2.47218448471217,0.688,0.198,0,"0","RND3"
0,2.63896524306437,0.598,0.119,0,"0","DSP"
0,2.35983768535671,0.618,0.148,0,"0","TMSB4X"
0,2.47216652887534,0.584,0.139,0,"0","ATF3"
0,2.9669151886802,0.551,0.107,0,"0","ACTA1"
0,2.11749243643827,0.66,0.22,0,"0","RPL9-PS6"
0,2.23278318740999,0.527,0.134,0,"0","KRT19"
0,2.15114106814471,0.714,0.329,0,"0","TKT"
0,2.78376929838191,0.595,0.227,0,"0","FAM3C"
0,2.41433041518252,0.455,0.114,0,"0","RPL10L"
0,2.42720597654882,0.517,0.179,0,"0","UBA52RT"
0,2.81428594252821,0.634,0.296,0,"0","INHBA"
0,2.13285178447964,0.462,0.129,0,"0","RPL39L"
0,2.02889605097458,0.715,0.385,0,"0","LIMA1"
0,3.37173151377601,0.389,0.062,0,"0","PTHLH"
0,2.11808566287086,0.451,0.131,0,"0","MEI4"
0,1.81888629113164,0.764,0.456,0,"0","PDE4D"
0,2.25708501568982,0.42,0.116,0,"0","OR13F5"
0,1.78291421192199,0.486,0.202,0,"0","RPL35RT"
0,2.78208591522142,0.343,0.076,0,"0","SERPINB5"
0,2.55693139646066,0.425,0.173,0,"0","CAMK2N1"
0,2.00532348686059,0.366,0.144,0,"0","TRAF5"
0,2.55553851740811,0.328,0.109,0,"0","ITGB6"
0,3.89112630271372,0.25,0.032,0,"0","MTSS1"
0,2.14163945045755,0.512,0.298,0,"0","EZR"
0,3.01265826880682,0.302,0.088,0,"0","DUSP6"
0,2.44168816605172,0.276,0.077,0,"0","ARL6IP1"
0,2.45444311814772,0.38,0.184,0,"0","EGR1"
0,2.37902726212365,0.823,0.631,0,"0","BTG1"
0,2.25218246796909,0.481,0.292,0,"0","APLP2"
0,1.94673186308437,0.85,0.682,0,"0","YWHAZ"
0,1.87640866935958,0.747,0.582,0,"0","ARPC2"
0,1.94069560115944,0.741,0.587,0,"0","FOS"
0,1.69296678076677,0.719,0.569,0,"0","SERF2"
0,1.63280255116287,0.766,0.626,0,"0","H3F3A"
0,1.67250271300744,0.844,0.735,0,"0","S100A10"
0,1.7714912534573,0.987,0.903,0,"0","RPL10"
0,0.849013532366113,0.798,0.872,0,"0","RPS18"
0,1.64317284098399,0.691,0.634,0,"0","SOX4"
0,1.34830955059191,0.999,0.963,0,"0","FTH1"
0,1.03367734089263,0.872,0.906,0,"0","PABPC1"
0,1.014314395063,0.975,0.949,0,"0","RPS14"
0,0.838100365973767,0.982,0.961,0,"0","RPL8"
0,1.13929000415563,0.942,0.925,0,"0","RPL11"
0,1.55359914025327,0.692,0.676,0,"0","UBC"
0,0.747250102142323,0.992,0.977,0,"0","RPS8"
0,0.56161426770224,0.987,0.976,0,"0","EEF1A1"
0,0.809099290164936,0.896,0.905,0,"0","S100A6"
0,0.935666476455498,0.948,0.94,0,"0","RPL18A"
0,0.733855621557486,0.961,0.953,0,"0","RPS12"
0,0.868936236111018,0.951,0.946,0,"0","RACK1"
0,0.997638185039237,0.946,0.942,0,"0","RPL5"
0,0.881031441536044,0.931,0.934,0,"0","RPS3"
8.45883615864427e-303,2.6985804871834,0.332,0.145,2.26273867243734e-298,"0","IVNS1ABP"
1.83651709368713e-301,0.523875575138883,0.956,0.96,4.91268322561307e-297,"0","RPL30"
8.06550210377504e-297,1.48070838767551,0.643,0.652,2.15752181275982e-292,"0","EIF4G2"
2.8862063717053e-290,1.7594917164652,0.586,0.514,7.72060204431168e-286,"0","CSNK1A1"
9.75192069992818e-280,1.12225539976621,0.704,0.777,2.60863878723079e-275,"0","TMSB10"
1.03161373199602e-277,1.55107837995747,0.614,0.577,2.75956673308935e-273,"0","MYL6"
8.38394809272071e-256,2.04417210992451,0.412,0.238,2.24270611480279e-251,"0","MRPS28"
4.16091430678759e-237,0.443825760099252,0.963,0.965,1.11304457706568e-232,"0","RPL13"
1.61284699268952e-233,1.92601443695845,0.366,0.194,4.31436570544446e-229,"0","SSH2"
1.12712399533443e-232,0.922449028909122,0.718,0.804,3.01505668751961e-228,"0","EEF1G"
9.47939691057982e-229,1.85633725740957,0.463,0.321,2.5357386735801e-224,"0","MARCKS"
2.88231515312364e-225,0.620438540830787,0.819,0.906,7.71019303460574e-221,"0","RPS13"
