"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.33096834308773,0.957,0.445,0,"0","KRT17"
0,4.70546538297615,0.604,0.109,0,"0","KRT6A"
0,4.34016909759034,0.838,0.368,0,"0","DSP"
0,4.03838853741101,0.804,0.34,0,"0","MT2"
0,4.3633141155409,0.875,0.426,0,"0","KRT14"
0,3.62701647228411,0.537,0.092,0,"0","SERPINB13"
0,3.5728470135453,0.626,0.186,0,"0","ZFP704"
0,5.19179083941615,0.731,0.298,0,"0","TIMP3"
0,4.79395266141073,0.852,0.429,0,"0","ATP1B1"
0,4.35629558599064,0.794,0.375,0,"0","ACTA1"
0,2.90777918769194,0.456,0.055,0,"0","KRTCAP3"
0,2.95057576084572,0.822,0.426,0,"0","RPL9-PS6"
0,3.49312378485164,0.792,0.397,0,"0","TMSB4X"
0,4.70128832058816,0.64,0.246,0,"0","KRT42"
0,3.5534227123204,0.678,0.287,0,"0","RPL10L"
0,4.59473056006032,0.71,0.32,0,"0","PTHLH"
0,4.15607623009217,0.632,0.254,0,"0","PERP"
0,4.67507633200789,0.555,0.179,0,"0","DSC2"
0,4.47110825724276,0.668,0.297,0,"0","FZD6"
0,4.94876901683536,0.71,0.345,0,"0","COL12A1"
0,3.85826771150598,0.861,0.498,0,"0","FAM3C"
0,4.06655742713185,0.814,0.451,0,"0","TMSB10B"
0,0.946269466596235,0.499,0.14,0,"0","CD200L1"
0,2.87616342519015,0.889,0.531,0,"0","TECPR2"
0,4.01091920423377,0.633,0.275,0,"0","SPATS2L"
0,3.99505348373386,0.551,0.195,0,"0","TNNT1"
0,1.41753691398162,0.435,0.091,0,"0","AGR2"
0,3.36095487472874,0.716,0.388,0,"0","UBA52RT"
0,2.85018420672541,0.882,0.561,0,"0","TKT"
0,3.57316874804579,0.763,0.444,0,"0","KRT19"
0,2.8035552116656,0.813,0.494,0,"0","GM5535"
0,3.48146732836442,0.676,0.36,0,"0","ATF3"
0,3.28618015581339,0.656,0.344,0,"0","OR13F5"
0,0.809901054216995,0.443,0.137,0,"0","NPL"
0,4.67684665544296,0.653,0.348,0,"0","KRT5"
0,1.97074840293309,0.02,0.321,0,"0","NRG2"
0,3.92741947930785,0.631,0.343,0,"0","SERPINB5"
0,1.51489857017984,0.49,0.212,0,"0","A230006K03RIK"
0,3.18194999442309,0.61,0.339,0,"0","RPL39L"
0,0.434962852452301,0.415,0.151,0,"0","TSPAN12"
0,3.31893568137353,0.762,0.504,0,"0","RND3"
0,2.53142196697497,0.633,0.375,0,"0","MMP2"
0,5.01464159105399,0.654,0.399,0,"0","TENM2"
0,3.58081469166643,0.709,0.461,0,"0","ITGB6"
0,1.65139775985583,0.476,0.24,0,"0","ACER2"
0,2.35639327233223,0.589,0.358,0,"0","LOXL2"
0,3.36885959568931,0.721,0.491,0,"0","CAMK2N1"
0,2.77510371317768,0.849,0.625,0,"0","LIMA1"
0,3.02745446799392,0.645,0.422,0,"0","MEI4"
0,2.73344494102946,0.638,0.42,0,"0","RPS27RT"
0,2.04039056001486,0.064,0.275,0,"0","RRAGD"
0,2.64037127851633,0.643,0.438,0,"0","RPL35RT"
0,1.43119998554471,0.63,0.429,0,"0","CCN2"
0,2.33745933608901,0.886,0.69,0,"0","PDE4D"
0,2.75806606719347,0.665,0.474,0,"0","SSH2"
0,0.529461063057266,0.12,0.295,0,"0","CACNA2D3"
0,2.2108981344521,0.876,0.714,0,"0","FOS"
0,2.72770003122052,0.16,0.307,0,"0","ST6GALNAC2"
0,0.527116394222009,0.123,0.255,0,"0","PCDH11X"
0,2.90747993222438,0.698,0.584,0,"0","INHBA"
0,2.00230455874197,0.264,0.368,0,"0","DDB2"
0,2.03751380924527,0.933,0.84,0,"0","S100A10"
0,2.28377202782936,0.996,0.933,0,"0","RPL10"
0,1.66620021734258,0.999,0.97,0,"0","FTH1"
7.67218917302036e-307,2.04907064450735,0.492,0.092,1.53443783460407e-303,"0","IGFBP3"
3.14595097249946e-298,2.83283005933468,0.681,0.583,6.29190194499893e-295,"0","EGR1"
4.16447875588921e-298,3.08330965095461,0.469,0.322,8.32895751177841e-295,"0","KCND3"
2.38979694528321e-284,5.17394320934049,0.576,0.389,4.77959389056643e-281,"0","MTSS1"
7.76256554204453e-274,4.06389894860358,0.534,0.175,1.55251310840891e-270,"0","BCAM"
1.04181819610769e-265,4.505826338982,0.258,0.185,2.08363639221537e-262,"0","IL1B"
8.6389743958211e-260,4.65179224458436,0.563,0.335,1.72779487916422e-256,"0","COL17A1"
2.65299783245452e-256,4.94913601360209,0.572,0.4,5.30599566490904e-253,"0","LAMA3"
1.07918075818385e-252,0.584119100632681,0.279,0.443,2.15836151636771e-249,"0","TNFAIP3"
1.26256206852301e-249,1.96417758507185,0.27,0.335,2.52512413704601e-246,"0","SLC7A8"
3.42929983354292e-243,2.75749771106966,0.26,0.397,6.85859966708584e-240,"0","SERPINB2"
2.81261202309792e-239,2.94841545808715,0.576,0.408,5.62522404619584e-236,"0","MIB2"
1.01366557754559e-238,3.27056188276845,0.544,0.34,2.02733115509119e-235,"0","SMARCA1"
6.08769765085539e-224,3.1794980392777,0.266,0.323,1.21753953017108e-220,"0","EDN1"
9.55915842595655e-221,0.490524566931777,0.924,0.933,1.91183168519131e-217,"0","S100A6"
2.27143478419855e-218,2.32320257063016,0.299,0.439,4.5428695683971e-215,"0","SERPING1"
2.23856061340453e-212,0.461448159629261,0.25,0.397,4.47712122680905e-209,"0","MAST1"
3.11875651867463e-212,4.48592863918182,0.516,0.12,6.23751303734927e-209,"0","FERMT1"
3.52899329403939e-210,0.403278416693226,0.481,0.301,7.05798658807878e-207,"0","THSD4"
2.34062320081238e-196,0.260787358429723,0.199,0.409,4.68124640162476e-193,"0","ACP5"
8.16475292936755e-195,0.998217028719916,0.13,0.273,1.63295058587351e-191,"0","BDH1"
5.73222444342541e-187,1.55363918788152,0.197,0.274,1.14644488868508e-183,"0","G630055G22RIK"
1.34115779754884e-178,1.52340914597674,0.5,0.158,2.68231559509769e-175,"0","AKR1C6"
6.13678370792551e-175,3.82778157738347,0.564,0.421,1.2273567415851e-171,"0","DUSP6"
1.21678198776081e-167,0.386589988556498,0.398,0.497,2.43356397552162e-164,"0","ZFP36"
1.24379669524706e-167,2.66420361450477,0.319,0.358,2.48759339049413e-164,"0","EIF4G3"
4.44693091087698e-163,2.86523163657857,0.565,0.414,8.89386182175396e-160,"0","TRAF5"
7.39620756119293e-154,2.97876321420918,0.507,0.293,1.47924151223859e-150,"0","RAB25"
1.70662213560673e-151,0.971610497041961,0.604,0.422,3.41324427121346e-148,"0","FLRT3"
1.52054848851877e-150,1.60375114253492,0.344,0.38,3.04109697703754e-147,"0","AKR1C14"
5.3232594121151e-144,1.47152188617132,0.411,0.28,1.06465188242302e-140,"0","KLK7"
7.65195686185821e-137,3.19920694856185,0.532,0.334,1.53039137237164e-133,"0","PITX1"
3.91652186087228e-136,3.72892950586124,0.26,0.016,7.83304372174455e-133,"0","H2BC27"
1.06283781388756e-135,2.16397411897751,0.598,0.47,2.12567562777512e-132,"0","HES1"
2.20536933143044e-134,2.119188320503,0.625,0.557,4.41073866286088e-131,"0","SAT1"
9.84836574688502e-133,0.500797790254283,0.507,0.39,1.969673149377e-129,"0","IL1A"
4.13881681330879e-130,2.01237820399517,0.578,0.445,8.27763362661757e-127,"0","NQO1"
4.17097106020578e-128,0.529694574895059,0.394,0.484,8.34194212041156e-125,"0","STMN1"
7.27836942619748e-127,3.44041765595899,0.526,0.363,1.4556738852395e-123,"0","RBM8A2"
2.72545769248242e-126,3.35685689102177,0.475,0.079,5.45091538496485e-123,"0","HEBP2"
6.16449198454766e-122,4.97069371463964,0.501,0.223,1.23289839690953e-118,"0","CALB2"
3.1737100535888e-119,1.48914672198279,0.616,0.492,6.3474201071776e-116,"0","COL7A1"
3.5064485518138e-118,3.44216718997965,0.538,0.405,7.0128971036276e-115,"0","ARL6IP1"
1.21277780692929e-117,0.511009461608752,0.432,0.341,2.42555561385858e-114,"0","AKR1C18"
2.73193329506427e-117,1.12029520698096,0.634,0.527,5.46386659012854e-114,"0","IGFBP7"
