"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.79154644843682,0.916,0.358,0,"0","ERO1A"
0,1.70846585464008,0.893,0.372,0,"0","1110038B12RIK"
0,1.5046224475452,0.921,0.447,0,"0","PDGFRA"
0,1.34694346466686,0.794,0.336,0,"0","GPI1"
0,2.17603702234917,0.581,0.144,0,"0","HMOX1"
0,0.975099668250886,0.836,0.411,0,"0","KCNQ1OT1"
0,2.0071028513339,0.597,0.181,0,"0","KDR"
0,0.993413771064001,0.813,0.397,0,"0","2410006H16RIK"
0,0.858956102357639,0.86,0.456,0,"0","CWC22"
0,1.05307295566413,0.777,0.38,0,"0","GAS5"
0,0.925190950724086,0.866,0.47,0,"0","LDHA"
0,0.846503674422092,0.883,0.487,0,"0","PGK1"
0,0.970854394641385,0.78,0.385,0,"0","HSPA9"
0,0.704874106649135,0.981,0.588,0,"0","MT-ND2"
0,0.822811269067084,0.977,0.585,0,"0","CHIC2"
0,0.985933026348689,0.856,0.469,0,"0","SQSTM1"
0,0.944172047799298,0.724,0.339,0,"0","PLK2"
0,0.553605449087335,0.979,0.597,0,"0","SPP1"
0,1.46542878363076,0.642,0.262,0,"0","AKR1B1"
0,0.795677635962348,0.902,0.522,0,"0","PKM"
0,0.757248479905806,0.935,0.555,0,"0","MT-ND5"
0,1.09640836063544,0.719,0.339,0,"0","RESF1"
0,1.18817238940979,0.731,0.353,0,"0","CDKN1A"
0,0.546591430297821,0.983,0.608,0,"0","MT-ND4"
0,0.977204563253408,0.77,0.398,0,"0","SFR1"
0,0.864981508944237,0.769,0.399,0,"0","UQCRH"
0,0.819553010485092,0.827,0.457,0,"0","FN1"
0,0.798715335791719,0.993,0.625,0,"0","FTL1"
0,0.518238444050592,0.856,0.488,0,"0","CTSL"
0,0.495911050445205,0.99,0.622,0,"0","MT-ND1"
0,0.860546195922362,0.733,0.366,0,"0","P4HA1"
0,0.816370922955775,0.993,0.629,0,"0","RPS26"
0,0.872132808369388,0.735,0.372,0,"0","ESD"
0,0.778005837944062,0.816,0.454,0,"0","VEGFA"
0,0.668827461748211,0.921,0.56,0,"0","ALDOA"
0,0.820489954915803,0.771,0.411,0,"0","PGAM1"
0,1.26193320407896,0.63,0.27,0,"0","SERPINB6A"
0,0.736667317045984,0.959,0.6,0,"0","RPL39"
0,0.46552916671756,0.983,0.624,0,"0","MT-CYTB"
0,0.488314827223443,0.978,0.62,0,"0","RPL41"
0,0.515003281562477,0.994,0.636,0,"0","MT-CO2"
0,0.826397556068983,0.793,0.438,0,"0","IER3"
0,0.803787682796502,0.748,0.395,0,"0","TNFRSF12A"
0,0.713130095883937,0.76,0.408,0,"0","MT-ND4L"
0,0.572456400799054,0.9,0.548,0,"0","RPS2"
0,0.665895079848085,0.83,0.48,0,"0","CSTB"
0,0.712878145893686,0.737,0.388,0,"0","RBPJ"
0,0.674410293609385,0.985,0.636,0,"0","RPL21"
0,1.4167647912707,0.58,0.231,0,"0","LOX"
0,0.722708206652272,0.99,0.643,0,"0","RPL6"
0,0.569578276584695,0.883,0.537,0,"0","PPP3CA"
0,0.923421312986787,0.99,0.644,0,"0","RPL38"
0,0.55250016683779,0.975,0.637,0,"0","RPS15A"
0,0.974167515052442,0.592,0.256,0,"0","PID1"
0,0.508765708057536,0.945,0.61,0,"0","CCT2"
0,0.71657129973941,0.723,0.394,0,"0","RPL35"
0,0.637001593122323,0.929,0.601,0,"0","RPL35A"
0,0.668829728379074,0.724,0.396,0,"0","BSG"
0,0.780241627865096,0.693,0.37,0,"0","TPI1"
0,1.072552211927,0.608,0.286,0,"0","ZFAS1"
0,0.775779727132877,0.705,0.383,0,"0","KLF4"
0,0.544583496822912,0.724,0.403,0,"0","MDM2"
