"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.16384852163601,0.526,0.133,0,"0","GM9920"
0,1.53090894571906,0.537,0.146,0,"0","GM32718"
0,2.47026218824299,0.472,0.093,0,"0","ADRA1A"
0,0.441205056762385,0.529,0.151,0,"0","4732419C18RIK"
0,3.1050016500547,0.531,0.155,0,"0","BC018473"
0,1.8087667309984,0.519,0.154,0,"0","GM20442"
0,2.13167091830938,0.468,0.105,0,"0","4930556G01RIK"
0,0.90196761947237,0.576,0.213,0,"0","PDE4C"
0,1.721420286673,0.536,0.175,0,"0","GM43409"
0,2.49400736100422,0.536,0.182,0,"0","COLGALT2"
0,1.37939480847076,0.477,0.127,0,"0","SRGN"
0,0.782352273264825,0.573,0.23,0,"0","LRRC36"
0,2.22886406237011,0.479,0.136,0,"0","ADORA3"
0,1.15036949498962,0.494,0.153,0,"0","MARCHF1"
0,1.06852037966484,0.537,0.197,0,"0","TTLL9"
0,2.33553695797868,0.589,0.25,0,"0","TESK2"
0,0.534374666551365,0.522,0.185,0,"0","SERPINB9G"
0,0.985790031512634,0.515,0.178,0,"0","GM47507"
0,1.58354231502373,0.594,0.257,0,"0","GM31115"
0,1.2999650900753,0.566,0.23,0,"0","IQANK1"
0,1.32078000571096,0.429,0.094,0,"0","MIR503HG"
0,2.76508266929619,0.545,0.211,0,"0","CCR7"
0,1.18110816055755,0.504,0.171,0,"0","ALYREFFM1"
0,2.3462552350233,0.483,0.153,0,"0","SPMIP3"
0,1.19549644558429,0.552,0.224,0,"0","H2BC8"
0,1.35602745128283,0.486,0.159,0,"0","GM42951"
0,1.24753405636508,0.52,0.194,0,"0","GM11659"
0,0.29172830304406,0.508,0.183,0,"0","GM973"
0,1.38072290905868,0.53,0.206,0,"0","H3C4"
0,1.76551292132543,0.576,0.252,0,"0","LYPD6B"
0,0.94569409422896,0.544,0.222,0,"0","SH3TC2"
0,1.88173372047123,0.532,0.21,0,"0","NTS"
0,0.59395395469264,0.527,0.206,0,"0","FAM186A"
0,0.510049425795946,0.578,0.26,0,"0","KSR2"
0,0.892520958698616,0.5,0.185,0,"0","GREB1L"
0,1.2509924355772,0.526,0.212,0,"0","GDF15"
0,0.740478941042544,0.551,0.24,0,"0","GRIN1"
0,0.722981118583252,0.377,0.066,0,"0","GM16630"
0,2.14122687205948,0.486,0.176,0,"0","GM15287"
0,0.954734238783717,0.446,0.137,0,"0","DNAH7A"
0,0.902616996825282,0.454,0.146,0,"0","PDGFD"
0,0.892352452679555,0.56,0.255,0,"0","C330002G04RIK"
0,0.823179945791495,0.471,0.167,0,"0","PLA2G4B"
0,0.28326965488675,0.448,0.15,0,"0","OR2W1B"
0,1.2093332740668,0.868,0.574,0,"0","PLK2"
0,2.68590911164503,0.513,0.219,0,"0","4930447C04RIK"
0,1.74767035901481,0.513,0.22,0,"0","SCIN"
0,1.83168874217048,0.516,0.226,0,"0","GPR15LG"
0,1.57952457656449,0.533,0.243,0,"0","GM42743"
0,1.28453636992097,0.48,0.19,0,"0","GM26802"
0,1.0334646349434,0.52,0.231,0,"0","ARMH1"
0,1.13220932666427,0.548,0.262,0,"0","GM56638"
0,0.499645476741529,0.436,0.151,0,"0","CCDC68"
0,1.26733608453513,0.591,0.306,0,"0","PECAM1"
0,1.19850284275524,0.585,0.3,0,"0","ENSMUSG00000097603"
0,0.913725511260894,0.395,0.111,0,"0","MUC21"
0,0.935757726367256,0.55,0.266,0,"0","GM17501"
0,1.10862396376314,0.43,0.146,0,"0","IL17C"
0,1.26654593755321,0.566,0.283,0,"0","TRPV2"
0,1.43705145383864,0.435,0.159,0,"0","ZG16"
0,1.33878402357786,0.488,0.213,0,"0","2310002F09RIK"
0,1.88320602819856,0.582,0.307,0,"0","GM15932"
0,1.41934975844002,0.514,0.24,0,"0","NRXN3"
0,2.70713845651288,0.405,0.134,0,"0","GM11280"
0,0.526754264633783,0.454,0.184,0,"0","MYO16"
0,1.04246937083535,0.804,0.535,0,"0","SLIT2"
0,0.547524030337495,0.545,0.276,0,"0","PAPPA2"
0,1.82285109393737,0.938,0.669,0,"0","ERO1A"
0,0.405061408194739,0.453,0.185,0,"0","GM41555"
0,0.604869844325388,0.946,0.679,0,"0","RPS2"
0,0.663970416501712,0.495,0.229,0,"0","GM15404"
0,1.06226133525947,0.924,0.658,0,"0","SQSTM1"
0,1.1450976439815,0.453,0.188,0,"0","MORN3"
0,1.73108607620473,0.472,0.211,0,"0","SKINT7"
0,0.461930563459738,0.98,0.719,0,"0","RPL41"
0,0.5159425000497,0.412,0.153,0,"0","KNDC1"
0,1.77663896242742,0.927,0.668,0,"0","1110038B12RIK"
0,0.850825040602322,0.525,0.266,0,"0","NPPB"
0,0.964883240867374,0.485,0.228,0,"0","SPATA31G1"
0,1.53109636597959,0.442,0.185,0,"0","RNASE2A"
0,1.80649822291462,0.485,0.229,0,"0","IL18R1"
0,1.95139293368427,0.474,0.218,0,"0","PPP1R42"
0,1.35528741233911,0.485,0.231,0,"0","FCGR1"
0,1.44871940256839,0.45,0.197,0,"0","NCMAP"
0,1.1434186863389,0.684,0.434,0,"0","USP53"
0,1.28019332996082,0.527,0.277,0,"0","ABAT"
0,1.40298131544529,0.393,0.144,0,"0","CTF2"
0,0.4280381801367,0.535,0.287,0,"0","GM56830"
0,0.431645078114176,0.459,0.211,0,"0","TMPRSS11A"
0,0.251928180278726,0.477,0.229,0,"0","TMBIM7"
0,1.06292334320017,0.471,0.223,0,"0","NPAS1"
0,1.15189387433969,0.524,0.277,0,"0","MMP25"
0,0.989426743122522,0.404,0.158,0,"0","TPH2"
0,1.5564189632723,0.375,0.13,0,"0","GM28410"
0,2.08680946568344,0.466,0.223,0,"0","GM34045"
0,0.983172180089825,0.431,0.188,0,"0","VMN2R3"
0,1.75420671235483,0.588,0.346,0,"0","ENSMUSG00000113063"
0,1.3779262307426,0.345,0.105,0,"0","GM43608"
0,0.896054400920276,0.473,0.233,0,"0","2410004I01RIK"
0,0.890403662528605,0.35,0.112,0,"0","GM5099"
0,1.00020908207347,0.722,0.485,0,"0","GHR"
0,0.642761801909381,0.964,0.727,0,"0","RPL39"
0,0.939502578715816,0.99,0.753,0,"0","RPL38"
0,2.67947605986636,0.401,0.165,0,"0","GM30487"
0,0.634403662459488,0.548,0.314,0,"0","VDR"
0,1.67609209232196,0.469,0.236,0,"0","DHRS7C"
0,2.03416974235636,0.374,0.142,0,"0","GM34322"
0,1.20392664889739,0.581,0.35,0,"0","CPNE5"
