"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.78266740956062,0.917,0.36,0,"0","ERO1A"
0,1.70300208844663,0.895,0.373,0,"0","1110038B12RIK"
0,1.50138875895096,0.923,0.448,0,"0","PDGFRA"
0,1.34757024041047,0.797,0.337,0,"0","GPI1"
0,2.16750142286331,0.584,0.145,0,"0","HMOX1"
0,0.968784073655357,0.837,0.412,0,"0","KCNQ1OT1"
0,1.9982090244334,0.6,0.182,0,"0","KDR"
0,0.989457573269255,0.814,0.398,0,"0","2410006H16RIK"
0,0.85226078886339,0.86,0.458,0,"0","CWC22"
0,1.05208728884015,0.779,0.381,0,"0","GAS5"
0,0.92731261366685,0.869,0.471,0,"0","LDHA"
0,0.971104991261154,0.782,0.386,0,"0","HSPA9"
0,0.842048265212453,0.884,0.489,0,"0","PGK1"
0,0.699014825168679,0.982,0.589,0,"0","MT-ND2"
0,0.824327619908575,0.977,0.586,0,"0","CHIC2"
0,0.987371046755336,0.858,0.47,0,"0","SQSTM1"
0,0.937776678804678,0.725,0.341,0,"0","PLK2"
0,1.45605607819749,0.644,0.263,0,"0","AKR1B1"
0,0.750741595883919,0.937,0.556,0,"0","MT-ND5"
0,0.552445729986741,0.979,0.599,0,"0","SPP1"
0,1.18886774094266,0.734,0.354,0,"0","CDKN1A"
0,1.09165316857253,0.72,0.34,0,"0","RESF1"
0,0.788000783445058,0.903,0.524,0,"0","PKM"
0,0.541702439178968,0.984,0.609,0,"0","MT-ND4"
0,0.97862281661761,0.773,0.399,0,"0","SFR1"
0,0.863914874204509,0.771,0.4,0,"0","UQCRH"
0,0.813936284913824,0.828,0.458,0,"0","FN1"
0,0.801291707997409,0.994,0.626,0,"0","FTL1"
0,0.517986796578145,0.857,0.489,0,"0","CTSL"
0,0.85523825971168,0.734,0.367,0,"0","P4HA1"
0,0.49026395558833,0.99,0.624,0,"0","MT-ND1"
0,0.870594390353575,0.737,0.373,0,"0","ESD"
0,0.814926715871902,0.993,0.63,0,"0","RPS26"
0,1.26615625441016,0.634,0.271,0,"0","SERPINB6A"
0,0.779089374400363,0.818,0.455,0,"0","VEGFA"
0,0.822799698549969,0.774,0.412,0,"0","PGAM1"
0,0.669215256515219,0.922,0.561,0,"0","ALDOA"
0,0.739875958177792,0.961,0.601,0,"0","RPL39"
0,0.460880825937874,0.983,0.625,0,"0","MT-CYTB"
0,0.486587377482672,0.979,0.622,0,"0","RPL41"
0,0.511172669678779,0.994,0.637,0,"0","MT-CO2"
