"","logFC","logCPM","F","PValue","FDR"
"HSPB1",-2.60874668109628,3.87679818981575,83.9839605435028,1.51824226194197e-07,0.00406129805069477
"NFKB1",-1.10745899687749,8.99071825335131,48.8832313231209,4.27008677120109e-06,0.0571124105648145
"KCNK10",-1.4774622458445,2.67477366549676,41.006227269202,1.17026254448369e-05,0.0680618448851903
"COL3A1",-1.04306501872536,6.77776748173024,40.0045772211738,1.34393328945077e-05,0.0680618448851903
"ANGPT1",-1.3477764012963,3.80069436291016,38.8303668727912,1.58616894875171e-05,0.0680618448851903
"GM4841",-1.54676592363391,2.95799272358875,38.6252429835355,1.63347237433786e-05,0.0680618448851903
"CXCL10",-1.89100946002812,6.12805173069983,37.5853992067836,1.89853071244353e-05,0.0680618448851903
"IIGP1C",-1.82050747191413,3.90068012094954,37.1112443353286,2.03549442647298e-05,0.0680618448851903
"POLD4",0.58065714718859,8.61871623031266,32.7469600110539,3.99104748703671e-05,0.0995295360967663
"IIGP1",-1.79086653106474,4.75635282032885,32.6278865738221,4.06866987646962e-05,0.0995295360967663
"F830016B08RIK",-1.76404612542483,2.53481187234777,32.5922432527295,4.09280335351188e-05,0.0995295360967663
"NRP1",-0.848152957106986,4.65199861340231,31.8142561601124,4.6469154570117e-05,0.102750808199604
"NR4A1",-0.706770490549318,7.63072616674737,31.3798071077735,4.99349722091534e-05,0.102750808199604
"CCL5",-1.81641956192561,3.54645637241172,30.6447021429091,5.64920779379451e-05,0.107940220345716
"CHD7",-0.763844858232049,4.60966511437811,28.9156540115409,7.6132604084407e-05,0.131777826667194
"PTPRN",-0.612413648238677,6.000309254769,28.7190484121578,7.88203823056111e-05,0.131777826667194
"NR4A3",-0.976975419200054,5.14194691659353,28.2931165736509,8.50223058044756e-05,0.133785098839395
"CXCL1",-1.26925520275597,8.85047690082664,27.1923207141359,0.000103784093298082,0.154234694206871
"SAA3",-2.39129309153186,5.25079616172232,25.6909613506779,0.000137443618229432,0.193506146717753
"CP",-1.13465607053875,7.03321983515797,24.8384932541572,0.000161994459679007,0.215934452485749
"SLC9A9",-0.944393051404798,3.81917848428356,24.6064049138378,0.000169518635596289,0.215934452485749
"PDE4B",-0.721811726183378,4.57771593382312,23.9630598705883,0.000192527081549202,0.225086485792082
"LY6C1",-1.29059032820287,3.06139691258575,23.5818682240622,0.000207832911226423,0.225086485792082
"RNF217",-0.513317059920469,7.40563069128473,23.5349412329128,0.000209801303727425,0.225086485792082
"IRF1",-0.708889513987606,6.80488575811004,23.5217427613162,0.000210361201674843,0.225086485792082
"TMEM119",-0.810181436259684,3.96281903160578,23.1059217453277,0.000228902884542602,0.235505852365946
"CEBPD",-0.658154940483665,6.26881763859941,22.9092833992582,0.000238308232330695,0.236101674623929
"NGF",-0.651252147074547,6.86172734883218,22.2287896649263,0.00027442429678612,0.246879675465224
"FABP4",-0.922994719406209,3.68656196199496,22.1257696994073,0.000280420942731817,0.246879675465224
"NR1D1",0.704894332716797,4.97805348867436,21.8723261767994,0.000295801158149858,0.246879675465224
"ANKRD37",0.914328091010876,5.77946333487603,21.8516721304706,0.000297095666601276,0.246879675465224
"ANGPTL4",-1.03929424451442,4.32997552669584,21.7534787444651,0.000303345530629109,0.246879675465224
"C3",-1.02997285119039,7.37971556323608,21.70037012104,0.000306783553337705,0.246879675465224
"PDPN",-0.627650285606926,6.45171335104177,21.5942753175055,0.000313790989376359,0.246879675465224
"4833427F10RIK",-1.0577386280635,2.30865311326105,21.1018770880269,0.000348813698054006,0.266593326369847
"IRGM2",-0.749849384705259,4.39692125838596,20.8502887347912,0.000368368218016242,0.270534821367624
"CCL2",-1.15170234493506,8.99360659999278,20.7782665732484,0.000374197696844937,0.270534821367624
"PADI1",1.06874253091305,2.81723678093427,20.1969045895938,0.000425334876846217,0.29185926158385
"GBP6",-1.00689986363981,2.97853277586881,20.1949593199515,0.000425514437449352,0.29185926158385
"U90926",-1.58148430846806,1.4027244444325,19.6267569813076,0.000483492681026863,0.323335730436715
"ENSMUSG00000090244",5.73020455164412,-1.4558348723459,19.9797392449766,0.000527803413018675,0.344359543859745
"SOCS1",-0.560324565231455,5.59656487175319,19.0562003935186,0.000550460484210305,0.350590903633945
"CSMD3",-0.672082873994654,5.04443158400181,18.742771865304,0.000591842355513078,0.362727250505746
"IFI47",-1.0560392082693,3.06792993895693,18.7081931680358,0.000596635477467396,0.362727250505746
"TMEM176A",-0.652523324452609,8.09969059494986,18.5724430127942,0.00061580649331609,0.366062748804564
"IL1A",-1.11628852720754,3.39187902241981,18.2523066168533,0.000663907753324543,0.383124720556933
"PTN",-1.03091522275645,4.42057558304851,18.1774158582546,0.000675755915017203,0.383124720556933
"TSIX",5.61697825159973,-1.52630307067182,18.7733930569011,0.000687476134083469,0.383124720556933
"GM56862",-1.79402149686846,0.476250832571702,17.9538670866816,0.00071491845920338,0.390287118034498
"IGFBP7",-0.712780569354197,5.71726442618551,17.84143624623,0.000731994297379664,0.39161694909812
