"","logFC","logCPM","F","PValue","FDR"
"GM12703",-6.32652596442582,4.06428216838746,18.8592018174459,9.44456952562135e-05,1
"AGBL3",0.929043953056756,7.83454058572513,18.4343935181605,0.000105997109864823,1
"HIPK3",1.0527151180917,6.74827787278477,16.588909702931,0.000208727080199336,1
"UROS",3.86026141291515,3.58839788046732,16.2032358461371,0.000233638507394628,1
"CXCL5",-0.932963954336036,7.39192936945589,15.7196607063878,0.000289728544333686,1
"MACROH2A2",5.31447178801613,3.12275918452702,15.2356100733615,0.000357581472148334,1
"ATP2C2",1.46501660406349,6.19038508451847,14.7186082146632,0.000425861123729534,1
"PRAF2",1.80411574808769,4.78181195610456,14.3904000127925,0.000484340737383594,1
"SPRED3",-5.49735429902767,3.49006735792041,14.3567537283625,0.000502808522463836,1
"EVA1C",3.62280171210958,3.44809655932232,13.4325822262863,0.00069008635395818,1
"1700034P13RIK",-1.30944472375081,5.77569935503969,13.2352617794612,0.00076555898341143,1
"C3",-0.851547036169756,7.32514636594455,13.0207686595121,0.000834262727243172,1
"MORN3",-5.38329285758902,3.41923378818697,13.0629865249029,0.0008379602754258,1
"PARP16",2.0511859049604,4.29907569045116,12.6131470945999,0.000981893259808445,1
"LCE1G",0.859822758818808,6.98115494853216,12.3528637607611,0.00109472942752108,1
"TMEM163",5.12512045433675,3.02697947842553,12.2425483357345,0.00116497730576184,1
"ENSMUSG00000121479",3.49146484049513,3.37170186456312,12.0827709214858,0.00119819563095696,1
"DNM3OS",1.92815946064482,4.37989889450581,12.0028100146046,0.00126309773663343,1
"ATP10D",0.967459212252452,6.44866734681027,11.9692608610763,0.00128212218313555,1
"SLPI",-0.789537126702236,8.2977710820765,11.8965219835366,0.00132128498056431,1
"FER1L4",5.31606934657051,3.12397770280873,11.9347194212726,0.00132332701679906,1
"TEX21",2.05921657696377,4.45756217291974,11.8654509484688,0.00133694290053876,1
"CXCL10",-0.810203825359565,8.14994808378111,11.6741717588896,0.00144919671573823,1
"NSD1",-2.07738803230459,4.55333831515726,11.631980801846,0.0014664774803016,1
"CYLD",0.995033754905934,6.25139700104322,11.5625639379899,0.00151834814403153,1
"DQX1",-5.13098005437571,3.27283605816886,11.5374051187857,0.00156097240737196,1
"GM16552",2.33355385070159,3.88286666462557,11.4189648839096,0.00159595712047239,1
"RPS6KL1",-3.80226059894634,4.1179569237675,11.3784519142921,0.00160678324230988,1
"ECE2",-5.2723242481808,3.35776754265308,11.4021963247353,0.00165192268184299,1
"FBXL12OS",-5.12886084549713,3.2706631692834,11.3702613480061,0.00167353902715756,1
"CRYZL2",3.03459624512385,3.64654275392633,11.2508652390931,0.00168778573549348,1
"DYNC2I2",-3.33784262527432,3.8055592823533,11.2311728996357,0.00171048948347689,1
"EBPL",1.83437888922609,4.45064304271938,11.2640648420509,0.00172023429767598,1
"GM35019",1.79449672084999,4.56376755739009,11.2638186704028,0.00172114992816757,1
"PTGS1",1.01949213931565,6.28286742530642,11.225275723163,0.0017491568538242,1
"GM16754",2.92437278578616,3.5838044146849,10.9891558520813,0.00188668971870373,1
"IFIT3",-5.48901355118106,3.481542498587,10.9121298131897,0.00202968250369529,1
"FAM222A",-5.48901355118106,3.481542498587,10.9121298131897,0.00202968250369529,1
"GM15283",-3.40222997085851,3.84134495565371,10.7420493431551,0.00210731995952916,1
"SLC44A4",1.74892751900384,4.52063543339902,10.6671875411933,0.00221663983804353,1
"MIIP",3.33916194708566,3.29365959003733,10.5305139335531,0.00231004122501072,1
"INPP5K",2.3372794529066,3.8819461736366,10.4342959966357,0.00242732072905431,1
"PEX19",1.90825120342968,4.2143498160407,10.4314366882983,0.00244785989299782,1
"CLCA4A",-4.98442809358467,3.19212927136242,10.4616935971902,0.00245533723119046,1
"GORASP1",-4.98442809358467,3.19212927136242,10.4616935971902,0.00245533723119046,1
"GM10575",-4.98442809358467,3.19212927136242,10.4616935971902,0.00245533723119046,1
"GM49586",-4.98442809358467,3.19212927136242,10.4616935971902,0.00245533723119046,1
"GRHL2",-4.98229865131353,3.18994336373233,10.391291337866,0.00253039141720844,1
"GM47003",3.34295750636741,3.29267189798076,10.3173002978553,0.00253329903859143,1
"GRIK4",4.90984688261867,2.9263876625635,10.3303682015554,0.0025909829407327,1
"FRMD8OS",-5.12463093301113,3.26632544852587,10.2596157459383,0.00267848492367205,1
"GM5099",-5.12463093301113,3.26632544852587,10.2596157459383,0.00267848492367205,1
"RARRES2",1.16134460265003,5.51442158371744,10.1875188741565,0.00272446472019382,1
"SLC7A14",2.66294531031112,3.44523962774999,10.0579107441316,0.0028210138306291,1
"CFAP54",-5.13948540091328,3.281554588484,10.0706881558809,0.00290563815406509,1
"GSTT3",-4.98017209910507,3.18776020452852,10.0664738658915,0.00290969046939367,1
"TTC7B",1.61081769547936,4.5560550236189,10.0311713166644,0.00291605150992952,1
"EXOSC10",-0.990168255704473,6.15983434346158,9.90134459666339,0.00308469044935087,1
"GM20652",-3.15815126373431,3.68928552544291,9.82739163324605,0.00313486629720346,1
"ZFP704",2.79544439173759,3.51503792022304,9.7446366286194,0.00323765382647777,1
"SLC26A5",-5.25544019562008,3.34047639741528,9.70769503932992,0.00340199577372525,1
"FBXO44",2.51658431926969,3.70852807813667,9.64326387657664,0.00340856291072315,1
"PDZRN4",3.17626471564081,3.20836415880761,9.40110656440276,0.00378558024997301,1
"IBA57",-4.81894385656414,3.10424071645061,9.33217668629668,0.00400616482630824,1
