"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"NPM1",0.749,0.471636518616672,0.498,0.708433466282123,0.991,0.884,"0","NPM1"
"RPL23",0.733,0.348831262038436,0.466,0.512062679551381,1,0.957,"0","RPL23"
"RPL30",0.73,0.35195282943919,0.46,0.519055758630578,0.998,0.947,"0","RPL30"
"RPL9",0.727,0.39779165960617,0.454,0.595257983781012,0.994,0.916,"0","RPL9"
"1110038B12RIK",0.726,0.592621222981985,0.452,0.948190350881977,0.907,0.641,"0","1110038B12RIK"
"RPS10",0.716,0.335834857293426,0.432,0.495765570476427,0.999,0.94,"0","RPS10"
"RPS7",0.71,0.331838356497047,0.42,0.492902090692749,0.997,0.932,"0","RPS7"
"RPL26",0.708,0.289066509631522,0.416,0.425031287609176,0.999,0.953,"0","RPL26"
"RPL32",0.705,0.302168055588779,0.41,0.445064164400604,0.999,0.948,"0","RPL32"
"HSPA5",0.701,0.561886249126456,0.402,0.841927624023254,0.961,0.834,"0","HSPA5"
"COL1A2",0.729,0.798474901532703,0.458,1.33774868092976,0.805,0.424,"1","COL1A2"
"SPP1",0.725,0.521181429678736,0.45,0.76455834646801,0.994,0.909,"1","SPP1"
"HMGA2",0.724,0.575974945443849,0.448,0.879337408897356,0.965,0.762,"1","HMGA2"
"S100A4",0.72,0.538265835088882,0.44,0.818711882913568,0.958,0.732,"1","S100A4"
"ERO1A",0.778,0.784798207451926,0.556,1.20651802747072,0.959,0.61,"2","ERO1A"
"PDGFRA",0.755,0.636491863437779,0.51,0.986021545383795,0.97,0.747,"2","PDGFRA"
"HMOX1",0.712,0.767698147575893,0.424,1.43288200490465,0.678,0.287,"2","HMOX1"
"HSPA51",0.772,0.887985082839523,0.544,1.32333753944818,0.984,0.844,"3","HSPA5"
"FTL1",0.765,0.542113798022861,0.53,0.800915968104133,0.996,0.937,"3","FTL1"
"ALDOA",0.76,0.597110751363225,0.52,0.926125763346632,0.966,0.784,"3","ALDOA"
"ERO1A1",0.748,0.702354695987101,0.496,1.07684364553097,0.956,0.634,"3","ERO1A"
"MALAT1",0.736,0.389488176294903,0.472,0.564416800382613,0.997,0.933,"3","MALAT1"
"BNIP3",0.71,0.731617085959484,0.42,1.38412105822675,0.694,0.348,"3","BNIP3"
"NUPR1",0.706,0.655185930698759,0.412,1.09791858561008,0.798,0.499,"3","NUPR1"
"FTH1",0.705,0.528119862961959,0.41,0.774952124467794,0.996,0.951,"3","FTH1"
"HSP90B1",0.705,0.594399592555241,0.41,0.9165200523494,0.937,0.79,"3","HSP90B1"
"RPS3",0.702,0.364820058096822,0.404,0.546805413273519,0.988,0.92,"3","RPS3"
"TOP2A",0.904,1.64155008293754,0.808,3.02204543833326,0.915,0.174,"4","TOP2A"
"H2AZ1",0.835,0.818062484505941,0.67,1.28099846438019,0.986,0.723,"4","H2AZ1"
"HMGB2",0.831,1.02396288397575,0.662,1.85982954825689,0.884,0.286,"4","HMGB2"
"LGALS1",0.829,0.717320488261624,0.658,1.06794841138984,0.999,0.866,"4","LGALS1"
"SMC2",0.828,1.21070426348564,0.656,2.71723159499975,0.768,0.126,"4","SMC2"
"HMGB1",0.804,0.753013340722178,0.608,1.21539490549482,0.967,0.648,"4","HMGB1"
"S100A41",0.8,0.806653034518845,0.6,1.21885686543554,0.982,0.749,"4","S100A4"
"NFKBIA",0.799,0.855258276237983,0.598,1.35297775695908,0.946,0.573,"4","NFKBIA"
"CCND1",0.796,0.81833458399616,0.592,1.32860760103218,0.939,0.527,"4","CCND1"
"SMC4",0.778,0.89901469307229,0.556,1.82471190904961,0.768,0.229,"4","SMC4"
"PCLAF",0.777,1.13753036721565,0.554,3.42046945913555,0.604,0.05,"4","PCLAF"
"MKI67",0.776,1.11257894928722,0.552,2.57052921892562,0.643,0.083,"4","MKI67"
"H3F3B",0.774,0.575157366428725,0.548,0.8489555443155,0.998,0.916,"4","H3F3B"
"ATAD2",0.772,0.958184366181718,0.544,2.08512624073906,0.713,0.18,"4","ATAD2"
"RRM2",0.772,1.13581340458744,0.544,3.43219476199504,0.597,0.055,"4","RRM2"
"PPIA",0.765,0.476902539451254,0.53,0.719118184650744,0.998,0.883,"4","PPIA"
"MCM3",0.756,1.02155943777388,0.512,2.91522030683701,0.593,0.081,"4","MCM3"
"TUBA1B",0.743,0.624561580243659,0.486,1.04302182804024,0.907,0.587,"4","TUBA1B"
"CENPM",0.74,0.950496836928514,0.48,2.25629518348227,0.603,0.124,"4","CENPM"
"PTMA",0.735,0.398339588804653,0.47,0.596201375428747,0.997,0.92,"4","PTMA"
"TUBB5",0.733,0.554758850714353,0.466,0.887019169694901,0.941,0.67,"4","TUBB5"
"SRSF3",0.729,0.619561069880382,0.458,1.11202590847781,0.845,0.445,"4","SRSF3"
"AI506816",0.729,0.759934199261463,0.458,1.59116464985376,0.694,0.251,"4","AI506816"
"D17H6S56E-5",0.722,0.876162871042287,0.444,2.80949622893852,0.515,0.071,"4","D17H6S56E-5"
"RANBP1",0.715,0.637385222309561,0.43,1.27345652517652,0.723,0.313,"4","RANBP1"
"HNRNPAB",0.712,0.521011675259772,0.424,0.886761870672979,0.895,0.582,"4","HNRNPAB"
"S100A6",0.712,0.40968076889432,0.424,0.608865139370396,0.996,0.897,"4","S100A6"
"PCNA",0.71,0.741682207956928,0.42,1.78069016412895,0.596,0.178,"4","PCNA"
"TOPBP1",0.709,0.756583005616924,0.418,2.028921001655,0.545,0.123,"4","TOPBP1"
"STMN1",0.709,0.787078867193241,0.418,2.12847543835731,0.536,0.118,"4","STMN1"
"HSP90AA1",0.705,0.376692810670085,0.41,0.578456937803821,0.989,0.836,"4","HSP90AA1"
"NDUFA4",0.705,0.547552455994319,0.41,0.957081263832836,0.837,0.507,"4","NDUFA4"
"CENPE",0.705,0.782354613457348,0.41,1.99676154255432,0.51,0.091,"4","CENPE"
"S100A10",0.705,0.46856387281123,0.41,0.749094806650456,0.94,0.686,"4","S100A10"
"BIRC5",0.704,0.812459592788318,0.408,2.7334042456307,0.469,0.056,"4","BIRC5"
"BRCA2",0.704,0.781388508411395,0.408,2.21059480924174,0.516,0.107,"4","BRCA2"
"NSD2",0.703,0.662192812525719,0.406,1.45465178051328,0.639,0.232,"4","NSD2"
"IFITM3",0.861,1.25644061562491,0.722,1.97659648260611,0.958,0.523,"5","IFITM3"
"SERPINH1",0.765,0.897123752660244,0.53,1.58957433712966,0.815,0.427,"5","SERPINH1"
"SLPI",0.759,1.38681022209016,0.518,2.16067965427718,0.824,0.465,"5","SLPI"
"IFITM2",0.757,0.967081351192702,0.514,1.73853010431457,0.778,0.387,"5","IFITM2"
"COL1A21",0.754,0.951583875672373,0.508,1.5621445198274,0.841,0.458,"5","COL1A2"
"ISG15",0.743,1.23811180578114,0.486,2.60916452815774,0.609,0.158,"5","ISG15"
"NUPR11",0.74,0.888523139503193,0.48,1.47100334976367,0.818,0.502,"5","NUPR1"
"DCN",0.736,0.881589003189381,0.472,1.47688891444229,0.785,0.418,"5","DCN"
"BST2",0.725,0.974467386446333,0.45,1.92032359938517,0.637,0.242,"5","BST2"
"ACTB",0.724,0.451902643270917,0.448,0.674196900261557,0.996,0.908,"5","ACTB"
"PMEPA1",0.712,0.61388494843838,0.424,0.987786254617643,0.9,0.653,"5","PMEPA1"
