"","i","j","path1","path2","overlap","union","jaccard","Cluster"
"1",1,2,"R-MMU-72766~Translation","mmu03010:Ribosome",56,64,0.875,"Cluster_0"
"2",1,2,"mmu05205:Proteoglycans in cancer","mmu04151:PI3K-Akt signaling pathway",7,23,0.304347826086957,"Cluster_1"
"3",1,3,"mmu05205:Proteoglycans in cancer","mmu04510:Focal adhesion",7,19,0.368421052631579,"Cluster_1"
"4",1,4,"mmu05205:Proteoglycans in cancer","mmu05165:Human papillomavirus infection",7,22,0.318181818181818,"Cluster_1"
"5",1,5,"mmu05205:Proteoglycans in cancer","R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",2,21,0.0952380952380952,"Cluster_1"
"6",1,6,"mmu05205:Proteoglycans in cancer","mmu04933:AGE-RAGE signaling pathway in diabetic complications",6,21,0.285714285714286,"Cluster_1"
"7",1,7,"mmu05205:Proteoglycans in cancer","R-MMU-1474244~Extracellular matrix organization",8,23,0.347826086956522,"Cluster_1"
"8",1,8,"mmu05205:Proteoglycans in cancer","mmu04926:Relaxin signaling pathway",4,20,0.2,"Cluster_1"
"9",1,9,"mmu05205:Proteoglycans in cancer","R-MMU-1474228~Degradation of the extracellular matrix",5,19,0.263157894736842,"Cluster_1"
"10",1,12,"mmu05205:Proteoglycans in cancer","mmu05135:Yersinia infection",3,20,0.15,"Cluster_1"
"11",1,13,"mmu05205:Proteoglycans in cancer","mmu05135:Yersinia infection",3,20,0.15,"Cluster_1"
"12",1,14,"mmu05205:Proteoglycans in cancer","mmu04722:Neurotrophin signaling pathway",2,19,0.105263157894737,"Cluster_1"
"13",1,15,"mmu05205:Proteoglycans in cancer","mmu04722:Neurotrophin signaling pathway",2,19,0.105263157894737,"Cluster_1"
"14",1,16,"mmu05205:Proteoglycans in cancer","mmu05323:Rheumatoid arthritis",2,20,0.1,"Cluster_1"
"15",1,17,"mmu05205:Proteoglycans in cancer","mmu04668:TNF signaling pathway",1,25,0.04,"Cluster_1"
