"","logFC","logCPM","F","PValue","FDR"
"SAA1",3.23076710228016,5.20395149349989,48.8747145889381,2.44036535648406e-09,0.000127611360056423
"IL32",2.46502408527159,5.98495534957556,46.81450407218,4.45622673257711e-09,0.000127611360056423
"CXCL8",1.64165933477694,8.02703829211402,45.5063423672055,6.49752342446145e-09,0.000127611360056423
"SOD2",1.61028428236656,7.46472445756681,40.1478956194646,3.2324237033472e-08,0.000476136011503042
"LCN2",1.91548906839377,6.37641754058678,36.9410479629282,8.82189590910902e-08,0.00103957221392941
"C15orf48",3.09852621231368,4.64031057701624,28.7545477159773,1.33247116060441e-06,0.0130848667971353
"VGLL3",1.2541207687028,7.18436964221857,23.7673132234316,8.19562106630166e-06,0.0689837133180705
"CXCL2",2.74135716064685,4.34531467978317,23.1789447436403,1.00966227239987e-05,0.0743616263622501
"IL1B",1.04737572755387,9.01919128601243,21.4969947866896,1.93578568332788e-05,0.126729436068532
"SGPP2",1.6895238888717,5.37677856068963,20.9620232092796,2.38099004009104e-05,0.140287933162164
"KLF9",3.96939673151555,3.51959849456605,20.4048850091721,2.89597643547173e-05,0.155119028707268
"ICAM1",1.41923829539171,5.83390383892703,20.0855846121646,3.34946063629676e-05,0.164458517242171
"NRG1",-1.09666043635278,7.72097156625205,18.5579682400516,6.13843661080868e-05,0.278212834699114
"RIPK2",1.14056436340466,6.65475321017819,17.9176801591226,7.94597076552092e-05,0.322983297063697
"BCL2A1",3.2292113285911,3.67390523062457,17.7740774115961,8.22258902911652e-05,0.322983297063697
"TNFAIP2",1.13828717140203,6.61874066305899,17.0003558981612,0.000115514483397677,0.425382085111944
"HDAC9",1.03573948660945,7.24654996617286,16.6208291691865,0.000135062882264764,0.455178171857133
"ALDH1A3",0.993051393924082,8.68120065275135,16.4572265525231,0.000144520745810559,0.455178171857133
"CSF2",3.69251359805877,3.30569874519291,16.3852894452209,0.00014678182731306,0.455178171857133
"CAB39L",1.95466326294096,4.45505270501833,16.2391831687108,0.000158040963453006,0.465588678332554
"AQP3",-1.96709949812562,3.74720774286937,15.660794231212,0.000201542631153133,0.537015847489978
"LOC105375509",6.04189526663223,2.85863764505191,15.6539494087961,0.000204949178041512,0.537015847489978
"JDP2",-1.82100437925644,3.96044002490434,15.565371546728,0.00020977462692943,0.537015847489978
"LINC01619",1.00915590781233,6.96772087274944,15.4646715054191,0.000218743726065164,0.537015847489978
"LOC102723568",2.16355618476133,4.13878423985948,15.3557353113425,0.000228151076439676,0.537706456953029
"POU2F3",5.97896346196178,2.81380151250766,14.9131410869929,0.000279907239498141,0.602319804667102
"CLCA2",-0.962487899165451,7.37615063820449,14.8603722385469,0.000282458385422138,0.602319804667102
"DKK3",-1.23355970263499,5.24777332097539,14.7216085699113,0.000299653831128419,0.602319804667102
"LAPTM4B",-1.09009642413664,5.95331625416465,14.6741138163717,0.000305776053848732,0.602319804667102
"KRT81",0.859593719143795,10.2216806627153,14.6671596585689,0.000306680144942516,0.602319804667102
"CCL20",1.33808173591014,5.40522415585525,14.5622676687425,0.000320789638969442,0.60970727509934
"TAGLN",-1.80496794072726,3.7455728160261,14.2421024930767,0.000368063271022526,0.677696497770226
"EFNA1",1.30535206947567,5.50769372787308,14.0843618109651,0.000393769309423332,0.703057203370386
"KRT7",1.49232454231161,5.03121908512899,13.7757499234083,0.000449984696697024,0.779797009687901
"IL1A",0.853672740218282,8.39472946620302,13.4540764558092,0.000517288474603732,0.870818197818625
"LOC124904913",1.42832696967824,5.06180110970848,13.3605962878873,0.000538952912416739,0.882086266655396
"XDH",1.29550902355654,5.32637383659512,13.2700633248141,0.000560625147546414,0.892757667390128
"PLD1",1.43128745355933,4.9917876011511,12.7221224046,0.0007131709133322,1
"ADAMTS6",1.96829848420996,3.9764631414445,12.2714869928256,0.000868206028681971,1
"TIMM13",-0.98353750600084,6.03241664987212,12.2622302317042,0.00087413090383463,1
"PLAU",0.799077983389046,8.51605422394442,12.1985877565219,0.000899246583760052,1
"TMCC3",0.838319520482921,7.54078841732443,12.170527880224,0.000910562925949488,1
"GADD45B",0.970075855183529,6.34326787179951,12.1286816495545,0.00092772420211037,1
"ME1",-1.19515873938931,5.18070795847846,12.1106879560975,0.000935214318247247,1
"HAS2",0.8013279228495,8.76606592111568,12.0337662755604,0.000967868852575006,1
"DAPP1",0.950630234616657,6.63928376639387,11.897273294706,0.00102883013325576,1
"KRT15",-0.804348149428626,9.6845400592332,11.7316026429205,0.00110821640747054,1
"PRDM1",0.956105369962437,6.5909757115621,11.7118152999236,0.00111812805635363,1
"SERPINB2",0.842019815108162,7.82311433561441,11.6038189198053,0.001173807051124,1
"SAA2",3.37835994481303,3.08507831584173,11.5756239453505,0.00117917512772392,1
"LRIG3",-1.29434682428423,4.61359938230307,11.5342637877906,0.00121128534287794,1
"PIM1",0.855774391302034,7.45123128439184,11.4749783404482,0.00124404753197038,1
"UBD",3.36371370648919,3.06422076636547,11.4562032012529,0.00124474440463594,1
"ABCA1",1.5051670496788,4.58117281050094,11.4563144284112,0.00125470503469724,1
"AKR1C2",-0.989987210054369,7.92941482020232,11.3983901370058,0.00128786229823947,1
"DCAF4",-3.14606653554561,2.2632087635261,11.308850189121,0.0013250329588041,1
"MUC16",-3.0983134266856,2.25837101805786,11.2861926683067,0.00133869322611665,1
"BTG1",0.772363234340659,10.6096620624149,11.1913412605914,0.0014145625118672,1
"CLU",-0.923382543641733,6.80993869941039,11.086016539247,0.0014839444226441,1
"SLC47A2",-1.34109042501069,4.58032977132596,11.0451696826305,0.00151191013573369,1
"CDH4",1.03821511014718,5.94764132823629,11.0322864929909,0.0015207328669679,1
"LOC105375914",5.4871265637441,2.47784620384197,10.9038326540079,0.00162539535030105,1
"DDIT4",1.08391831792526,5.63427911926451,10.8454562006376,0.00165614033720948,1
"KPNA7",1.39997638137027,4.71881662717529,10.8256881160395,0.00167140388888318,1
"CST6",0.819518444676735,8.34144325605167,10.8108453049753,0.00168247409899268,1
"ELF3",0.808056685070668,7.45443583049387,10.7956448802258,0.00169422122471584,1
"PCBD1",-1.39476518515784,4.22650692036538,10.794615560932,0.00169528089677061,1
"IFI6",1.63265911269639,4.23867029391309,10.7692450958836,0.001713974694094,1
"TCN1",-3.22066870169761,2.34017657343779,10.6366078948089,0.00180289591060812,1
