,TF,log2FC,pval,qval,cluster_mean,others_mean,n_in,n_out,cluster
0,JUN(-),-0.7698998310244535,1.4757244632796063e-189,1.6970831327715472e-187,0.025810249209129627,0.044010382958977065,1296,8224,3
1,ATF3(-),-0.5891700582941016,1.9919706138603037e-117,1.1453831029696746e-115,0.04313509948622528,0.06489162764554463,1296,8224,3
2,BHLHE40(+),-0.4208144946075085,8.028530898213958e-39,1.8465621065892104e-37,0.14786292147544688,0.1979415965986989,1296,8224,3
3,JUND(-),-0.3215426080044856,1.5702724131329694e-71,6.019377583676383e-70,0.037515019435341364,0.04688124624124863,1296,8224,3
4,HIF1A(-),-0.30468536354811593,2.953279210294578e-51,8.490677729596911e-50,0.038536881084685955,0.047598799419757684,1296,8224,3
5,KLF4(-),-0.2359274043974823,1.15368820468227e-30,1.8953449076923005e-29,0.037802474473902746,0.044518595661628885,1296,8224,3
6,KLF12(-),-0.17711744761328635,6.125583248723208e-20,7.827134151146321e-19,0.029866914655331776,0.03376820900090737,1296,8224,3
7,CEBPD(-),-0.16265432606430294,6.593635127840046e-33,1.263780066169342e-31,0.032182642203998774,0.03602346875970551,1296,8224,3
8,YBX1(-),-0.1499428954971775,1.0877377368737807e-12,1.1371803612771343e-11,0.02516777962536497,0.027924294745139445,1296,8224,3
9,FOSB(-),-0.12288287146023386,2.8487277687746207e-11,2.730030778409012e-10,0.0324703327592131,0.03535722487591163,1296,8224,3
10,TCF12(-),-0.11505020310650088,0.0003032747908379746,0.0023251067297578054,0.027341299774542558,0.02961097584008905,1296,8224,3
11,EHF(-),-0.11359581920987578,0.00037472560576232,0.002693340291416675,0.025005213586206908,0.02705367813355476,1296,8224,3
12,FOSL1(+),-0.08417680749289931,3.086169923464251e-30,4.436369264979861e-29,0.2325221284815342,0.24649268406408242,1296,8224,3
13,ELF1(-),-0.0832926810172965,5.300352823898532e-11,4.68877365191024e-10,0.027028592601471776,0.028634989523968805,1296,8224,3
14,FOS(+),-0.06783511867106733,1.0995417117923239e-05,9.031949775436946e-05,0.40491288538340403,0.42440647672204834,1296,8224,3
15,ELF3(-),-0.06484823230721833,1.5945099134646597e-14,1.8336864004843588e-13,0.03352471787465631,0.035066013479780264,1296,8224,3
16,ATF1(+),-0.03973560289419352,0.00044292115344720165,0.0029962313321428347,0.06817381783437447,0.07007760073330642,1296,8224,3
17,HMGA2(-),-0.02113613051886911,0.005093772442499958,0.0325435461604164,0.03639941259610738,0.036936605811321625,1296,8224,3
18,BHLHE40(+),-0.5419630859991481,4.999784123227589e-09,1.9165839139039092e-07,0.13194364928153768,0.19210365947904345,155,9365,7
19,JUN(-),-0.418191527392694,4.7103894375709664e-11,2.7084739266033054e-09,0.031209379341893564,0.0417035791384588,155,9365,7
20,MXD1(+),-0.31980078188665,2.299929960989718e-17,2.6449194551381758e-15,0.14703732055579624,0.18352583495791527,155,9365,7
21,KLF4(-),-0.20274902762590624,0.00010449397898330208,0.002002801263846623,0.03796853344846247,0.04369757767804615,155,9365,7
22,FOXO1(+),-0.19569221446513912,1.7649838286181126e-08,5.074328507277073e-07,0.12236600633704357,0.14014254921308014,155,9365,7
23,ATF3(-),-0.19206060160683525,2.2867196592212148e-05,0.0005259455216208794,0.054320784880537834,0.062055751525320245,155,9365,7
24,NR3C1(-),-0.18187861313522002,0.0006309373032462614,0.007255778987332006,0.043475981648161466,0.049317416287261946,155,9365,7
25,THRB(+),-0.08918264424210436,0.00029362303010877253,0.00475357827315248,0.14960122058809727,0.15914089204283907,155,9365,7
26,PRDM1(+),-0.07512282126940867,0.0003306837059584334,0.00475357827315248,0.1718423753112669,0.18102747332736532,155,9365,7
27,IRF6(+),-0.07420681236360617,0.00047821278895132104,0.006110496747711324,0.1310542018313127,0.13797151284888598,155,9365,7
28,HIF1A(-),-0.016999111245785663,0.0008105877665484924,0.008474326650279694,0.045830791419123294,0.046374004446756455,155,9365,7
29,MXD1(-),-0.5862244503010366,1.9490563110284012e-33,2.4904608418696235e-32,0.0457080054520355,0.0686220072563577,1167,8353,4
30,NFIC(-),-0.5462846289355984,4.762599365077683e-14,2.882625931494387e-13,0.02688185491760376,0.039256113210298225,1167,8353,4
31,MYC(-),-0.512283880162285,7.125986573147719e-11,3.2779538236479506e-10,0.02191748434595254,0.0312610474175718,1167,8353,4
32,HIF1A(-),-0.5107675903392905,1.3273669871514735e-19,1.174209257864765e-18,0.033775793889721156,0.04812402404459893,1167,8353,4
33,HLTF(+),-0.4438940392203629,3.3184407948515093e-18,2.5441379427194906e-17,0.07229224253397158,0.09833703719042658,1167,8353,4
34,HMGA2(+),-0.4385230141951661,6.938817101159627e-169,7.97963966633357e-167,0.3549969265337226,0.4810975823435868,1167,8353,4
35,NFE2L2(-),-0.35384953002089636,8.110740961195023e-05,0.000252090597442548,0.019232575970438436,0.024578579752056677,1167,8353,4
36,RUNX1(+),-0.2886231656374724,1.300109816132651e-92,4.983754295175163e-91,0.35907787701557964,0.43860429418254443,1167,8353,4
37,HLTF(-),-0.2693838225936909,1.8883283836610287e-20,1.8096480343418192e-19,0.02892597579829796,0.03486427447768701,1167,8353,4
38,SMAD2(-),-0.23215884873529785,0.003597566368984182,0.009850479343647165,0.022602761994940296,0.02654900761426387,1167,8353,4
39,HIF1A(+),-0.2267420075766836,9.327780973302232e-83,2.681737029824392e-81,0.14075364874973553,0.16470842254864285,1167,8353,4
40,MYC(+),-0.22506330030911703,5.71159884878433e-110,3.2841693380509898e-108,0.15169859024580054,0.1773096406304332,1167,8353,4
41,IRF6(-),-0.19549532904488745,4.789419359426711e-09,1.9670829511931136e-08,0.03191236167030542,0.03654339607812739,1167,8353,4
42,FOSB(-),-0.17655908285058994,4.181032288090739e-17,2.8283453713555e-16,0.03137981331296475,0.03546499778513196,1167,8353,4
43,ATF3(-),-0.1409851673584087,3.0155365368437453e-06,1.155955672456769e-05,0.05681250658089532,0.06264475511926287,1167,8353,4
44,CEBPB(-),-0.1377320254960085,0.0007614063103963244,0.0021890431423894326,0.04751164103438206,0.05227108355577496,1167,8353,4
