,TF,log2FC,pval,qval,cluster_mean,others_mean,n_in,n_out,cluster
0,JUN(-),-0.7698998310244535,1.4757244632796063e-189,8.411629440693757e-188,0.025810249209129627,0.044010382958977065,1296,8224,3
1,ATF3(-),-0.5891700582941016,1.9919706138603037e-117,5.677116249501866e-116,0.04313509948622528,0.06489162764554463,1296,8224,3
2,JUND(-),-0.3215426080044856,1.5702724131329694e-71,2.983517584952642e-70,0.037515019435341364,0.04688124624124863,1296,8224,3
3,HIF1A(-),-0.30468536354811593,2.953279210294578e-51,4.2084228746697738e-50,0.038536881084685955,0.047598799419757684,1296,8224,3
4,KLF4(-),-0.2359274043974823,1.15368820468227e-30,1.0960037944481566e-29,0.037802474473902746,0.044518595661628885,1296,8224,3
5,KLF12(-),-0.17711744761328635,6.125583248723208e-20,4.987974931103184e-19,0.029866914655331776,0.03376820900090737,1296,8224,3
6,CEBPD(-),-0.16265432606430294,6.593635127840046e-33,7.516744045737652e-32,0.032182642203998774,0.03602346875970551,1296,8224,3
7,YBX1(-),-0.1499428954971775,1.0877377368737807e-12,6.8890056668672784e-12,0.02516777962536497,0.027924294745139445,1296,8224,3
8,FOSB(-),-0.12288287146023386,2.8487277687746207e-11,1.623774828201534e-10,0.0324703327592131,0.03535722487591163,1296,8224,3
9,TCF12(-),-0.11505020310650088,0.0003032747908379746,0.0014405552564803795,0.027341299774542558,0.02961097584008905,1296,8224,3
10,EHF(-),-0.11359581920987578,0.00037472560576232,0.0016430276560347877,0.025005213586206908,0.02705367813355476,1296,8224,3
11,ELF1(-),-0.0832926810172965,5.300352823898532e-11,2.7465464632928756e-10,0.027028592601471776,0.028634989523968805,1296,8224,3
12,ELF3(-),-0.06484823230721833,1.5945099134646597e-14,1.1360883133435701e-13,0.03352471787465631,0.035066013479780264,1296,8224,3
13,HMGA2(-),-0.02113613051886911,0.005093772442499958,0.02073893065874983,0.03639941259610738,0.036936605811321625,1296,8224,3
14,JUN(-),-0.418191527392694,4.7103894375709664e-11,2.684921979415451e-09,0.031209379341893564,0.0417035791384588,155,9365,7
15,KLF4(-),-0.20274902762590624,0.00010449397898330208,0.0019853856006827398,0.03796853344846247,0.04369757767804615,155,9365,7
16,ATF3(-),-0.19206060160683525,2.2867196592212148e-05,0.0006517151028780462,0.054320784880537834,0.062055751525320245,155,9365,7
17,NR3C1(-),-0.18187861313522002,0.0006309373032462614,0.008990856571259224,0.043475981648161466,0.049317416287261946,155,9365,7
18,HIF1A(-),-0.016999111245785663,0.0008105877665484924,0.009240700538652814,0.045830791419123294,0.046374004446756455,155,9365,7
19,MXD1(-),-0.5862244503010366,1.9490563110284012e-33,3.7032069909539625e-32,0.0457080054520355,0.0686220072563577,1167,8353,4
20,NFIC(-),-0.5462846289355984,4.762599365077683e-14,3.87811662584897e-13,0.02688185491760376,0.039256113210298225,1167,8353,4
21,MYC(-),-0.512283880162285,7.125986573147719e-11,4.513124829660222e-10,0.02191748434595254,0.0312610474175718,1167,8353,4
22,HIF1A(-),-0.5107675903392905,1.3273669871514735e-19,1.5131983653526799e-18,0.033775793889721156,0.04812402404459893,1167,8353,4
23,NFE2L2(-),-0.35384953002089636,8.110740961195023e-05,0.0002719483734047743,0.019232575970438436,0.024578579752056677,1167,8353,4
24,HLTF(-),-0.2693838225936909,1.8883283836610287e-20,2.690867946716966e-19,0.02892597579829796,0.03486427447768701,1167,8353,4
25,SMAD2(-),-0.23215884873529785,0.003597566368984182,0.009764823001528495,0.022602761994940296,0.02654900761426387,1167,8353,4
26,IRF6(-),-0.19549532904488745,4.789419359426711e-09,2.4817900317029323e-08,0.03191236167030542,0.03654339607812739,1167,8353,4
27,FOSB(-),-0.17655908285058994,4.181032288090739e-17,3.971980673686202e-16,0.03137981331296475,0.03546499778513196,1167,8353,4
28,ATF3(-),-0.1409851673584087,3.0155365368437453e-06,1.4323798550007791e-05,0.05681250658089532,0.06264475511926287,1167,8353,4
29,CEBPB(-),-0.1377320254960085,0.0007614063103963244,0.0022842189311889733,0.04751164103438206,0.05227108355577496,1167,8353,4
30,YY1(-),-0.11749300863690972,0.0002104352956858089,0.0006663784363383949,0.02556042786410479,0.02772918086986239,1167,8353,4
31,KLF3(-),-0.11283505196763281,5.100039699345289e-06,2.2361712527898576e-05,0.04519843889666631,0.048875382695485366,1167,8353,4
32,ELF3(-),-0.10671101920816119,3.104767718329461e-39,1.769717599447793e-37,0.03265645715457144,0.03516351535063843,1167,8353,4
33,JUND(-),-0.08432763323922561,1.1718315728146093e-05,4.4529599766955156e-05,0.0433183327161539,0.04592581587411467,1167,8353,4
34,ELK3(-),-0.07267661911212488,2.0434725916703627e-34,5.823896886260534e-33,0.02690188968644309,0.02829180334270218,1167,8353,4
35,SMAD1(-),-0.07005769574722731,0.001245540873254387,0.003549791488775003,0.0397734621090252,0.04175253651026067,1167,8353,4
36,KLF7(-),-0.0658849026868072,2.096601229866062e-05,7.469141881397846e-05,0.030905519180748353,0.03234963435823713,1167,8353,4
37,ATF1(-),-0.06176674300762355,6.111801017072216e-14,4.3546582246639544e-13,0.03907898551279978,0.040788423868390745,1167,8353,4
38,FOSL1(-),-0.05448186286359561,1.0805768935772349e-05,4.399491638135885e-05,0.025628891632590908,0.026615246961024647,1167,8353,4
39,MXD1(-),-0.3671323231708347,1.1461829810748994e-21,3.2666214960634633e-20,0.05324950292374095,0.0686804926206662,1769,7751,2
40,TCF7L2(-),-0.25738833464699384,8.164150101502971e-07,3.877971298213911e-06,0.024938189708463874,0.029808940245961528,1769,7751,2
41,SOX4(-),-0.25121322701897325,1.6031869347381986e-24,9.138165528007732e-23,0.02106480480180508,0.025071490815875397,1769,7751,2
42,MYC(-),-0.223509969620368,0.00048426320075884577,0.0014527896022765374,0.026500180179350356,0.03094083532104672,1769,7751,2
43,YBX1(-),-0.17718685306531642,5.284155921657609e-17,7.529922188362093e-16,0.024899828498334498,0.0281536634969612,1769,7751,2
44,NR2F6(-),-0.15720903278719894,0.00012320002813752946,0.0004130824472846576,0.03862418530726616,0.04307090207049466,1769,7751,2
45,HLTF(-),-0.11528641384144268,1.9792811549822904e-05,7.521268388932704e-05,0.03197088967870901,0.034630550203470244,1769,7751,2
