,TF,log2FC,pval,qval,cluster_mean,others_mean,n_in,n_out,cluster
0,BHLHE40(+),-0.4208144946075085,8.028530898213958e-39,4.656547920964096e-37,0.14786292147544688,0.1979415965986989,1296,8224,3
1,FOSL1(+),-0.08417680749289931,3.086169923464251e-30,8.949892778046328e-29,0.2325221284815342,0.24649268406408242,1296,8224,3
2,FOS(+),-0.06783511867106733,1.0995417117923239e-05,0.0002125780642798493,0.40491288538340403,0.42440647672204834,1296,8224,3
3,ATF1(+),-0.03973560289419352,0.00044292115344720165,0.006422356724984424,0.06817381783437447,0.07007760073330642,1296,8224,3
4,BHLHE40(+),-0.5419630859991481,4.999784123227589e-09,1.4499373957360008e-07,0.13194364928153768,0.19210365947904345,155,9365,7
5,MXD1(+),-0.31980078188665,2.299929960989718e-17,1.3339593773740365e-15,0.14703732055579624,0.18352583495791527,155,9365,7
6,FOXO1(+),-0.19569221446513912,1.7649838286181126e-08,3.412302068661684e-07,0.12236600633704357,0.14014254921308014,155,9365,7
7,THRB(+),-0.08918264424210436,0.00029362303010877253,0.003835930989117827,0.14960122058809727,0.15914089204283907,155,9365,7
8,PRDM1(+),-0.07512282126940867,0.0003306837059584334,0.003835930989117827,0.1718423753112669,0.18102747332736532,155,9365,7
9,IRF6(+),-0.07420681236360617,0.00047821278895132104,0.004622723626529436,0.1310542018313127,0.13797151284888598,155,9365,7
10,HLTF(+),-0.4438940392203629,3.3184407948515093e-18,1.9246956610138753e-17,0.07229224253397158,0.09833703719042658,1167,8353,4
11,HMGA2(+),-0.4385230141951661,6.938817101159627e-169,4.024513918672584e-167,0.3549969265337226,0.4810975823435868,1167,8353,4
12,RUNX1(+),-0.2886231656374724,1.300109816132651e-92,2.513545644523125e-91,0.35907787701557964,0.43860429418254443,1167,8353,4
13,HIF1A(+),-0.2267420075766836,9.327780973302232e-83,1.3525282411288237e-81,0.14075364874973553,0.16470842254864285,1167,8353,4
14,MYC(+),-0.22506330030911703,5.71159884878433e-110,1.6563636661474557e-108,0.15169859024580054,0.1773096406304332,1167,8353,4
15,CEBPD(+),-0.13363739516598838,6.073591255791641e-55,5.87113821393192e-54,0.14408992491179537,0.1580747413216238,1167,8353,4
16,NFE2L2(+),-0.10259696072998417,7.011189952218308e-80,8.132980344573237e-79,0.7903963720577947,0.8486521207438568,1167,8353,4
17,RFX3(+),-0.08962016846555974,1.5875011840191449e-27,1.315358123901577e-26,0.10112951041024817,0.10761090007390499,1167,8353,4
18,FOS(+),-0.08756295604330167,3.4511993537727657e-06,1.0535240132569496e-05,0.3998023040841986,0.42481942717020965,1167,8353,4
19,SMAD1(+),-0.08730871281618287,8.208914801198156e-13,3.662438911303792e-12,0.16265630321012473,0.1728038599630391,1167,8353,4
20,FOSB(+),-0.0840676270759114,1.5689674611660033e-23,1.1375014093453524e-22,0.07881602125471306,0.08354517729682445,1167,8353,4
21,FOSL1(+),-0.06713961347105085,7.597946889187286e-19,4.896454661920695e-18,0.23477759778044616,0.24596181678981202,1167,8353,4
