,TF,log2FC,pval,qval,cluster_mean,others_mean,n_in,n_out,cluster
0,DDIT3(-),-1.1028335896452064,7.060382475073658e-235,4.384497517020742e-232,0.051710888587161524,0.11106264082935131,1296,8224,3
1,CEBPD(-),-1.0444232668694247,2.3605478792533922e-98,7.329501165081783e-96,0.03563974064016492,0.07350845124695911,1296,8224,3
2,ZNF34(+),-0.5671672464539513,5.419299411776636e-95,1.1217949782377637e-92,0.05956439155833803,0.08825129074310316,1296,8224,3
3,ZNF518A(-),-0.529639043775132,3.0963085572202757e-85,4.807019035084478e-83,0.04310877691450217,0.06223045026924302,1296,8224,3
4,MXD1(+),-0.5038351822136441,4.88409656026015e-50,5.0550399398692553e-48,0.0569554283801077,0.08076154668600317,1296,8224,3
5,KLF7(-),-0.45266583937257143,1.321727894584453e-63,1.6415860450738907e-61,0.0386491183852954,0.052893900080391944,1296,8224,3
6,TFAP2E(+),-0.3848220696092408,3.0659467862191648e-46,2.379941192802627e-44,0.03768376618176091,0.049203646432734026,1296,8224,3
7,FOXN2(-),-0.37109051025088496,8.271640500820204e-37,4.669717046372134e-35,0.0317612707751879,0.041077806813168784,1296,8224,3
8,ILF2(-),-0.34283648367648,3.349842564595101e-37,2.080252232613558e-35,0.036555353114529406,0.046361240836503635,1296,8224,3
9,ZNF205(+),-0.316953836461677,1.1468088958936566e-30,4.7477888289997386e-29,0.07914447582199749,0.09859008026447516,1296,8224,3
10,ZNF836(-),-0.31391824326830403,1.0660050914255603e-08,1.6974081071160846e-07,0.06181430355451624,0.07684007663229986,1296,8224,3
11,ZNF782(-),-0.3107816100947824,7.373448152035162e-29,2.5869040441320736e-27,0.0308994597138795,0.03832705722946125,1296,8224,3
12,TRIM28(-),-0.2936946104611641,7.914843291225346e-29,2.5869040441320736e-27,0.038326699621204385,0.04697992427401468,1296,8224,3
13,JUND(-),-0.2534571935679231,1.6010515312662445e-46,1.4203614298804828e-44,0.039771698476925,0.04741026227522083,1296,8224,3
14,TBX3(+),-0.25246221200402347,3.816270410741054e-35,1.9749199375584957e-33,0.19187832109661127,0.2285728317645636,1296,8224,3
15,POU2F3(-),-0.25204334123821687,7.748509992589441e-29,2.5869040441320736e-27,0.13215954307158445,0.15738782541816226,1296,8224,3
16,ETS2(-),-0.23593282830164586,1.9597321832394664e-32,9.361489890705452e-31,0.031444649909950106,0.03703135677204048,1296,8224,3
17,ZBTB26(+),-0.20811200002926267,1.2292488487616361e-15,2.7262983395749145e-14,0.06679175781348207,0.07715619972738864,1296,8224,3
18,HES1(+),-0.20104516945851533,1.6214301575057207e-10,2.876880365174436e-09,0.052735722776785926,0.06062133975766153,1296,8224,3
19,ZSCAN26(-),-0.19192194838388646,4.479272670319426e-19,1.209403620986245e-17,0.09308479849220115,0.10632931763308964,1296,8224,3
20,CEBPD(-),-0.8035026966504261,2.484078239951315e-10,3.085225174019533e-08,0.03943761907890413,0.0688317966863228,155,9365,7
21,DDIT3(-),-0.5795514653578335,8.925053694308492e-18,5.542458344165574e-15,0.06928640255786955,0.10354053148884947,155,9365,7
22,ZNF217(+),-0.5210369411909244,1.9824057698755283e-06,6.839299906070572e-05,0.06268921835573169,0.0899581685501874,155,9365,7
23,MXD1(+),-0.4552402957289111,9.366036188339366e-07,3.421357925269851e-05,0.05679295802083222,0.07786377860470692,155,9365,7
24,HMGA2(-),-0.41501263996543747,1.1103801911570239e-07,6.268600897350108e-06,0.047716132639245776,0.06362041425580416,155,9365,7
25,ZSCAN26(-),-0.40040979094474466,6.34796022083761e-11,9.855208242850389e-09,0.07950734183036592,0.10494037042997503,155,9365,7
26,BACH2(+),-0.40040555704747405,3.2498532744467164e-09,2.5226986042892636e-07,0.13857677441254407,0.18290455961353164,155,9365,7
27,ZBTB20(-),-0.37633178750057417,4.896916773692568e-07,1.9343491009011805e-05,0.03788875644864079,0.04918101760294871,155,9365,7
28,MAFK(+),-0.3758066366856147,4.326192767808608e-13,1.343282854404573e-10,0.12546224192324595,0.16279539462382656,155,9365,7
29,HDAC2(-),-0.3152328970018424,3.244260530311876e-07,1.4390612780883394e-05,0.028381801771362195,0.03531299257273901,155,9365,7
30,ZBTB26(+),-0.2842487000558005,0.0013145359069344001,0.0226757443946184,0.06238128608866395,0.07596642876033892,155,9365,7
31,MYNN(+),-0.26744723881391935,0.00011668433376263008,0.00258789183094976,0.046686908125052745,0.05619591618963104,155,9365,7
32,OVOL2(+),-0.26342406747399455,9.503438648862929e-13,1.9672118003146262e-10,0.08233506140838112,0.09882876322989528,155,9365,7
33,BACH2(-),-0.254731215889922,2.184284861420455e-07,1.1303674157850856e-05,0.03455401528589886,0.041226860133044364,155,9365,7
34,ARID3A(+),-0.252412372677529,2.1410035136100945e-08,1.4772924243909653e-06,0.08233874170037336,0.09808168588143036,155,9365,7
35,POU2F3(-),-0.23973643877675488,4.551717355822743e-05,0.0011306465911863695,0.13070894378380743,0.15433810547498641,155,9365,7
36,ARID5B(-),-0.23321194643736562,1.8998055446146792e-05,0.0005362632923662345,0.15940367474760747,0.18737089041919303,155,9365,7
37,CHURC1(-),-0.2284285424859389,0.0003083144249053095,0.006176234124716039,0.034600588368409076,0.04053660087073776,155,9365,7
38,STAT4(-),-0.21133296822749176,0.0006204670738338877,0.011008858652881265,0.047561018502480894,0.055064120896188416,155,9365,7
39,SIRT6(+),-0.19459367338934858,5.987971655355865e-06,0.00019571212620926275,0.1114203622188643,0.1275096633512493,155,9365,7
40,SIX1(-),-1.3681204025555451,9.644716563843929e-23,1.9320545116603486e-21,0.011279698381201523,0.029116742735616447,1167,8353,4
41,FOXM1(+),-0.9830267422646117,2.3150638482060738e-54,2.053792356765674e-52,0.02080489853253058,0.04112312864247285,1167,8353,4
42,HIF1A(-),-0.878353286985936,2.539538904496966e-10,2.1027382129234877e-09,0.009617311218366715,0.01767927197197214,1167,8353,4
43,MYC(-),-0.7793673631030692,6.625938905986819e-31,2.4204165062457735e-29,0.0321946493611659,0.05525819046683241,1167,8353,4
44,ZSCAN5A(-),-0.5475917585781978,2.9024727918416746e-19,4.621629753163282e-18,0.050773195826311235,0.07421232666196279,1167,8353,4
45,ZNF250(-),-0.41287242288985543,5.504872060505607e-37,2.4418039639814157e-35,0.11652544283245234,0.15513427008796926,1167,8353,4
46,DLX2(+),-0.39394247970132856,1.8684174305066837e-24,4.4626431705563487e-23,0.11639024620506191,0.15293436729934184,1167,8353,4
47,TFAP2E(+),-0.3864546753514929,5.100098227116562e-18,7.917902497598462e-17,0.03752230232735362,0.04904829670996608,1167,8353,4
48,RFX3(+),-0.3728400446040051,1.000010131271014e-86,1.2420125830385995e-84,0.09275078859245518,0.12010294283224102,1167,8353,4
49,HMGA2(+),-0.37181291389971405,2.3740430402713398e-167,1.474280728008502e-164,0.14480008949023665,0.18736810774153473,1167,8353,4
50,TRPS1(-),-0.36930596729711745,7.177254461637159e-13,7.959062536922636e-12,0.05691731785847459,0.07352187969357107,1167,8353,4
51,MYC(+),-0.32602358854203495,5.692704872132128e-147,1.767584862797026e-144,0.11446915274702045,0.14349320918615308,1167,8353,4
52,FOXC2(-),-0.30834270639337324,2.1741088666564467e-39,1.2273832783578668e-37,0.1850689671376341,0.22916801616345592,1167,8353,4
53,ZNF282(-),-0.3003409195239726,1.0110741843549817e-10,8.720514840061717e-10,0.05574494314138678,0.06864629526365747,1167,8353,4
54,E2F4(+),-0.2879197005853947,3.620527320781023e-21,6.4238499034429e-20,0.06844141953653406,0.08355866177901823,1167,8353,4
55,SMAD4(-),-0.28667847638277866,2.2167766005491978e-07,1.464487520150055e-06,0.019407426977623654,0.023673735186276443,1167,8353,4
56,ZNF236(+),-0.27520577855814526,0.004659620002007223,0.017752294608874144,0.0366187199351247,0.04431475526311879,1167,8353,4
57,SREBF1(-),-0.2728968358355785,0.0002469503361212999,0.0011617890812979338,0.03950873894433808,0.04773570084038194,1167,8353,4
58,ELF3(-),-0.26690410859088576,2.7430587855644085e-39,1.4195329215295814e-37,0.040910189286047,0.04922408288639546,1167,8353,4
59,CEBPB(-),-0.2643286625246321,3.813343296585131e-11,3.432008966926618e-10,0.01985713175300554,0.023849944742971228,1167,8353,4
60,CLOCK(+),-0.6406768288007134,2.8023405214322457e-16,1.023678508123191e-14,0.03171031842430759,0.04943830255395736,1769,7751,2
61,AR(+),-0.6192751120795872,3.731042857484009e-15,1.1435134015924792e-13,0.03936256805656133,0.06046496595538166,1769,7751,2
62,ZNF639(-),-0.5705420490987797,2.702128355790827e-05,0.0002397173869923005,0.006540836623189522,0.009713675558408543,1769,7751,2
63,HLTF(-),-0.5189215549797405,7.730248797350311e-51,2.4002422515772715e-48,0.029388388684163366,0.0421101446266492,1769,7751,2
64,SIX1(-),-0.43889551695294443,7.099701676126637e-07,9.185239043488836e-06,0.02088430259845869,0.028310054029775888,1769,7751,2
65,ARID5B(-),-0.4379880204709407,4.774686265090831e-97,2.965080170621406e-94,0.14503056141122442,0.19647489294609324,1769,7751,2
66,RBPJ(+),-0.36122347152613493,0.007397400072759183,0.037965168968458286,0.012157788756117758,0.015616859429536112,1769,7751,2
67,BACH2(-),-0.34467093876345367,4.0699394465802193e-10,7.658886049473685e-09,0.033711307012181155,0.04280868473883708,1769,7751,2
68,FOXC1(+),-0.32339669811759186,6.762425366022174e-06,6.884370741475033e-05,0.030333414308504645,0.03795538547333273,1769,7751,2
69,MYNN(+),-0.3220775705149909,1.4543790606960754e-29,1.8063387933845257e-27,0.04655927067302423,0.05820511883043452,1769,7751,2
