"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.23416354680463,0.769,0.196,0,"0","ERO1A"
0,1.88367634207674,0.84,0.271,0,"0","PDGFRA"
0,1.18432660858753,0.799,0.259,0,"0","KCNQ1OT1"
0,1.18985685776494,0.957,0.419,0,"0","CHIC2"
0,1.40055227703978,0.836,0.304,0,"0","CTSL"
0,1.23061845314873,0.983,0.458,0,"0","FTL1"
0,1.12548546442332,0.805,0.3,0,"0","CWC22"
0,0.813752280979621,0.976,0.471,0,"0","RPS26"
0,1.1154706344632,0.828,0.326,0,"0","CD63"
0,1.58065524036069,0.75,0.25,0,"0","1110038B12RIK"
0,1.3486733736721,0.952,0.452,0,"0","SPP1"
0,1.08909489549945,0.834,0.338,0,"0","PGK1"
0,0.830333641045564,0.917,0.427,0,"0","RPL39"
0,1.09723287837127,0.803,0.316,0,"0","CSTB"
0,0.996636876184708,0.855,0.371,0,"0","PKM"
0,1.151917668821,0.765,0.281,0,"0","IER3"
0,1.05008402733449,0.877,0.396,0,"0","ALDOA"
0,1.11074942291761,0.797,0.319,0,"0","LDHA"
0,0.778085026681343,0.96,0.484,0,"0","RPS15A"
0,0.931204597284259,0.958,0.482,0,"0","RPL38"
0,1.3058546125794,0.769,0.294,0,"0","FN1"
0,1.33772416462733,0.735,0.26,0,"0","PGAM1"
0,1.24470079906337,0.783,0.309,0,"0","SQSTM1"
0,0.842220490364489,0.845,0.371,0,"0","PPP3CA"
0,1.21664107735378,0.727,0.26,0,"0","2410006H16RIK"
0,1.45340238750775,0.662,0.201,0,"0","GPI1"
0,1.36306575393234,0.707,0.247,0,"0","SFR1"
0,1.05539352138191,0.763,0.308,0,"0","VEGFA"
0,1.46794790786199,0.67,0.23,0,"0","CDKN1A"
0,1.22967971813851,0.695,0.256,0,"0","BSG"
0,1.05962747830071,0.691,0.254,0,"0","GAS5"
0,1.73092016418488,0.589,0.177,0,"0","ERDR1Y"
0,0.814419433138253,0.983,0.586,0,"0","RPL7"
0,0.827567334569156,0.96,0.581,0,"0","GAPDH"
0,2.86095838948021,0.412,0.053,0,"0","HMOX1"
0,0.784096593606532,0.994,0.647,0,"0","RPL26"
0,1.03839937719959,0.995,0.676,0,"0","MALAT1"
8.04263235587808e-308,1.06804947103642,0.696,0.263,1.96650403733575e-303,"0","UQCRH"
1.00558926161363e-306,0.703636684211412,0.977,0.529,2.45876630357149e-302,"0","RPSA"
1.03396916567777e-302,0.618457988745175,0.969,0.501,2.52815800699872e-298,"0","RPL6"
1.48909247296166e-297,1.21450387731413,0.64,0.228,3.64098000563855e-293,"0","TPI1"
2.34952183848133e-297,0.64957340103066,0.96,0.483,5.74481584727069e-293,"0","RPL21"
3.06533455373513e-296,1.71544882497631,0.458,0.093,7.49504951733778e-292,"0","BNIP3"
7.14412338035668e-294,1.59101400806877,0.523,0.149,1.74680960773101e-289,"0","SERPINB6A"
5.38117286574528e-290,1.2668954485653,0.504,0.129,1.31575057740338e-285,"0","PID1"
2.37730229804733e-284,1.59360241829081,0.555,0.175,5.81274184895552e-280,"0","NUPR1"
3.55756600762307e-284,1.15907303014941,0.663,0.242,8.69860464523917e-280,"0","CHCHD2"
1.26007755264936e-280,1.54764381723142,0.528,0.163,3.08101562398294e-276,"0","AKR1B1"
5.07992497900182e-279,1.85086460797359,0.477,0.123,1.24209245661574e-274,"0","LOX"
5.38717986549133e-278,2.05028368039849,0.464,0.118,1.31721934891129e-273,"0","PTGS2"
7.4406163791705e-272,1.15495356534212,0.695,0.265,1.81930511087098e-267,"0","TNFRSF12A"
1.40404166972151e-271,0.647129549598136,0.961,0.444,3.43302228663606e-267,"0","RPL41"
2.0834492663958e-269,1.13024262091351,0.615,0.221,5.09424180126437e-265,"0","RESF1"
9.44496662560619e-269,1.04418747315249,0.676,0.264,2.30938878962697e-264,"0","GNG5"
9.81001663233181e-268,0.942560046603178,0.677,0.264,2.39864716677145e-263,"0","HSPA9"
1.3373868462498e-267,0.93027251942893,0.757,0.319,3.27004457776539e-263,"0","CEBPB"
1.90647507350709e-267,1.15766131406568,0.647,0.247,4.6615222022322e-263,"0","KLF4"
6.47678892612205e-267,0.78023233383331,0.912,0.444,1.5836396603261e-262,"0","CCT2"
9.5553345135262e-267,0.916097159635947,0.637,0.236,2.33637484190229e-262,"0","P4HA1"
5.0351027695845e-266,1.03118856094079,0.582,0.203,1.23113297819111e-261,"0","COLEC12"
5.99642262442808e-266,1.16702766743948,0.582,0.202,1.46618529589891e-261,"0","ATXN10"
8.11538748514468e-266,1.41513443658357,0.505,0.147,1.98429339399273e-261,"0","DCLK1"
3.78816843503606e-264,0.410607816832322,0.948,0.458,9.26245064050667e-260,"0","MT-ND2"
4.46449443039788e-261,0.634446006471499,0.953,0.508,1.09161353317659e-256,"0","RPL23A"
6.61001049004483e-260,2.1945684423634,0.423,0.1,1.61621366492086e-255,"0","KDR"
2.23469299358347e-255,2.15934749431273,0.522,0.171,5.46404783861094e-251,"0","TEX14"
2.25688026779127e-255,0.782288961377099,0.824,0.352,5.51829794277644e-251,"0","HMGA2"
2.26307579038202e-252,0.84638166687561,0.682,0.267,5.53344661506308e-248,"0","MDM2"
9.68640858432321e-249,0.99147599667715,0.576,0.207,2.36842376295287e-244,"0","MAGI3"
1.55365927907434e-247,0.896795471400248,0.638,0.243,3.79885230326467e-243,"0","ESD"
3.09590485394074e-247,1.65731363714385,0.462,0.133,7.5697969583705e-243,"0","KLF9"
2.38876936913681e-241,0.700393127119451,0.835,0.398,5.84077998447642e-237,"0","PPP1R12A"
1.94524743445538e-240,0.726587982916635,0.933,0.495,4.75632450198686e-236,"0","HSPA8"
1.4832099540831e-239,1.87297235746217,0.438,0.115,3.62659665872858e-235,"0","NR4A1"
1.24479453553474e-233,0.646361095332454,0.872,0.436,3.04364711883599e-229,"0","RPL35A"
5.87882129626258e-233,0.957867464155347,0.599,0.235,1.43743059514916e-228,"0","ENO1"
1.58675462472064e-232,0.85018147524488,0.661,0.271,3.87977373290444e-228,"0","RBPJ"
1.69626972394095e-232,0.791652152946151,0.669,0.273,4.14754910200803e-228,"0","KANSL1"
4.82687890423516e-229,1.31877408476567,0.515,0.18,1.18022016087454e-224,"0","ZFAS1"
7.98881031142684e-226,1.11628057619744,0.516,0.177,1.95334400924698e-221,"0","CAST"
2.25715274874725e-225,0.809077986428532,0.636,0.259,5.51896418596191e-221,"0","RPL35"
4.33894925297546e-224,1.12529544632362,0.419,0.104,1.06091648184503e-219,"0","GBE1"
4.75924836284237e-224,0.88311244672903,0.604,0.239,1.16368381719859e-219,"0","ATP2B1"
1.3466719271033e-223,0.666368992231694,0.729,0.312,3.29274752896029e-219,"0","B2M"
3.4685932757418e-223,0.689002800555338,0.636,0.264,8.48105741851627e-219,"0","RERE"
3.64725484154453e-223,0.593828869481792,0.972,0.624,8.91790281306054e-219,"0","RPL9"
5.18983147645448e-221,0.888956874000109,0.63,0.254,1.26896569430788e-216,"0","RHOC"
1.10237440177345e-220,1.18089514339643,0.535,0.197,2.69541564977626e-216,"0","WLS"
2.598063737332e-220,1.4494306467367,0.484,0.163,6.35252564415048e-216,"0","HEXIM1"
6.55055340804894e-217,0.531366952908799,0.865,0.421,1.60167581380205e-212,"0","MT-ND5"
1.31200746038271e-214,1.48912984498561,0.448,0.139,3.20798944138176e-210,"0","NR4A2"
1.65873049888232e-214,1.02042597598912,0.475,0.154,4.05576194281715e-210,"0","UTRN"
2.15505589870626e-214,0.85110654000973,0.63,0.266,5.26932717792668e-210,"0","SCAF11"
2.33257328120562e-213,0.646815188521447,0.641,0.265,5.70337492987587e-209,"0","BC004004"
1.2668997507783e-212,1.17083634350494,0.444,0.131,3.09769658062802e-208,"0","NDRG1"
4.89771980243254e-210,1.07480157601605,0.579,0.227,1.19754146889278e-205,"0","PHLDA1"
6.13021399723389e-208,0.889856205229225,0.623,0.267,1.49889862446366e-203,"0","NEDD4"
