"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.89107675555149,0.888,0.156,0,"0","PDGFRA"
0,2.24979049957519,0.892,0.173,0,"0","CWC22"
0,1.65592519246682,0.974,0.26,0,"0","MT-ND2"
0,1.32159407633186,0.979,0.277,0,"0","MT-ND4"
0,1.44855429348047,0.984,0.292,0,"0","MT-ND1"
0,2.43808480759035,0.81,0.125,0,"0","KCNQ1OT1"
0,1.42746758408515,0.991,0.307,0,"0","MT-CO2"
0,1.8168083913548,0.979,0.297,0,"0","CHIC2"
0,2.26136355488181,0.879,0.197,0,"0","CTSL"
0,1.28838914940766,0.987,0.305,0,"0","MT-ATP6"
0,1.35257552544798,0.98,0.3,0,"0","MT-CYTB"
0,2.75125406823509,0.837,0.158,0,"0","ERO1A"
0,1.32998958025679,0.992,0.321,0,"0","MT-CO3"
0,2.31720492850222,0.846,0.179,0,"0","FN1"
0,1.81877651223491,0.906,0.241,0,"0","LDHA"
0,2.46808031361235,0.813,0.148,0,"0","1110038B12RIK"
0,2.13793539514337,0.967,0.304,0,"0","SPP1"
0,1.80155144380388,0.856,0.195,0,"0","CSTB"
0,1.90400248451477,0.988,0.333,0,"0","FTL1"
0,1.60457446939612,0.89,0.235,0,"0","PGK1"
0,1.50921176208943,0.931,0.281,0,"0","MT-ND5"
0,1.99618511432079,0.824,0.179,0,"0","2410006H16RIK"
0,1.89254997403098,0.832,0.189,0,"0","PGAM1"
0,1.66211823650431,0.867,0.225,0,"0","CD63"
0,1.33340742151214,0.982,0.34,0,"0","RPL41"
0,1.66283237311488,0.885,0.245,0,"0","HMGA2"
0,2.1868263186838,0.787,0.148,0,"0","SFR1"
0,2.23735249546252,0.779,0.143,0,"0","GPI1"
0,1.57694318660475,0.985,0.349,0,"0","RPS26"
0,1.84254398165081,0.8,0.172,0,"0","UQCRH"
0,1.87510062435117,0.785,0.161,0,"0","TNFRSF12A"
0,2.38120837766155,0.75,0.131,0,"0","CDKN1A"
0,0.981636850335136,0.898,0.281,0,"0","VIM"
0,1.32612710331246,0.985,0.368,0,"0","RPL6"
0,1.73044083476901,0.789,0.174,0,"0","GAS5"
0,1.271406817479,0.982,0.368,0,"0","RPL21"
0,0.843317595433037,0.806,0.195,0,"0","GM56906"
0,1.40955899898328,0.962,0.351,0,"0","RPL39"
0,1.69882820710497,0.79,0.18,0,"0","GNG5"
0,1.63655804234533,0.812,0.203,0,"0","IER3"
0,1.76648239744521,0.787,0.18,0,"0","BSG"
0,1.85501942531829,0.764,0.159,0,"0","CHCHD2"
0,1.38646931133323,0.911,0.306,0,"0","PKM"
0,1.70690860692811,0.765,0.161,0,"0","MDM2"
0,1.76826742670232,0.771,0.168,0,"0","TPI1"
0,1.2975298846081,0.792,0.194,0,"0","B2M"
0,2.31318777632902,0.72,0.125,0,"0","RESF1"
0,1.35502127536855,0.985,0.392,0,"0","RPS15A"
0,1.01093270855849,0.912,0.32,0,"0","RPS2"
0,1.28562781031049,0.961,0.369,0,"0","CCT2"
0,1.34763067881606,0.778,0.187,0,"0","ATP5PD"
0,1.50767032995622,0.774,0.185,0,"0","RPL35"
0,1.52095387292929,0.759,0.173,0,"0","MT-ND4L"
0,1.23112753026068,0.89,0.305,0,"0","PPP3CA"
0,1.54174268576211,0.758,0.18,0,"0","KANSL1"
0,1.60575954006902,0.75,0.174,0,"0","RBPJ"
0,1.39639807676542,0.83,0.256,0,"0","SQSTM1"
0,1.50892203739342,0.98,0.412,0,"0","RPL38"
0,1.59036187351441,0.739,0.174,0,"0","NEDD4"
0,1.24710146671646,0.766,0.209,0,"0","P4HA1"
0,1.73198198914403,0.713,0.157,0,"0","ENO1"
0,0.837418720889615,0.783,0.228,0,"0","S100A4"
0,1.24598454335705,0.76,0.208,0,"0","COX8A"
0,1.37131740051013,0.75,0.199,0,"0","RHOC"
0,1.20656738734953,0.935,0.387,0,"0","ALDOA"
0,1.03836640357909,0.733,0.185,0,"0","TUBA1B"
0,1.34010176320616,0.985,0.438,0,"0","RPSA"
0,2.32784077187618,0.656,0.11,0,"0","COLEC12"
0,1.39911494906621,0.767,0.222,0,"0","HSPA9"
0,1.00788194982074,0.884,0.342,0,"0","PPP1R12A"
0,1.24511909767401,0.727,0.186,0,"0","BC004004"
0,2.66552422709616,0.639,0.099,0,"0","ERDR1Y"
0,1.02001493941627,0.805,0.272,0,"0","SEC61G"
0,2.22669277050603,0.646,0.114,0,"0","SERPINB6A"
0,2.27309814474023,0.648,0.117,0,"0","NUPR1"
0,2.002268661044,0.651,0.125,0,"0","ATXN10"
0,2.10132355365113,0.642,0.122,0,"0","ZFAS1"
0,2.65763703835854,0.613,0.093,0,"0","AKR1B1"
0,3.50544827858158,0.624,0.105,0,"0","TEX14"
0,2.52080640657291,0.589,0.071,0,"0","PID1"
0,1.08968666862399,0.982,0.467,0,"0","RPL23A"
0,1.08684743403321,0.729,0.216,0,"0","RERE"
0,1.18121041889798,0.715,0.202,0,"0","SCAF11"
0,0.965504493142409,0.935,0.424,0,"0","RPL35A"
0,1.09513332157957,0.736,0.227,0,"0","ESD"
0,1.01725621854825,0.725,0.221,0,"0","TCEA1"
0,1.16866914970714,0.71,0.206,0,"0","BPTF"
0,1.27511790633178,0.676,0.173,0,"0","TSPO"
0,1.41879774821025,0.666,0.163,0,"0","ATP5PB"
0,2.06437172901588,0.589,0.086,0,"0","BNIP3"
0,1.76780576227091,0.634,0.135,0,"0","POLD4"
0,1.74826693717753,0.637,0.142,0,"0","SDC4"
0,1.24845375474912,0.662,0.169,0,"0","NPC2"
0,2.09248277536213,0.602,0.113,0,"0","MAGI3"
0,1.24646349474757,0.669,0.183,0,"0","EEF1D"
0,1.775459402516,0.605,0.12,0,"0","CAST"
0,2.70923996343048,0.561,0.078,0,"0","LOX"
0,1.30694659262266,0.998,0.519,0,"0","MT-CO1"
0,1.00535516757179,0.973,0.498,0,"0","RPL37A"
0,2.02844322632433,0.593,0.119,0,"0","WLS"
0,2.52189838842987,0.56,0.088,0,"0","KLF9"
0,2.79547405620813,0.531,0.061,0,"0","DCLK1"
0,1.3870771605503,0.616,0.147,0,"0","COX7A2L"
0,1.19573206955434,0.641,0.173,0,"0","ATP2B1"
0,2.08482985539548,0.579,0.111,0,"0","ABCB1B"
0,1.77846269211142,0.585,0.119,0,"0","MRPL30"
0,1.42262214905183,0.617,0.153,0,"0","MRFAP1"
0,1.29723811590041,0.624,0.161,0,"0","IFRD1"
0,1.58967808987915,0.594,0.135,0,"0","P4HB"
0,1.24362011563871,0.619,0.162,0,"0","FAM162A"
0,1.34095615797001,0.991,0.535,0,"0","RPL7"
0,1.8577325637195,0.573,0.118,0,"0","LAMP1"
0,1.51623428545352,0.581,0.128,0,"0","PRKCA"
0,1.53515637296011,0.587,0.138,0,"0","SLC25A4"
0,2.21849989504212,0.541,0.094,0,"0","CACNA2D1"
0,1.74656458869815,0.544,0.1,0,"0","MAGI1"
0,1.78116497290532,0.539,0.097,0,"0","UTRN"
0,1.63962979292529,0.571,0.131,0,"0","TMED2"
0,2.3981281902967,0.528,0.089,0,"0","VCAN"
0,1.82990278158551,0.551,0.114,0,"0","SNHG8"
0,4.27650259112707,0.463,0.027,0,"0","HMOX1"
0,1.74696112693321,0.548,0.113,0,"0","SLC25A39"
0,1.52322425265978,0.562,0.127,0,"0","NSMCE2"
0,0.841062910904981,0.975,0.54,0,"0","EEF1B2"
0,2.90949994411686,0.498,0.064,0,"0","PRL2C2"
0,1.63106789448244,0.558,0.125,0,"0","RNF11"
0,2.20405222413782,0.529,0.096,0,"0","AIRN"
0,1.61891590934205,0.562,0.131,0,"0","PSAP"
0,1.82498560803945,0.541,0.11,0,"0","APBB2"
0,2.21700463081186,0.507,0.08,0,"0","SNHG6"
0,2.05874105013188,0.531,0.106,0,"0","GM20186"
0,1.50446324485382,0.514,0.089,0,"0","NDRG1"
0,1.56103916004225,0.533,0.117,0,"0","AKAP9"
0,2.11063681088481,0.497,0.081,0,"0","MAML3"
0,2.23301780822509,0.499,0.086,0,"0","SLIT2"
0,1.11824584108315,0.975,0.562,0,"0","GAPDH"
0,1.97501209478522,0.519,0.108,0,"0","PRRX1"
0,2.09725876282624,0.503,0.092,0,"0","GNG12"
0,1.85928741674535,0.516,0.106,0,"0","LARP4"
0,1.72631465308647,0.517,0.108,0,"0","TXNDC9"
0,1.86484958466159,0.528,0.119,0,"0","ID2"
0,1.86226462947372,0.52,0.112,0,"0","HEXIM1"
0,2.17560794697646,0.497,0.09,0,"0","EIF4EBP1"
0,3.29152818913308,0.458,0.052,0,"0","KDR"
0,1.86987677528209,0.506,0.101,0,"0","MAST2"
0,2.04669741583947,0.49,0.092,0,"0","HSPA4L"
0,1.80039269174029,0.491,0.097,0,"0","ZFPM2"
0,2.12773409249979,0.474,0.088,0,"0","MEDAG"
0,2.60434907629202,0.434,0.048,0,"0","GAS7"
0,2.14724643216332,0.461,0.076,0,"0","CSPP1"
0,2.46681170469583,0.458,0.074,0,"0","PIK3R3"
0,1.77466378355244,0.448,0.064,0,"0","GBE1"
0,2.12212375423298,0.449,0.072,0,"0","GM15398"
0,2.26534692658812,0.448,0.073,0,"0","SMIM14"
0,2.08510975231848,0.449,0.075,0,"0","6820431F20RIK"
0,2.33758876756093,0.442,0.071,0,"0","CERS2"
0,2.8998870753819,0.431,0.06,0,"0","POR"
0,2.5150212536991,0.448,0.078,0,"0","SCD2"
0,2.39477031013729,0.433,0.065,0,"0","SNHG7"
0,1.28496847600367,0.997,0.631,0,"0","RPL26"
0,0.923755383376945,0.985,0.625,0,"0","RPL9"
0,2.67047492787983,0.425,0.067,0,"0","FGFR1"
0,2.19216991665474,0.996,0.675,0,"0","MALAT1"
9.18430326504606e-308,2.66262345584211,0.411,0.06,2.21718265121477e-303,"0","TGFBR3"
2.24987714670573e-306,2.37563196069828,0.418,0.064,5.43142841986231e-302,"0","GPC6"
4.30198561383343e-306,1.18101176313518,0.623,0.156,1.03854234703553e-301,"0","NDUFA4"
2.82096108433655e-305,1.8944736129543,0.488,0.1,6.81008215369686e-301,"0","IER2"
3.71896667223172e-304,1.85853605860161,0.441,0.07,8.97795744343459e-300,"0","GCLC"
1.32066447883809e-303,2.02106803754677,0.465,0.09,3.18821611836303e-299,"0","PVT1"
7.04953250728981e-303,1.65839019789029,0.51,0.109,1.70182764258483e-298,"0","NAV2"
1.17013016257708e-302,2.13664359774852,0.462,0.089,2.82481122547732e-298,"0","HIGD1A"
1.42001562739652e-302,1.94213713111898,0.464,0.088,3.42805972609793e-298,"0","NBEA"
6.59001608661829e-301,2.10749292466915,0.428,0.071,1.59089578347052e-296,"0","GHR"
1.93467403040624e-299,2.42544713990005,0.427,0.074,4.67049657680371e-295,"0","PLCD3"
1.11380163446446e-298,1.15795256963111,0.681,0.209,2.68882852576065e-294,"0","KLF4"
2.91079409279699e-298,2.96797021409369,0.364,0.04,7.02694801942122e-294,"0","TNFRSF23"
4.86258510029908e-298,1.63177541168616,0.501,0.109,1.1738766690632e-293,"0","FRS2"
1.10278956276031e-297,1.20082218790636,0.594,0.155,2.66224428345967e-293,"0","CDK14"
8.56664058818874e-297,0.930106806363993,0.95,0.423,2.06807270439464e-292,"0","HSPA8"
1.69621640134844e-295,1.95482536426017,0.468,0.095,4.09483601449526e-291,"0","FKBP11"
8.42484973357813e-295,1.27621930816262,0.568,0.145,2.0338429741831e-290,"0","ZBTB20"
5.401830666277e-294,1.28820656059983,0.562,0.141,1.30405594114593e-289,"0","COX7A2"
5.40491666914308e-294,1.78886773216785,0.468,0.094,1.30480093309783e-289,"0","SERTAD2"
3.60296806286281e-293,2.16027532157729,0.422,0.071,8.69792520055712e-289,"0","CCNT1"
4.94348544318695e-292,2.5540535068703,0.41,0.067,1.19340682083976e-287,"0","PPP1R15A"
5.37673423725271e-291,2.19495784999941,0.429,0.075,1.29799741221518e-286,"0","GRINA"
8.96035335675175e-291,2.24870640835705,0.408,0.063,2.16311890385344e-286,"0","IFI202B"
1.29856516318823e-290,2.09835041259039,0.439,0.082,3.13486616045271e-286,"0","RSL1D1"
1.19281325469923e-289,1.15040044891474,0.63,0.176,2.87957047816941e-285,"0","MAST4"
3.92489738133102e-289,1.93552574300692,0.43,0.076,9.47509476827122e-285,"0","TRRAP"
5.00765376940374e-289,2.37294638080338,0.411,0.067,1.20889769647176e-284,"0","SYNE1"
5.4625131311911e-289,1.23467435418682,0.525,0.122,1.31870529500084e-284,"0","SND1"
4.57602336924586e-288,1.51134252101703,0.509,0.118,1.10469780156964e-283,"0","VCF1"
5.14867956585078e-287,2.38577614249091,0.381,0.052,1.24294273399204e-282,"0","MIR100HG"
1.45158908558768e-286,2.51216461585253,0.384,0.055,3.50428121151723e-282,"0","CDR2L"
1.84907966988441e-286,1.01727198218227,0.72,0.226,4.46386323106795e-282,"0","TUBA1A"
3.7809035087356e-286,1.24092369802793,0.592,0.161,9.1274791604386e-282,"0","DNTTIP2"
6.10879286023691e-286,1.85147592471031,0.461,0.094,1.47472368438979e-281,"0","TAF1D"
6.78129273379144e-286,1.83976544441209,0.524,0.131,1.63707187886459e-281,"0","IL1RL1"
2.35469093870873e-285,2.2560287170424,0.378,0.049,5.68445939513674e-281,"0","PGM1"
1.21183201566323e-284,2.10935292933451,0.385,0.055,2.9254836690126e-280,"0","LARGE1"
1.49977223340903e-284,1.47325357555182,0.535,0.132,3.62060014867273e-280,"0","MDH2"
4.65299988616228e-284,1.40179811387718,0.55,0.141,1.12328070251844e-279,"0","OSTC"
5.60872038323634e-284,1.7227284999927,0.487,0.109,1.35400118771709e-279,"0","RHOB"
3.36886196295168e-282,1.1188307435542,0.621,0.181,8.13276966476165e-278,"0","ATP6V1G1"
6.96463794469851e-282,2.26568947052024,0.388,0.058,1.68133324622967e-277,"0","ROBO3"
7.07614345770738e-282,1.67648562323565,0.513,0.123,1.70825179212514e-277,"0","CDK4"
2.34925112707517e-281,1.37411291600383,0.507,0.118,5.67132714587216e-277,"0","TCF20"
1.78169510959065e-280,0.887506603892602,0.797,0.28,4.30119016406278e-276,"0","COX4I1"
7.09379124202213e-279,1.37109605600372,0.563,0.153,1.71251214373656e-274,"0","MANF"
1.25254246216386e-278,0.894226969055544,0.814,0.28,3.02376275790978e-274,"0","EIF5A"
1.42665575503352e-278,1.34589915525407,0.519,0.126,3.44408965822643e-274,"0","TMED10"
2.01109203701431e-278,1.42836656462656,0.568,0.154,4.85497728655625e-274,"0","SERPINH1"
3.46148640221658e-278,1.45076912761659,0.493,0.112,8.35637432359103e-274,"0","PTBP2"
1.02316166453808e-277,1.11943456770379,0.622,0.18,2.47001457436137e-273,"0","PHLDA1"
1.26340626876254e-277,1.61016249900885,0.503,0.118,3.04998907341965e-273,"0","UQCRQ"
3.23591593721324e-277,1.32743417425332,0.54,0.138,7.81182466402649e-273,"0","PEBP1"
2.30839519648612e-276,1.92918456707341,0.446,0.091,5.57269684383713e-272,"0","FRMD4A"
2.43643629605239e-276,0.882603206887074,0.925,0.397,5.88180086230007e-272,"0","RPL7A"
3.39347823587703e-276,1.62816613468825,0.492,0.115,8.19219580923074e-272,"0","ATP6V0C"
1.34885651820104e-275,1.05122207367578,0.575,0.156,3.25627452058913e-271,"0","STRN3"
1.16470161089725e-274,1.61927333451799,0.547,0.142,2.81170615886704e-270,"0","COL1A2"
1.96406678132264e-274,1.13798721281312,0.611,0.176,4.74145361679098e-270,"0","SEC61B"
2.16646675757925e-274,2.79210064800059,0.32,0.026,5.23006739947207e-270,"0","IGFBP4"
2.8171311546822e-274,1.68553592292826,0.473,0.104,6.80083632051831e-270,"0","CAPNS1"
2.97577719443847e-274,2.2673860925108,0.398,0.067,7.18382372509392e-270,"0","SCPEP1"
6.39207305680928e-274,0.931443986456565,0.677,0.21,1.54311035664433e-269,"0","ROCK2"
1.64843712771025e-272,1.32641439942694,0.501,0.119,3.97949207000531e-268,"0","FAF1"
6.44412485901629e-272,1.80668661642036,0.43,0.084,1.55567618221512e-267,"0","PDGFC"
1.27240139857652e-271,1.71995171828652,0.456,0.097,3.07170421630358e-267,"0","IMMP2L"
8.51772888522358e-271,0.854517060369239,0.952,0.458,2.05626493018183e-266,"0","RPL36"
1.3209603082314e-270,2.35425045423995,0.387,0.064,3.18893028010142e-266,"0","ERN1"
3.88811523950379e-270,2.20131399521753,0.387,0.063,9.3862989996861e-266,"0","GLIS3"
9.21745123894851e-270,2.47028136614445,0.376,0.055,2.22518490359456e-265,"0","PLIN2"
7.35191588358473e-269,1.4952556086168,0.473,0.107,1.77482601345619e-264,"0","CAMK2D"
3.10448560550074e-268,2.23603963228547,0.41,0.076,7.49453870023935e-264,"0","MYBBP1A"
3.75276527853585e-268,2.17070543567827,0.389,0.064,9.0595506589134e-264,"0","ALKBH5"
4.02640808574217e-268,1.81603225253812,0.439,0.091,9.72015175979017e-264,"0","TMEM167"
1.24744062008884e-267,2.16739817450413,0.418,0.081,3.01144640095647e-263,"0","ZWINT"
2.59654885280568e-266,0.968058923441003,0.637,0.198,6.26832858555819e-262,"0","BRI3"
3.33614415342077e-266,1.54739817809875,0.509,0.123,8.05378560077309e-262,"0","TRP53"
3.70599864360499e-266,2.22522179862283,0.402,0.075,8.9466513255268e-262,"0","CPLANE1"
1.82827275987131e-265,2.1525799333526,0.406,0.074,4.41363326960533e-261,"0","RRS1"
5.30068417470704e-265,1.44413339805336,0.496,0.121,1.27963816661603e-260,"0","NDUFA7"
8.44240752742211e-265,1.11257475595693,0.601,0.172,2.03808160119497e-260,"0","TAGLN2"
1.28816535565068e-262,0.664515727159769,0.992,0.761,3.1097599850763e-258,"0","RPS24"
2.05613289463138e-262,1.01544117156734,0.625,0.189,4.9637104209296e-258,"0","MCL1"
3.15839440159389e-262,1.74509646344197,0.434,0.09,7.62467992488781e-258,"0","PEAK1"
1.0298172616932e-261,1.76345814029051,0.484,0.12,2.48608185145355e-257,"0","SLPI"
1.22215475487944e-261,1.33362912875545,0.504,0.126,2.95040379375445e-257,"0","TBRG1"
1.25776128373955e-261,2.65455694415096,0.355,0.05,3.03636151507565e-257,"0","SNHG3"
1.76243841102999e-259,1.47175373063145,0.427,0.083,4.2547025680675e-255,"0","P4HA2"
4.58501785601856e-259,2.16426894985469,0.387,0.069,1.10686916062144e-254,"0","APPBP2"
4.63193566679571e-259,1.79898833799516,0.454,0.104,1.11819558932115e-254,"0","NOLC1"
1.02565908028019e-258,0.935268421900492,0.572,0.16,2.47604358570441e-254,"0","GLS"
2.58513206102378e-258,1.96202979048486,0.38,0.064,6.2407673085175e-254,"0","SEC24D"
4.68554732459246e-258,1.70417935555396,0.441,0.096,1.13113797962987e-253,"0","EP400"
5.06225178375599e-257,1.6422311293855,0.458,0.105,1.22207820311653e-252,"0","CD81"
6.05753170396223e-257,0.673898595955514,0.99,0.772,1.46234872865352e-252,"0","RPS10"
2.56972304359087e-256,1.68840720261456,0.503,0.133,6.20356839953271e-252,"0","AEBP1"
2.89315824873163e-255,1.97777062947584,0.397,0.075,6.98437332826303e-251,"0","CTSD"
3.20290631404335e-255,0.778423725094146,0.647,0.202,7.73213613273204e-251,"0","ANKRD17"
9.59705300594678e-255,1.09482373873617,0.565,0.157,2.31682456616561e-250,"0","UBE2I"
4.02335068983767e-254,1.39756655981195,0.475,0.115,9.71277090033712e-250,"0","DOCK7"
3.50052569562413e-253,1.23608027291866,0.505,0.131,8.45061908180622e-249,"0","FIP1L1"
6.73186522239059e-253,0.877983859445951,0.601,0.182,1.62513958333731e-248,"0","UBAP2L"
1.05809840005223e-252,1.12180331466735,0.523,0.141,2.55435534756608e-248,"0","CCDC88A"
1.10048062217555e-252,2.01670871970966,0.399,0.074,2.656670269994e-248,"0","PTGS2"
1.75494580200829e-252,1.05976612657546,0.566,0.164,4.23661466062821e-248,"0","SLC38A2"
2.00986684930159e-252,2.19048188741767,0.39,0.072,4.85201956089898e-248,"0","SMIM36"
3.03615496741013e-252,1.20734776693785,0.534,0.145,7.3295817068248e-248,"0","CCT7"
8.87211494173339e-252,1.70617315468539,0.426,0.09,2.14181726808386e-247,"0","NSF"
1.48065986502053e-251,0.786609746270841,0.662,0.214,3.57446098014607e-247,"0","LUC7L2"
1.61306953676691e-251,1.73416898753182,0.427,0.092,3.894111168709e-247,"0","PLAC8"
2.02968578865357e-251,1.78218077886227,0.423,0.089,4.89986446238857e-247,"0","ZEB1"
1.05325955687722e-250,1.43345787798668,0.494,0.127,2.54267389625729e-246,"0","FOSL1"
1.06181797116806e-250,0.774701407452459,0.691,0.236,2.56333476419681e-246,"0","GABARAP"
4.54666215730324e-250,2.42206920247153,0.349,0.053,1.09760971139458e-245,"0","C78283"
8.57970669582197e-250,1.2767094218208,0.444,0.097,2.07122699343838e-245,"0","UBN2"
1.18296132473471e-249,1.20560883069249,0.499,0.127,2.85578693404207e-245,"0","DAD1"
1.82936953019366e-249,1.89920188716513,0.413,0.087,4.41628098284052e-245,"0","MAP1LC3B"
3.55437884117167e-249,1.44153396129936,0.414,0.082,8.58062596047252e-245,"0","UBE2W"
3.79048178911093e-249,2.1625016020244,0.353,0.054,9.15060208709269e-245,"0","STARD13"
6.56422441991803e-249,1.40518008688425,0.43,0.09,1.58466941721241e-244,"0","PALS2"
1.51939514144686e-247,2.29709916380856,0.343,0.049,3.66797181096685e-243,"0","CYP2C55"
5.01660918587894e-247,1.64221623920721,0.452,0.106,1.21105962356304e-242,"0","EMP3"
8.71284045619804e-247,2.11620895541872,0.383,0.072,2.10336681453077e-242,"0","ST3GAL1"
1.60339397811352e-246,2.36780244685676,0.361,0.06,3.87075340256386e-242,"0","TGS1"
1.08707520104244e-245,1.13643027926156,0.553,0.161,2.62430824283656e-241,"0","JUND"
1.70656124712095e-245,1.05745407147341,0.566,0.158,4.11980950667467e-241,"0","H2-D1"
5.95571807804822e-245,2.23231637367579,0.331,0.043,1.43776990122162e-240,"0","S100A16"
6.22027706626344e-245,1.70805010138346,0.427,0.095,1.50163708656666e-240,"0","FTSJ3"
1.04365891590461e-244,0.981131163116904,0.525,0.141,2.51949698888533e-240,"0","ACSL4"
6.68054617951337e-244,1.54675083187831,0.437,0.099,1.61275065319632e-239,"0","DAP"
2.31482299866301e-243,2.56361441686648,0.345,0.054,5.58821420107237e-239,"0","GM56555"
4.14152372956139e-243,0.739784234801191,0.631,0.203,9.99805243553415e-239,"0","NDUFA6"
6.74738804611214e-243,0.776694655605053,0.634,0.203,1.62888694821193e-238,"0","ARIH1"
1.04146722658687e-242,1.69812327532803,0.438,0.101,2.51420603170336e-238,"0","GRN"
1.16823307829801e-242,1.35382915048629,0.484,0.126,2.82023147431923e-238,"0","IFITM2"
1.56488176614532e-242,1.91744003022058,0.374,0.065,3.77778107165142e-238,"0","ADAMTS1"
1.09999480979256e-241,0.694210136461225,0.986,0.662,2.65549747032021e-237,"0","RPL31"
7.4484431848342e-241,2.58426176351388,0.356,0.06,1.79812866925083e-236,"0","EREG"
1.7570425830443e-240,2.27944598495613,0.334,0.048,4.24167649972725e-236,"0","EPB41L4AOS"
3.31224945490969e-240,1.8142765693816,0.403,0.084,7.99610140909749e-236,"0","SPRED2"
5.55996549382247e-240,2.54449135413012,0.321,0.041,1.34223126986368e-235,"0","XPOT"
3.56120550395817e-239,1.70250032229542,0.378,0.069,8.59710620710541e-235,"0","CCND2"
8.95598537888864e-239,1.94788946743858,0.383,0.073,2.16206443031751e-234,"0","MFGE8"
4.78768238486404e-238,1.84083213237391,0.406,0.086,1.15579440453003e-233,"0","ZFHX4"
4.53491438339406e-237,2.02982160623691,0.361,0.062,1.09477368129516e-232,"0","NABP1"
1.04705468715925e-236,1.53442007468246,0.447,0.111,2.52769472027114e-232,"0","ATP5F1D"
2.72584844015294e-236,1.14763179898838,0.494,0.131,6.58047071937321e-232,"0","GNL3"
2.85806381355827e-236,1.74984473887502,0.368,0.066,6.89965185231102e-232,"0","TACO1"
5.28456861153028e-236,0.825706060968696,0.571,0.171,1.27574770850952e-231,"0","GPHN"
7.99659386780688e-236,1.76707844081645,0.389,0.08,1.93045772562726e-231,"0","PAN3"
1.77381123641824e-235,1.30533773617847,0.479,0.127,4.28215770583727e-231,"0","G3BP1"
2.29383365539365e-235,1.75647677544555,0.375,0.07,5.53754382748582e-231,"0","ATF7"
2.51514837849585e-235,1.89118824088136,0.384,0.076,6.07181970052683e-231,"0","CFAP299"
6.09471868921173e-235,1.9617664390057,0.353,0.06,1.4713260387626e-230,"0","BNC2"
1.22249996559182e-234,1.14812293124673,0.45,0.106,2.95123716693521e-230,"0","DERL1"
7.07392814032326e-234,1.44160827382223,0.484,0.131,1.70771699235544e-229,"0","TMEM176B"
1.02869522227155e-233,1.89050289315629,0.39,0.081,2.48337313608574e-229,"0","TMED9"
1.12488624209243e-233,0.708012756652607,0.957,0.469,2.71558787703534e-229,"0","PPIA"
7.39394752333722e-233,1.32382034016062,0.388,0.074,1.78497287160884e-228,"0","SBF2"
3.03414188561057e-232,2.40272663628758,0.329,0.049,7.32472192605247e-228,"0","2310039H08RIK"
7.19051567101548e-232,1.12407458853162,0.516,0.147,1.73586238813985e-227,"0","BZW2"
1.79045291505165e-231,0.847386934484944,0.669,0.233,4.3223323822262e-227,"0","PDIA6"
4.12814368445686e-231,0.927263839733599,0.555,0.168,9.96575166864731e-227,"0","ZFP292"
1.78190843107319e-230,0.78032973083986,0.562,0.169,4.30170514345378e-226,"0","SMURF2"
2.36897960503666e-230,0.73647302471682,0.708,0.25,5.718953664519e-226,"0","TLK2"
