"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HAS2",6.85749421515074e-149,1.19423397271176,0.689,0.444,4.04043559156682e-144,"0","HAS2"
"GEM",7.30715005828375e-122,1.14929153637017,0.543,0.295,4.30537281434078e-117,"0","GEM"
"CD44",1.28635296172189e-121,0.498234019895204,0.975,0.906,7.57919165046539e-117,"0","CD44"
"SPOCK3",3.52030957506638e-112,1.42796703334517,0.407,0.19,2.07416640162911e-107,"0","SPOCK3"
"INHBA",2.58456822970751e-107,0.746651006564033,0.846,0.697,1.52282760094366e-102,"0","INHBA"
"SEMA3C",6.23993648420415e-103,0.719430791757977,0.845,0.69,3.67657057649309e-98,"0","SEMA3C"
"TENM2",3.32164859274138e-102,0.804190879474466,0.713,0.488,1.95711535084322e-97,"0","TENM2"
"EXT1",4.31955265501366e-101,0.487861084691543,0.977,0.914,2.54508042433405e-96,"0","EXT1"
"JUN",3.55391906319227e-100,0.712019777770072,0.835,0.702,2.09396911203288e-95,"0","JUN"
"FHOD3",7.64276420750172e-99,0.795253594948417,0.737,0.545,4.50311667106001e-94,"0","FHOD3"
"ATP1B1",2.57866390804412e-98,0.66877166968253,0.852,0.722,1.51934877461959e-93,"0","ATP1B1"
"CFAP20DC-DT",1.69661415581308e-93,1.20508244144297,0.448,0.242,9.99645060605068e-89,"0","CFAP20DC-DT"
"UGDH",7.5767047969324e-91,1.04363788136382,0.585,0.4,4.46419446635257e-86,"0","UGDH"
"ATF3",5.86220211749829e-90,0.524095022504776,0.92,0.815,3.45400948763e-85,"0","ATF3"
"SFN",2.29997267913749e-89,0.502623167910222,0.94,0.831,1.35514390254781e-84,"0","SFN"
"SPTBN1",4.29992681005112e-89,0.701168473548166,0.769,0.623,2.53351687648212e-84,"0","SPTBN1"
"IVNS1ABP",3.17394035163091e-86,0.855576576539552,0.648,0.453,1.87008565518093e-81,"0","IVNS1ABP"
"HOMER1",1.1353267070258e-79,1.04593261982422,0.513,0.328,6.68934495779602e-75,"0","HOMER1"
"NEAT1",5.21522873952996e-79,0.392401175259326,0.975,0.93,3.07281277333105e-74,"0","NEAT1"
"FOS",8.67696999956264e-77,0.510177692408755,0.904,0.819,5.11247072374231e-72,"0","FOS"
"LAMC2",5.21431830015756e-76,0.479487358578122,0.899,0.795,3.07227634245284e-71,"0","LAMC2"
"KLF6",1.98327277137735e-74,0.765405380222371,0.715,0.582,1.16854431689554e-69,"0","KLF6"
"NFKB1",1.49727357948743e-71,0.808165293948521,0.686,0.545,8.82193593033991e-67,"0","NFKB1"
"CFAP20DC",9.68473040518476e-71,0.957346300114038,0.437,0.252,5.70624315473486e-66,"0","CFAP20DC"
"ANXA10",1.42054882623209e-69,1.49078705723148,0.31,0.157,8.36987368415949e-65,"0","ANXA10"
"MYO1B",3.1010235495518e-69,0.466441749712088,0.899,0.821,1.82712307539592e-64,"0","MYO1B"
"TNC",1.95966681898309e-68,1.01224152410878,0.534,0.355,1.15463568974484e-63,"0","TNC"
"ITGAV",1.28604544518683e-67,0.724229672501106,0.685,0.536,7.57737976304083e-63,"0","ITGAV"
"HSPA1A",1.32944491668828e-64,0.734115566968122,0.628,0.474,7.83308944912732e-60,"0","HSPA1A"
"MMP10",6.56958800836843e-63,1.060927922057,0.325,0.166,3.87080125453068e-58,"0","MMP10"
"SLC22A23",3.49460481291325e-62,0.971362876555077,0.469,0.308,2.05902115576849e-57,"0","SLC22A23"
"BTG2",7.60579544470777e-62,1.20609940825682,0.33,0.177,4.48133467602182e-57,"0","BTG2"
"RBP1",1.80074132200434e-61,0.456494702746739,0.802,0.661,1.06099678692496e-56,"0","RBP1"
"GSK3B",1.55679199969822e-58,0.636887088410572,0.648,0.501,9.17261846222189e-54,"0","GSK3B"
"TIPARP",2.01704080515826e-56,0.564799658338536,0.708,0.57,1.18844044239925e-51,"0","TIPARP"
"PTHLH",7.45593394313941e-56,0.494220431808194,0.716,0.557,4.39303627929774e-51,"0","PTHLH"
"CDH13",7.52393587774579e-56,0.657276090574195,0.575,0.397,4.43310301916782e-51,"0","CDH13"
"PALLD",1.01392965437883e-55,0.537696589101888,0.779,0.674,5.97407352360008e-51,"0","PALLD"
