"","Cluster","Epithelial","Fibroblast","EMT","Phenotype"
"g0","0",0.0160331585307788,13.2691940807699,1.14484210038226,"Fibroblast"
"g1","1",0.0164541768021763,11.4565941465359,0.795011740031761,"Fibroblast"
"g2","2",0.0359333417643221,7.62977550937311,0.621909025822075,"Fibroblast"
"g3","3",0.0158817358481115,13.546362223937,1.05078886170777,"Fibroblast"
"g4","4",0.019262166761717,13.2480572945805,1.11948976629398,"Fibroblast"
"g5","5",0.0182070901513482,8.17204963173231,0.606444365181585,"Fibroblast"
"g6","6",0.0264799967243112,8.93044016437752,0.772610473158437,"Fibroblast"
"g7","7",0.0328212930803376,9.19548875970751,0.511452070215864,"Fibroblast"
"g8","8",0.0391127887992161,9.37483865987523,0.603809834206282,"Fibroblast"
"g9","9",0.0252702007251963,12.7179222142039,0.253222566353768,"Fibroblast"
"g10","10",0.02465483234714,7.34004491042959,1.68279103232928,"Fibroblast"
