"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Spp1",0,0.663812596859641,0.996,0.964,0,"0","Spp1"
"Nfkb1",8.28740928083857e-283,1.20732821617802,0.759,0.501,2.79252543127136e-278,"0","Nfkb1"
"S100a4",8.85417333495083e-268,0.666344815711965,0.958,0.8,2.98350224694503e-263,"0","S100a4"
"Hmga2",3.99538447844455e-264,0.701174164272911,0.967,0.832,1.34628475385668e-259,"0","Hmga2"
"Col1a2",3.00224652287608e-222,0.774729155071003,0.764,0.493,1.01163698834832e-217,"0","Col1a2"
"Il1rl1",3.52341679942426e-203,0.828492938967404,0.777,0.545,1.187250524734e-198,"0","Il1rl1"
"Sox9",2.63561941055166e-200,1.15891210540591,0.545,0.303,8.88098316579488e-196,"0","Sox9"
"Trib1",3.71096701555777e-198,0.99603692417758,0.624,0.377,1.25044744556235e-193,"0","Trib1"
"Aebp1",4.71521193647365e-168,0.775538807747471,0.704,0.471,1.58883781411416e-163,"0","Aebp1"
"Tiparp",3.31918737576299e-164,0.669914110273183,0.835,0.668,1.1184333781371e-159,"0","Tiparp"
"Rnf217",1.12394498082798e-163,1.16585650995398,0.481,0.268,3.78724500739796e-159,"0","Rnf217"
"Nfkbia",7.06064577004529e-153,0.449045469337063,0.842,0.634,2.37915519867446e-148,"0","Nfkbia"
"Immp2l",3.09795854426107e-138,0.887795618982313,0.547,0.34,1.04388811107421e-133,"0","Immp2l"
"Pcdh7",2.01337595180701e-135,0.664205453776604,0.731,0.539,6.78427160720889e-131,"0","Pcdh7"
"Vcan",2.11179524664299e-132,0.708080935532467,0.706,0.511,7.11590526308821e-128,"0","Vcan"
"Fn1",5.62935008404259e-132,0.524987587529237,0.917,0.799,1.89686580431899e-127,"0","Fn1"
"Ereg",1.609721782257e-129,0.940427675221435,0.563,0.363,5.42411851749319e-125,"0","Ereg"
"Fos",1.66651403878082e-129,0.756164109337302,0.763,0.591,5.61548570507585e-125,"0","Fos"
"Zfp36l1",5.52448687572947e-129,0.824072856344345,0.615,0.426,1.8615310976458e-124,"0","Zfp36l1"
"Mast4",7.0525536116357e-127,0.643987000378986,0.771,0.584,2.37642846497677e-122,"0","Mast4"
"Pmepa1",3.6786093983745e-124,0.518066931329325,0.86,0.707,1.23954422287627e-119,"0","Pmepa1"
"Airn",1.01233126602741e-123,0.821356585289302,0.661,0.482,3.41115143400595e-119,"0","Airn"
"Medag",1.11383592641175e-123,0.78589160141062,0.604,0.403,3.75318153763703e-119,"0","Medag"
"Lgals1",2.2893598505613e-120,0.316341696311722,0.986,0.916,7.71422695245134e-116,"0","Lgals1"
"Dab2",2.30377954399921e-120,0.845349344700613,0.56,0.365,7.76281555145974e-116,"0","Dab2"
"S100a6",1.21460782046971e-115,0.328940679162808,0.989,0.949,4.09274251185473e-111,"0","S100a6"
"Ppargc1a",7.92818703250896e-112,1.21816361551233,0.315,0.159,2.67148190247422e-107,"0","Ppargc1a"
"Spon2",9.13140952900789e-111,1.28721568487435,0.259,0.118,3.0769197548945e-106,"0","Spon2"
"Klf4",4.5523874725804e-109,0.564513697691107,0.782,0.629,1.53397248276069e-104,"0","Klf4"
"Vcam1",2.23337036190317e-108,0.847915403934396,0.497,0.313,7.52556477146893e-104,"0","Vcam1"
"Socs3",1.96367756723678e-106,0.99639949571188,0.418,0.249,6.61680793056106e-102,"0","Socs3"
"Peak1",4.75524932869794e-105,0.741794574899369,0.571,0.386,1.60232881379806e-100,"0","Peak1"
"Lamb1",1.55568863973796e-104,0.867781842565851,0.455,0.28,5.24204844046102e-100,"0","Lamb1"
"Nr2f1",3.95664575052314e-102,1.11800864413142,0.315,0.165,1.33323135209628e-97,"0","Nr2f1"
"Cebpd",4.42649897073061e-102,1.20898948642562,0.288,0.145,1.49155309317739e-97,"0","Cebpd"
"Ccnd1",1.53859811406224e-95,0.427900788533914,0.78,0.585,5.18446020514413e-91,"0","Ccnd1"
"Oaf",3.45784745995235e-94,0.721570782731443,0.557,0.385,1.16515628010554e-89,"0","Oaf"
"Gas1",7.63715852910605e-94,0.948020432721966,0.373,0.217,2.57341693796758e-89,"0","Gas1"
"Lima1",7.98873618266282e-93,0.853581023708611,0.456,0.292,2.69188454411006e-88,"0","Lima1"
"Timp2",3.24312230875451e-90,0.677232819501137,0.594,0.423,1.09280249315792e-85,"0","Timp2"
"St3gal1",4.49662006262869e-90,0.724685718089938,0.522,0.356,1.51518109630336e-85,"0","St3gal1"
