"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1110038B12Rik",0,0.92703896886544,0.87,0.704,0,"0","1110038B12Rik"
"Npm1",0,0.701080038383654,0.971,0.935,0,"0","Npm1"
"Rpl9",0,0.579934458377712,0.975,0.97,0,"0","Rpl9"
"Rpl32",0,0.447600853931172,0.992,0.987,0,"0","Rpl32"
"Rpl23",0,0.496622224374033,0.994,0.991,0,"0","Rpl23"
"Rpl30",0,0.521616145707763,0.99,0.988,0,"0","Rpl30"
"Rpl26",1.41929178770786e-302,0.423242568073197,0.995,0.99,4.78244560786041e-298,"0","Rpl26"
"Rps7",4.83729037617609e-297,0.47595110595103,0.985,0.978,1.6299733651563e-292,"0","Rps7"
"Rps10",5.50560019765832e-289,0.449788764525181,0.99,0.984,1.85516704260295e-284,"0","Rps10"
"Eif1",1.74644823462221e-287,0.566447707358781,0.971,0.948,5.884831971383e-283,"0","Eif1"
"Rps24",1.68844629682319e-284,0.469286337117066,0.989,0.982,5.68938864177544e-280,"0","Rps24"
"Rpl13",2.09388478349527e-283,0.401686804901237,0.992,0.989,7.05555416646565e-279,"0","Rpl13"
"Hspa5",1.0460134560218e-262,0.806389604514245,0.94,0.906,3.52464694141105e-258,"0","Hspa5"
"Rpl38",7.37382834308153e-258,0.474195094733862,0.979,0.966,2.48468519848475e-253,"0","Rpl38"
"Rpl31",1.32595023988961e-247,0.476685896516241,0.977,0.966,4.46792192833202e-243,"0","Rpl31"
"Rps23",1.24568433110803e-242,0.441708140959663,0.985,0.976,4.1974579221016e-238,"0","Rps23"
"Rpl7",2.62137039945677e-239,0.39213251651111,0.987,0.984,8.83296969800952e-235,"0","Rpl7"
"Rpl5",2.75395539802647e-238,0.45469749054596,0.983,0.973,9.27972810919e-234,"0","Rpl5"
"Rps14",7.30936977499962e-225,0.415615980549982,0.985,0.979,2.46296523938387e-220,"0","Rps14"
"Rpl37",6.77645044137381e-214,0.390200951451085,0.985,0.98,2.28339274072532e-209,"0","Rpl37"
"Rack1",7.17213071084303e-202,0.434387789428692,0.979,0.975,2.41672116432567e-197,"0","Rack1"
"Rpl17",1.33020890831238e-196,0.348113196363756,0.985,0.981,4.4822719374494e-192,"0","Rpl17"
"Rps25",2.12949883363841e-194,0.519943038706616,0.928,0.891,7.17555926982798e-190,"0","Rps25"
