"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.8310052393434e-105,0.737731992780455,0.997,1,4.02482828702113e-100,"0","MALAT1"
2.10535372303384e-95,1.46300550195801,0.937,0.705,1.24047441361154e-90,"0","LGALS1"
3.32714276423821e-90,1.4194714599409,0.925,0.858,1.96035251668915e-85,"0","LAMB3"
1.13740031491477e-78,1.52427547361237,0.883,0.705,6.70156265547782e-74,"0","LAMC2"
4.00071812649184e-72,1.21762537643668,0.956,0.856,2.35722312012899e-67,"0","MT2A"
2.10620393701534e-65,0.591390040897718,0.996,1,1.24097535968944e-60,"0","ACTG1"
9.06631881395183e-60,1.10021091803233,0.901,0.792,5.34187504518042e-55,"0","CD44"
2.83632499284792e-53,0.79838930561788,0.984,0.973,1.671162685786e-48,"0","S100A2"
1.22823994530638e-52,1.44287006623111,0.743,0.544,7.23678975774517e-48,"0","COL17A1"
2.81454257433763e-52,2.01509091627815,0.621,0.311,1.65832848479973e-47,"0","NDRG1"
6.35385648277941e-45,0.524726244249763,0.997,0.997,3.74369223965363e-40,"0","TMSB10"
2.60605470076044e-42,2.76828107026897,0.444,0.164,1.53548742968805e-37,"0","TIMP3"
1.4187271592254e-40,3.24928047257684,0.341,0.073,8.35914042215608e-36,"0","TRIML2"
1.01178979194887e-36,0.991297308780996,0.803,0.782,5.96146545416271e-32,"0","ITGB1"
2.64119825421893e-35,1.93470201089753,0.517,0.28,1.55619401138579e-30,"0","PTHLH"
7.19519702820253e-34,0.824759625593667,0.839,0.811,4.23941008901693e-29,"0","LIMA1"
3.8691892159771e-33,1.85268108538092,0.565,0.388,2.27972628605371e-28,"0","LAMA3"
3.28004276939231e-32,1.13914476706937,0.695,0.546,1.93260119972595e-27,"0","RBP1"
4.76016859081956e-32,1.42753302659218,0.647,0.491,2.80469133371089e-27,"0","HBEGF"
2.93697639728842e-31,2.10919053748174,0.435,0.195,1.73046649328234e-26,"0","TENM2"
1.98077119823245e-30,0.872956622951763,0.789,0.764,1.16707038999856e-25,"0","LRRFIP1"
4.90865247436647e-28,1.7098026508603,0.527,0.341,2.89217803789672e-23,"0","MTSS1"
2.55329712213439e-27,0.718116845268978,0.883,0.85,1.50440266436158e-22,"0","BTG1"
3.88679310621451e-27,2.1448327696752,0.389,0.17,2.29009849818159e-22,"0","CDH13"
2.13478391229015e-26,0.390308875660547,0.999,1,1.25781468112136e-21,"0","RNR2"
6.61279760762997e-24,0.997461926847018,0.748,0.732,3.89626035041558e-19,"0","CALD1"
9.79461480866383e-24,0.858157533179827,0.763,0.736,5.77098704526473e-19,"0","PMEPA1"
1.74216663788128e-23,1.0452213993393,0.703,0.584,1.02648458303965e-18,"0","INHBA"
4.69928439201803e-23,1.1038441676296,0.637,0.569,2.76881836377702e-18,"0","ELL2"
8.62330414006231e-23,0.998347635432859,0.693,0.631,5.08085079932472e-18,"0","MT1E"
1.00796599927477e-22,0.515605559746478,0.963,0.958,5.93893566772694e-18,"0","S100A6"
4.25233411987505e-22,1.27448772417112,0.613,0.456,2.50547526343038e-17,"0","AKAP12"
1.33310142145987e-21,0.827295107463279,0.732,0.717,7.85463357524158e-17,"0","KTN1"
1.6692377372038e-21,1.87095809313728,0.373,0.191,9.83514874760481e-17,"0","ANTXR2"
1.77742160189894e-21,2.08905729024857,0.367,0.195,1.04725680783886e-16,"0","TGFBI"
2.5570096023199e-21,0.462419542722365,0.987,0.988,1.50659005768689e-16,"0","GAPDH"
