"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.70478700646968e-227,1.07976091612528,0.931,0.794,1.58532502970002e-222,"0","Pdgfra"
3.91573013195051e-189,0.714797817929191,0.979,0.924,1.31944442526204e-184,"0","Npm1"
3.25673605623325e-169,0.646513366561108,0.977,0.958,1.09738978150836e-164,"0","Eif1"
3.08614801270496e-155,0.935565065088978,0.906,0.697,1.03990843436106e-150,"0","Ero1a"
4.85108301455938e-143,0.956618821600051,0.861,0.69,1.63462093258593e-138,"0","1110038B12Rik"
3.92835048337862e-126,0.416826659886369,0.994,0.996,1.32369697887926e-121,"0","Rpl23"
1.03740428403291e-94,1.67482287681389,0.7,0.5,3.49563747547729e-90,"0","Tex14"
5.1524269865651e-91,0.541850858663711,0.957,0.929,1.73616179739298e-86,"0","Hspa5"
4.77218491912226e-90,1.1091380669124,0.653,0.466,1.60803543034744e-85,"0","Akr1b1"
2.05570155848541e-87,0.433061189518893,0.987,0.977,6.92689197147245e-83,"0","Rpl9"
1.81974127113407e-84,0.398534258605252,0.988,0.982,6.13180018721335e-80,"0","Rack1"
6.89235382922557e-83,0.336665265733185,0.993,0.993,2.32244754629585e-78,"0","Rpl30"
8.17851176723126e-83,0.428038110628211,0.979,0.957,2.75583132508625e-78,"0","Rpl37a"
8.81649908795212e-82,0.380715225691945,0.989,0.987,2.97080753267635e-77,"0","Rps7"
1.29601759850342e-81,1.20700707568054,0.527,0.3,4.36706089991712e-77,"0","Hmox1"
1.43952180652777e-81,1.15800549984204,0.589,0.382,4.85061267927596e-77,"0","Kdr"
1.00026168286448e-80,0.725015156106314,0.781,0.618,3.37048176658014e-76,"0","Gpi1"
3.02174811884889e-80,0.358056159060431,0.991,0.99,1.01820824612732e-75,"0","Rps10"
4.70471992958716e-79,0.681240690525161,0.834,0.735,1.58530242747369e-74,"0","Sqstm1"
6.35543188494962e-79,0.874694572408101,0.693,0.512,2.14152632795262e-74,"0","Plk2"
3.76411182000088e-78,0.33753502916412,0.992,0.991,1.26835511886749e-73,"0","Rpl7"
9.55238398662141e-70,0.370831766032932,0.978,0.971,3.21877130813195e-65,"0","Rps21"
2.39322473972224e-66,0.309924379694166,0.99,0.991,8.06421008296806e-62,"0","Rpl37"
6.76439668002825e-66,0.34022858626993,0.983,0.978,2.27933110530232e-61,"0","Rpl38"
4.64067228461157e-64,0.397441358310214,0.98,0.955,1.56372093302272e-59,"0","mt-Nd2"
2.09393055665795e-63,1.59140989287118,0.33,0.144,7.05570840371464e-59,"0","Pim1"
6.61941285138176e-63,0.277544348881931,0.995,0.994,2.2304773544016e-58,"0","Rpl26"
5.53384670964075e-58,0.8412672947514,0.63,0.449,1.86468498728055e-53,"0","Pid1"
2.25374418659555e-57,0.337065633931706,0.982,0.98,7.59421641115235e-53,"0","mt-Nd4"
5.59064034524417e-56,0.328739702279575,0.981,0.968,1.88382217073347e-51,"0","Rpl31"
2.57641751407562e-55,0.53667709183398,0.881,0.809,8.6814964554292e-51,"0","Ppp3ca"
4.29120927229973e-53,0.425113988878148,0.929,0.896,1.44596587639412e-48,"0","mt-Nd5"
2.02480457128227e-51,0.354827088576902,0.96,0.945,6.82278148339274e-47,"0","Rpl14"
2.04051733934132e-50,0.785443730109965,0.602,0.443,6.87572722664451e-46,"0","Lox"
5.25419795411743e-47,0.533124013806118,0.79,0.712,1.77045454261941e-42,"0","Lgals3"
8.71582667763184e-46,0.552634766486195,0.796,0.693,2.93688495729482e-41,"0","Vegfa"
1.89135622895831e-42,0.318577266739086,0.95,0.919,6.37311394909791e-38,"0","Mif"
3.45608868722491e-42,0.258244651458023,0.987,0.988,1.1645636440473e-37,"0","Rps14"
5.18669534452492e-42,1.06231094045727,0.392,0.238,1.74770886329112e-37,"0","Maf"
7.25117181913723e-42,0.272622010301268,0.975,0.962,2.44335485617648e-37,"0","Rps4x"
7.75940112489814e-42,1.27266333569548,0.347,0.2,2.61460780304568e-37,"0","Sema3c"
1.44594345153579e-40,0.379327414657745,0.918,0.868,4.87225105429501e-36,"0","Rps29"
1.19343693751424e-38,0.504569837307355,0.736,0.642,4.021405104648e-34,"0","Hspa9"
1.94617555764877e-37,0.923725651581863,0.453,0.315,6.55783315905331e-33,"0","Gbe1"
2.63054235513531e-37,0.257619917932415,0.978,0.972,8.86387551986393e-33,"0","Rpl3"
2.95775828955663e-37,1.05009994600972,0.352,0.206,9.96646233249003e-33,"0","Igfbp4"
1.00859529127925e-36,0.972813346070915,0.472,0.341,3.39856269349457e-32,"0","Smim36"
1.30032166735498e-36,0.523592857846259,0.734,0.641,4.38156389031934e-32,"0","Btg1"
1.60265496296217e-36,0.47770633508619,0.786,0.715,5.40030616319734e-32,"0","Pnrc1"
2.5171965267622e-35,0.873468011255873,0.349,0.206,8.48194541657792e-31,"0","Neat1"
4.55982591854274e-35,0.341979843152,0.905,0.874,1.53647894151216e-30,"0","Rps27"
2.35349907170647e-32,0.882413859262774,0.382,0.245,7.93035047202211e-28,"0","Slc2a1"
4.48844980027413e-32,0.856655629312162,0.47,0.35,1.51242804470037e-27,"0","Ghr"
2.0152827241866e-31,0.785431600215116,0.448,0.32,6.79069666741916e-27,"0","Gclc"
7.69126734796879e-31,0.99438442888201,0.33,0.205,2.59164944557156e-26,"0","Scd1"
3.10099447922606e-30,0.982462235552924,0.404,0.286,1.04491109972001e-25,"0","Stard13"
