"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.37161632770941e-218,1.05680367677268,0.928,0.804,4.62179837784963e-214,"0","Pdgfra"
4.44170973381383e-199,0.755802795848707,0.979,0.926,1.49667851190591e-194,"0","Npm1"
1.71817205107568e-174,0.664778452943236,0.979,0.958,5.78955254330463e-170,"0","Eif1"
3.3824933049636e-157,0.948296848260037,0.907,0.699,1.13976494404054e-152,"0","Ero1a"
3.12056185246188e-149,0.991834970278064,0.864,0.694,1.05150452180556e-144,"0","1110038B12Rik"
1.05281879789071e-137,0.454462354845927,0.995,0.996,3.54757822137253e-133,"0","Rpl23"
5.23552245195855e-96,0.47377598002111,0.988,0.978,1.76416164541195e-91,"0","Rpl9"
2.24117336677663e-93,0.440058760971469,0.99,0.982,7.55185777669052e-89,"0","Rack1"
1.11450560698173e-91,0.370360409512508,0.994,0.994,3.75543809328565e-87,"0","Rpl30"
4.04861774029419e-89,1.63433781417436,0.699,0.511,1.36422223376953e-84,"0","Tex14"
5.73602183304912e-88,0.455723744214959,0.981,0.957,1.93280991686423e-83,"0","Rpl37a"
6.03115690893722e-88,0.407298817417847,0.991,0.987,2.03225863203549e-83,"0","Rps7"
4.02699753925225e-87,0.361082980048859,0.994,0.991,1.35693709082644e-82,"0","Rpl7"
1.13633619192344e-86,0.392894745514394,0.993,0.99,3.82899843230522e-82,"0","Rps10"
7.64038748655197e-86,0.524529632933331,0.956,0.937,2.57450496746855e-81,"0","Hspa5"
1.58624957902357e-84,1.07089814423227,0.652,0.475,5.34502658147784e-80,"0","Akr1b1"
1.65053665170005e-81,1.2103565549143,0.529,0.305,5.56164830156848e-77,"0","Hmox1"
2.25334019116035e-81,0.74206956504268,0.782,0.624,7.59285510813393e-77,"0","Gpi1"
5.62799699066929e-78,1.12862777777381,0.587,0.39,1.89640986597592e-73,"0","Kdr"
2.67330422541785e-76,0.411434024230649,0.98,0.971,9.00796591796799e-72,"0","Rps21"
8.16156797080995e-76,0.673342908315847,0.833,0.743,2.75012194344412e-71,"0","Sqstm1"
1.8091190734857e-75,0.855546521516498,0.692,0.521,6.0960076300174e-71,"0","Plk2"
8.71621375627043e-75,0.346713135839519,0.991,0.992,2.93701538731288e-70,"0","Rpl37"
5.79690490030978e-73,0.370235245314968,0.985,0.978,1.95332507520838e-68,"0","Rpl38"
1.32684909331997e-72,0.315595466834425,0.995,0.995,4.47095070485099e-68,"0","Rpl26"
1.49890020756236e-64,0.396095350747649,0.979,0.957,5.05069413940213e-60,"0","mt-Nd2"
1.25568819708733e-63,1.6259895648105,0.33,0.145,4.23116694890546e-59,"0","Pim1"
1.62646017987855e-60,0.352441660367243,0.982,0.97,5.48052022211877e-56,"0","Rpl31"
3.68150847296998e-57,0.390680469137855,0.962,0.945,1.24052109505196e-52,"0","Rpl14"
5.35017661994781e-57,0.336074096792184,0.983,0.982,1.80279551385762e-52,"0","mt-Nd4"
1.31388965106407e-54,0.814720345626638,0.63,0.459,4.42728256822549e-50,"0","Pid1"
3.11478572241815e-52,0.420072030289886,0.93,0.904,1.04955819702602e-47,"0","mt-Nd5"
2.93143825960723e-51,0.514222515744776,0.878,0.817,9.87777435957252e-47,"0","Ppp3ca"
4.08282294403316e-49,0.290328936311791,0.989,0.989,1.37574801922141e-44,"0","Rps14"
1.22735314163676e-48,0.312650239184864,0.976,0.964,4.13568914605922e-44,"0","Rps4x"
8.48860382693081e-48,0.766225092068127,0.602,0.45,2.86031994552261e-43,"0","Lox"
1.72249119674287e-46,0.34505299420508,0.952,0.92,5.80410633654476e-42,"0","Mif"
2.59291961617832e-46,0.527398514358046,0.792,0.717,8.73710193867446e-42,"0","Lgals3"
3.17732711202292e-43,0.407732701557562,0.919,0.871,1.07063214366724e-38,"0","Rps29"
1.07131344047166e-41,0.277881868805654,0.979,0.974,3.60989776901331e-37,"0","Rpl3"
1.68064051767618e-41,0.275050219645628,0.983,0.981,5.66308628836166e-37,"0","Rps6"
4.49162149008395e-41,0.525413790202792,0.794,0.706,1.51349677729869e-36,"0","Vegfa"
1.17395921508107e-40,0.269858907829834,0.986,0.985,3.95577297113718e-36,"0","Rps23"
4.5507923445541e-40,1.04134521431574,0.393,0.245,1.53343498842095e-35,"0","Maf"
2.66323137677184e-39,0.272583486318437,0.991,0.99,8.97402444717039e-35,"0","Rps24"
1.02925466779248e-38,1.21848544607474,0.346,0.206,3.46817652859353e-34,"0","Sema3c"
7.19288473009538e-38,0.503261107830971,0.736,0.65,2.42371443865294e-33,"0","Hspa9"
8.62644111555132e-38,0.258165308002586,0.99,0.986,2.90676559829617e-33,"0","Rps26"
1.46432666665645e-37,0.484231203869525,0.787,0.719,4.93419513596556e-33,"0","Pnrc1"
1.90134110442636e-37,0.363741505379817,0.907,0.875,6.40675898547507e-33,"0","Rps27"
4.31363515905147e-37,0.263447565644075,0.98,0.967,1.45352250319398e-32,"0","Gapdh"
7.71067579736103e-36,0.98204916962137,0.473,0.348,2.59818931667877e-31,"0","Smim36"
4.33342708336719e-35,0.274323544162337,0.988,0.985,1.46019159001141e-30,"0","Rps12"
5.54670525730118e-35,1.03084533936193,0.352,0.213,1.86901780350021e-30,"0","Igfbp4"
8.30090060318723e-35,0.896020463774212,0.452,0.322,2.79707146724997e-30,"0","Gbe1"
1.86193239262992e-34,0.507308939183098,0.733,0.651,6.27396739020578e-30,"0","Btg1"
1.63760215117342e-33,0.346849220251237,0.917,0.888,5.51806420859395e-29,"0","Rps28"
6.14742220656185e-32,0.837925955305127,0.347,0.213,2.07143538672308e-27,"0","Neat1"
8.11330245767213e-32,0.313890745832798,0.931,0.906,2.7338583961372e-27,"0","Rps25"
1.06677777351557e-30,0.309095930508857,0.887,0.862,3.59461438563807e-26,"0","Pkm"
1.3988861431561e-30,0.866461517379966,0.383,0.252,4.7136867479788e-26,"0","Slc2a1"
1.16793441875785e-29,0.463675963025629,0.711,0.633,3.93547181744645e-25,"0","Esd"
1.58624324866894e-29,0.306606935301137,0.919,0.904,5.34500525071485e-25,"0","Rps18"
1.84014790758746e-29,0.307520444394715,0.912,0.895,6.20056238940669e-25,"0","Rpl35a"
2.19713116597609e-29,0.333984474408167,0.883,0.852,7.40345317687304e-25,"0","Eef1g"
2.76690079717064e-29,0.754943591365392,0.447,0.327,9.32334892614619e-25,"0","Gclc"
3.38890263515718e-29,0.823682318842488,0.47,0.36,1.14192463194256e-24,"0","Ghr"
3.44376229484807e-29,0.30667631928038,0.912,0.888,1.160410142872e-24,"0","Cmss1"
3.66724953649413e-29,0.970992292319462,0.33,0.21,1.23571640381706e-24,"0","Scd1"
1.134921690999e-28,0.268479327845721,0.978,0.965,3.82423212999021e-24,"0","Eef1b2"
3.12785931498045e-28,0.971168099419443,0.335,0.217,1.05396347477581e-23,"0","Nub1"
6.42760139262885e-28,0.430196967427421,0.731,0.675,2.16584456526022e-23,"0","Cdkn1a"
5.44961761952683e-27,0.937512726167589,0.402,0.294,1.83630315307576e-22,"0","Stard13"
6.64079108316322e-26,0.867013610077368,0.375,0.264,2.23768096338268e-21,"0","Taco1"
1.07175305847178e-25,0.408650649681385,0.738,0.676,3.61137910582652e-21,"0","P4ha1"
2.14374621941039e-25,0.711422031594868,0.48,0.373,7.22356726092526e-21,"0","Gas7"
9.69355601202706e-25,0.269885250170799,0.934,0.909,3.26634063381264e-20,"0","Rpl27"
8.92279769301149e-24,0.268865632824962,0.919,0.906,3.00662591063715e-19,"0","Rpl36a"
1.1790033023526e-23,0.477668308075189,0.62,0.546,3.97276952760734e-19,"0","Serpinb6a"
1.79825695984485e-23,0.997028365784654,0.309,0.208,6.0594066518932e-19,"0","Ttc7"
2.01397779745523e-23,0.854403186206765,0.374,0.274,6.78629958630515e-19,"0","Mir100hg"
2.6501000877527e-23,0.563340528150249,0.552,0.476,8.9297772556915e-19,"0","Fxr1"
5.6922180169658e-23,0.417531265620752,0.75,0.712,1.9180497829968e-18,"0","Gas5"
6.46570996615406e-23,0.283274499691216,0.88,0.859,2.17868563019527e-18,"0","Pgk1"
3.24663624842539e-22,0.593663893882041,0.432,0.333,1.09398655026942e-17,"0","Ddit4"
5.29671518327063e-22,0.735687857964882,0.413,0.321,1.78478114815487e-17,"0","Csnk2a1"
7.1804585666185e-22,0.543245753354251,0.635,0.583,2.41952731860777e-17,"0","Magi3"
1.44332559033037e-21,0.358012410200889,0.807,0.755,4.86342990917722e-17,"0","Kcnq1ot1"
1.70520560869211e-21,0.360398556653306,0.772,0.742,5.74586081904892e-17,"0","mt-Nd4l"
3.03493174261405e-21,0.39610911397021,0.667,0.596,1.02265059999123e-16,"0","Gabarap"
1.06213618901991e-20,0.810373956891725,0.332,0.233,3.57897410252148e-16,"0","Rarg"
1.46661602808555e-20,0.569578039097212,0.509,0.426,4.94190936823706e-16,"0","Hspa4l"
1.47526043414891e-20,0.618965166484321,0.511,0.439,4.97103755890818e-16,"0","Fip1l1"
1.88437394725424e-20,0.570371051594263,0.575,0.502,6.34958645266789e-16,"0","Tanc2"
2.51141870162649e-20,0.306540196493588,0.858,0.834,8.46247645700061e-16,"0","Cwc22"
1.67671311376731e-18,0.323959192557062,0.853,0.839,5.64985250815034e-14,"0","Fn1"
5.66344076910775e-18,1.01207952430561,0.292,0.208,1.90835300155855e-13,"0","Gm36220"
1.36903067580305e-17,0.762761903647091,0.33,0.246,4.61308576518596e-13,"0","Epb41l4aos"
1.50837670110313e-17,0.53469228428607,0.523,0.45,5.0826261320371e-13,"0","Gphn"
3.83228763823123e-17,0.886571773203272,0.286,0.201,1.29132764257839e-12,"0","Cyp1b1"
1.24447288009137e-16,0.755264626311904,0.371,0.286,4.19337581675587e-12,"0","Tnfrsf23"
3.05367759104271e-16,0.423165140900407,0.648,0.615,1.02896720107775e-11,"0","Txnrd1"
3.09763173054451e-16,0.273854922327905,0.791,0.745,1.04377798792428e-11,"0","2410006H16Rik"
4.84361098334085e-16,0.521108751993755,0.481,0.417,1.63210315694653e-11,"0","Gnl3"
6.70564038695092e-16,0.366770171478869,0.69,0.65,2.25953258478698e-11,"0","Brd2"
6.95614321702517e-16,0.734863490631093,0.331,0.251,2.3439420184088e-11,"0","Zfp52"
7.76140337430404e-16,0.529743204399908,0.59,0.527,2.61528248100549e-11,"0","Erdr1y"
1.11599646858352e-15,0.568403503939116,0.441,0.373,3.76046170053905e-11,"0","Eif4a2"
1.19149480223456e-15,0.646948631524962,0.379,0.295,4.01486088560958e-11,"0","Gclm"
1.66597304454682e-15,0.464914128955261,0.508,0.445,5.61366277090495e-11,"0","Atp6v0b"
2.62761001038853e-15,0.687891031796432,0.379,0.312,8.85399469100519e-11,"0","Larp1"
3.07321083782614e-15,0.376391768020069,0.676,0.641,1.0355491239139e-10,"0","Eif4b"
3.7881436262339e-15,0.650245334431626,0.402,0.336,1.27645287629578e-10,"0","Cers2"
4.78214733756709e-15,0.400368074627824,0.637,0.606,1.61139236686661e-10,"0","Jak1"
4.94062756241035e-15,0.377611654140258,0.588,0.537,1.66479386342979e-10,"0","Ggnbp2"
4.99160978252115e-15,0.384844028511065,0.619,0.574,1.68197283231833e-10,"0","Ankrd17"
6.60822819255714e-15,0.447885381535513,0.512,0.446,2.22670857176406e-10,"0","Dclk1"
6.68636555340691e-15,0.283936909170803,0.792,0.757,2.25303773687599e-10,"0","Eif3e"
7.69240878224004e-15,0.821415123141842,0.258,0.183,2.5920340632636e-10,"0","Aatf"
1.87566170323525e-14,0.614902798402859,0.432,0.362,6.3202296752215e-10,"0","Pdgfc"
3.48301808436939e-14,0.615604448505135,0.363,0.29,1.17363777370911e-09,"0","Atf1"
5.11147924889972e-14,0.453787978003231,0.526,0.468,1.72236404770925e-09,"0","Klf7"
5.38088199954118e-14,0.401375529092422,0.556,0.51,1.81314199856540e-09,"0","Rbm25"
6.6731517091546e-14,0.275058960346394,0.736,0.717,2.24858519991673e-09,"0","Calr"
1.06313330809567e-13,0.627711005312243,0.361,0.292,3.58233399495916e-09,"0","Atf7"
1.0761744878699e-13,0.810359212087891,0.258,0.186,3.62627755432641e-09,"0","Alkbh1"
2.98648558243777e-13,0.749573172663243,0.268,0.197,1.00632618185823e-08,"0","Pim3"
3.06773547307864e-13,0.353391812741435,0.668,0.642,1.03370414500858e-08,"0","Atp2b1"
1.11993756594564e-12,0.719652360380512,0.254,0.182,3.77374162221044e-08,"0","Mgst1"
1.31395434962756e-12,0.63642884261333,0.334,0.264,4.42750057650503e-08,"0","Pgm1"
1.96895526865067e-12,0.510666056970294,0.472,0.413,6.6345916732453e-08,"0","Ptgs2"
1.98602431068512e-12,0.666453439970489,0.373,0.309,6.69210751728458e-08,"0","Hsph1"
2.35395423376031e-12,0.59575037179345,0.358,0.291,7.93188418607873e-08,"0","Ube2w"
2.48854604796915e-12,0.449384910619576,0.523,0.48,8.38540476323686e-08,"0","Nfe2l2"
3.55144355888221e-12,0.61740212540919,0.324,0.258,1.19669442160095e-07,"0","Smtn"
4.36179986261953e-12,0.723521107920668,0.276,0.209,1.46975208170828e-07,"0","Nampt"
4.91905404866482e-12,0.66355578603914,0.299,0.233,1.6575244522381e-07,"0","Dusp4"
5.98603128991182e-12,0.420495310510737,0.491,0.44,2.01705310344869e-07,"0","Ndrg1"
8.34671761177535e-12,0.457517076527326,0.467,0.423,2.81250996646382e-07,"0","Tcf20"
3.76604112756034e-11,0.53901124537459,0.395,0.345,1.26900521834273e-06,"0","Pals2"
3.96867918940187e-11,0.610712111485578,0.326,0.258,1.33728613966086e-06,"0","Serpine1"
5.52068410931525e-11,0.48380081972752,0.405,0.352,1.86024971747487e-06,"0","Rrs1"
7.11322198660729e-11,0.410957049812416,0.47,0.417,2.39687128060719e-06,"0","Pvt1"
7.70096497001109e-11,0.700196627136857,0.275,0.216,2.59491715629494e-06,"0","Pmm1"
1.04494559470865e-10,0.394930424609971,0.493,0.45,3.52104867593025e-06,"0","Srp72"
1.10296971049103e-10,0.693725129234776,0.3,0.242,3.71656673647059e-06,"0","Sipa1l1"
1.11339672103519e-10,0.343935960031126,0.611,0.581,3.75170159120018e-06,"0","Vcan"
1.64360198014593e-10,0.627951126106044,0.302,0.24,5.53828123229973e-06,"0","Cavin2"
1.69979138274763e-09,0.455695255913049,0.424,0.383,5.7276170433064e-05,"0","Cfl2"
1.71426156162099e-09,0.424481829417588,0.448,0.405,5.77637575803808e-05,"0","Faf1"
1.83238620253755e-09,0.470394143637017,0.409,0.362,6.17440854807052e-05,"0","Chd1"
1.9089557883462e-09,0.564844386977855,0.356,0.309,6.43241742441137e-05,"0","Mdn1"
2.69613283470785e-09,0.344329344838361,0.469,0.425,9.08488919983156e-05,"0","Taf1d"
4.29453104353715e-09,0.547310620274973,0.335,0.283,0.000144708518043028,"0","Fnbp4"
4.36258809677913e-09,0.56064121818283,0.324,0.273,0.00014700176850907,"0","Ncoa2"
4.78591385901319e-09,0.546186775288842,0.261,0.202,0.000161266153393309,"0","Zcchc10"
